Sample name	Output directory	Input files	O antigen prediction	H1 antigen prediction(fliC)	H2 antigen prediction(fljB)	Predicted identification	Predicted antigenic profile	Predicted serotype	Note
NDSU10	/storage/home/smk459/scratch/dub-omics/1.5-seroentero/seqsero/NDSU10_seqsero	NDSU10_assembly.fasta	9	g,p	-	Salmonella enterica subspecies enterica (subspecies I)	9:g,p:-	Dublin	
NDSU12	/storage/home/smk459/scratch/dub-omics/1.5-seroentero/seqsero/NDSU12_seqsero	NDSU12_assembly.fasta	9	g,p	-	Salmonella enterica subspecies enterica (subspecies I)	9:g,p:-	Dublin	
NDSU13	/storage/home/smk459/scratch/dub-omics/1.5-seroentero/seqsero/NDSU13_seqsero	NDSU13_assembly.fasta	2	g,p	-	Salmonella enterica subspecies enterica (subspecies I)	2:g,p:-	Dublin	
NDSU15	/storage/home/smk459/scratch/dub-omics/1.5-seroentero/seqsero/NDSU15_seqsero	NDSU15_assembly.fasta	9	g,p	-	Salmonella enterica subspecies enterica (subspecies I)	9:g,p:-	Dublin	
NDSU16	/storage/home/smk459/scratch/dub-omics/1.5-seroentero/seqsero/NDSU16_seqsero	NDSU16_assembly.fasta	9	g,p	-	Salmonella enterica subspecies enterica (subspecies I)	9:g,p:-	Dublin	
NDSU17	/storage/home/smk459/scratch/dub-omics/1.5-seroentero/seqsero/NDSU17_seqsero	NDSU17_assembly.fasta	9	g,p	-	Salmonella enterica subspecies enterica (subspecies I)	9:g,p:-	Dublin	
NDSU18	/storage/home/smk459/scratch/dub-omics/1.5-seroentero/seqsero/NDSU18_seqsero	NDSU18_assembly.fasta	9	g,p	-	Salmonella enterica subspecies enterica (subspecies I)	9:g,p:-	Dublin	
NDSU19	/storage/home/smk459/scratch/dub-omics/1.5-seroentero/seqsero/NDSU19_seqsero	NDSU19_assembly.fasta	9	g,p	-	Salmonella enterica subspecies enterica (subspecies I)	9:g,p:-	Dublin	
NDSU1	/storage/home/smk459/scratch/dub-omics/1.5-seroentero/seqsero/NDSU1_seqsero	NDSU1_assembly.fasta	9	g,p	-	Salmonella enterica subspecies enterica (subspecies I)	9:g,p:-	Dublin	
NDSU20	/storage/home/smk459/scratch/dub-omics/1.5-seroentero/seqsero/NDSU20_seqsero	NDSU20_assembly.fasta	9	g,p	-	Salmonella enterica subspecies enterica (subspecies I)	9:g,p:-	Dublin	
NDSU21	/storage/home/smk459/scratch/dub-omics/1.5-seroentero/seqsero/NDSU21_seqsero	NDSU21_assembly.fasta	9	g,p	-	Salmonella enterica subspecies enterica (subspecies I)	9:g,p:-	Dublin	
NDSU22	/storage/home/smk459/scratch/dub-omics/1.5-seroentero/seqsero/NDSU22_seqsero	NDSU22_assembly.fasta	9	g,p	-	Salmonella enterica subspecies enterica (subspecies I)	9:g,p:-	Dublin	
NDSU24	/storage/home/smk459/scratch/dub-omics/1.5-seroentero/seqsero/NDSU24_seqsero	NDSU24_assembly.fasta	9	g,p	-	Salmonella enterica subspecies enterica (subspecies I)	9:g,p:-	Dublin	
NDSU25	/storage/home/smk459/scratch/dub-omics/1.5-seroentero/seqsero/NDSU25_seqsero	NDSU25_assembly.fasta	9	g,p	-	Salmonella enterica subspecies enterica (subspecies I)	9:g,p:-	Dublin	
NDSU26	/storage/home/smk459/scratch/dub-omics/1.5-seroentero/seqsero/NDSU26_seqsero	NDSU26_assembly.fasta	9	g,p	-	Salmonella enterica subspecies enterica (subspecies I)	9:g,p:-	Dublin	
NDSU28	/storage/home/smk459/scratch/dub-omics/1.5-seroentero/seqsero/NDSU28_seqsero	NDSU28_assembly.fasta	9	g,p	-	Salmonella enterica subspecies enterica (subspecies I)	9:g,p:-	Dublin	
NDSU29	/storage/home/smk459/scratch/dub-omics/1.5-seroentero/seqsero/NDSU29_seqsero	NDSU29_assembly.fasta	9	g,p	-	Salmonella enterica subspecies enterica (subspecies I)	9:g,p:-	Dublin	
NDSU30	/storage/home/smk459/scratch/dub-omics/1.5-seroentero/seqsero/NDSU30_seqsero	NDSU30_assembly.fasta	9	g,p	-	Salmonella enterica subspecies enterica (subspecies I)	9:g,p:-	Dublin	
NDSU3	/storage/home/smk459/scratch/dub-omics/1.5-seroentero/seqsero/NDSU3_seqsero	NDSU3_assembly.fasta	9	g,p	-	Salmonella enterica subspecies enterica (subspecies I)	9:g,p:-	Dublin	
NDSU4	/storage/home/smk459/scratch/dub-omics/1.5-seroentero/seqsero/NDSU4_seqsero	NDSU4_assembly.fasta	9	g,p	-	Salmonella enterica subspecies enterica (subspecies I)	9:g,p:-	Dublin	
NDSU6	/storage/home/smk459/scratch/dub-omics/1.5-seroentero/seqsero/NDSU6_seqsero	NDSU6_assembly.fasta	9	g,p	-	Salmonella enterica subspecies enterica (subspecies I)	9:g,p:-	Dublin	
NDSU7	/storage/home/smk459/scratch/dub-omics/1.5-seroentero/seqsero/NDSU7_seqsero	NDSU7_assembly.fasta	9	g,p	-	Salmonella enterica subspecies enterica (subspecies I)	9:g,p:-	Dublin	
NDSU8	/storage/home/smk459/scratch/dub-omics/1.5-seroentero/seqsero/NDSU8_seqsero	NDSU8_assembly.fasta	9	g,p	-	Salmonella enterica subspecies enterica (subspecies I)	9:g,p:-	Dublin	
NDSU9	/storage/home/smk459/scratch/dub-omics/1.5-seroentero/seqsero/NDSU9_seqsero	NDSU9_assembly.fasta	9	g,p	-	Salmonella enterica subspecies enterica (subspecies I)	9:g,p:-	Dublin	
SRR10001202	/storage/home/smk459/scratch/dub-omics/1.5-seroentero/seqsero/SRR10001202_seqsero	SRR10001202_assembly.fasta	9	g,p	-	Salmonella enterica subspecies enterica (subspecies I)	9:g,p:-	Dublin	
SRR10013295	/storage/home/smk459/scratch/dub-omics/1.5-seroentero/seqsero/SRR10013295_seqsero	SRR10013295_assembly.fasta	-	g,p	-	Salmonella enterica subspecies enterica (subspecies I)	-:g,p:-	I -:g,p:-	O antigen was not detected. This result may be due to a rough strain that has deleted the rfb region. For raw reads input, the k-mer workflow is sometimes more sensitive than the microassembly workflow in detecting O antigen. Caution should be used with this approach because the k-mer result may be due to low levels of contamination. 
SRR10013299	/storage/home/smk459/scratch/dub-omics/1.5-seroentero/seqsero/SRR10013299_seqsero	SRR10013299_assembly.fasta	-	g,p	-	-	-:g,p:-	- -:g,p:-	The input genome cannot be identified as Salmonella. Check the input for taxonomic ID, contamination, or sequencing quality. 
SRR10018785	/storage/home/smk459/scratch/dub-omics/1.5-seroentero/seqsero/SRR10018785_seqsero	SRR10018785_assembly.fasta	9	g,p	-	Salmonella enterica subspecies enterica (subspecies I)	9:g,p:-	Dublin	
