"sra_accession"	"location"	"HHS_region"	"date"	"agency_submitter"	"clin_env"	"sample_type_std"	"host_assoc"	"bioproject"	"biosample"	"year_uploaded"	"ST"	"source"
"1"	"NDSU1"	"USA:MN"	"5"	2015	"PENN STATE UNIVERSTIY"	"clinical/host-associated"	"Feces"	"bovine"	"PRJNA1181261"	"SAMN44551947"	2024	"10"	"bovclin"
"2"	"NDSU3"	"USA:MN"	"5"	2016	"PENN STATE UNIVERSTIY"	"clinical/host-associated"	"Tissue Pool"	"bovine"	"PRJNA1181261"	"SAMN44551949"	2024	"10"	"bovclin"
"3"	"NDSU4"	"USA:ND"	"8"	2016	"PENN STATE UNIVERSTIY"	"clinical/host-associated"	"Liver"	"bovine"	"PRJNA1181261"	"SAMN44551950"	2024	"10"	"bovclin"
"4"	"NDSU6"	"USA:ND"	"8"	2016	"PENN STATE UNIVERSTIY"	"clinical/host-associated"	"Intestine"	"bovine"	"PRJNA1181261"	"SAMN44551952"	2024	"10"	"bovclin"
"5"	"NDSU7"	"USA:ND"	"8"	2016	"PENN STATE UNIVERSTIY"	"clinical/host-associated"	"Liver"	"bovine"	"PRJNA1181261"	"SAMN44551953"	2024	"10"	"bovclin"
"6"	"NDSU8"	"USA:MN"	"5"	2016	"PENN STATE UNIVERSTIY"	"clinical/host-associated"	"Lung"	"bovine"	"PRJNA1181261"	"SAMN44551954"	2024	"10"	"bovclin"
"7"	"NDSU9"	"USA:SD"	"8"	2019	"PENN STATE UNIVERSTIY"	"clinical/host-associated"	"Lung"	"bovine"	"PRJNA1181261"	"SAMN44551955"	2024	"10"	"bovclin"
"8"	"NDSU10"	"USA:MN"	"5"	2020	"PENN STATE UNIVERSTIY"	"clinical/host-associated"	"Lung"	"bovine"	"PRJNA1181261"	"SAMN44551956"	2024	"10"	"bovclin"
"9"	"NDSU12"	"USA:ND"	"8"	2020	"PENN STATE UNIVERSTIY"	"clinical/host-associated"	"Feces"	"bovine"	"PRJNA1181261"	"SAMN44551957"	2024	"10"	"bovclin"
"10"	"NDSU13"	"USA:MN"	"5"	2020	"PENN STATE UNIVERSTIY"	"clinical/host-associated"	"Liver"	"bovine"	"PRJNA1181261"	"SAMN44551958"	2024	"10"	"bovclin"
"11"	"NDSU15"	"USA:MN"	"5"	2020	"PENN STATE UNIVERSTIY"	"clinical/host-associated"	"Intestine"	"bovine"	"PRJNA1181261"	"SAMN44551959"	2024	"10"	"bovclin"
"12"	"NDSU16"	"USA:ND"	"8"	2021	"PENN STATE UNIVERSTIY"	"clinical/host-associated"	"Lung"	"bovine"	"PRJNA1181261"	"SAMN44551960"	2024	"10"	"bovclin"
"13"	"NDSU17"	"USA:MN"	"5"	2021	"PENN STATE UNIVERSTIY"	"clinical/host-associated"	"Intestine"	"bovine"	"PRJNA1181261"	"SAMN44551961"	2024	"10"	"bovclin"
"14"	"NDSU18"	"USA:ND"	"8"	2021	"PENN STATE UNIVERSTIY"	"clinical/host-associated"	"Feces"	"bovine"	"PRJNA1181261"	"SAMN44551962"	2024	"10"	"bovclin"
"15"	"NDSU19"	"USA:MN"	"5"	2021	"PENN STATE UNIVERSTIY"	"clinical/host-associated"	"Lung"	"bovine"	"PRJNA1181261"	"SAMN44551963"	2024	"10"	"bovclin"
"16"	"NDSU20"	"USA:MN"	"5"	2021	"PENN STATE UNIVERSTIY"	"clinical/host-associated"	"Lung"	"bovine"	"PRJNA1181261"	"SAMN44551964"	2024	"10"	"bovclin"
"17"	"NDSU21"	"USA:MN"	"5"	2021	"PENN STATE UNIVERSTIY"	"clinical/host-associated"	"Lung"	"bovine"	"PRJNA1181261"	"SAMN44551965"	2024	"10"	"bovclin"
"18"	"NDSU22"	"USA:MN"	"5"	2021	"PENN STATE UNIVERSTIY"	"clinical/host-associated"	"Lung"	"bovine"	"PRJNA1181261"	"SAMN44551966"	2024	"10"	"bovclin"
"19"	"NDSU24"	"USA:MN"	"5"	2021	"PENN STATE UNIVERSTIY"	"clinical/host-associated"	"Lung"	"bovine"	"PRJNA1181261"	"SAMN44551967"	2024	"10"	"bovclin"
"20"	"NDSU25"	"USA:MN"	"5"	2022	"PENN STATE UNIVERSTIY"	"clinical/host-associated"	"Lung"	"bovine"	"PRJNA1181261"	"SAMN44551968"	2024	"10"	"bovclin"
"21"	"NDSU26"	"USA:MN"	"5"	2022	"PENN STATE UNIVERSTIY"	"clinical/host-associated"	"Lung"	"bovine"	"PRJNA1181261"	"SAMN44551969"	2024	"10"	"bovclin"
"22"	"NDSU28"	"USA:MN"	"5"	2022	"PENN STATE UNIVERSTIY"	"clinical/host-associated"	"Intestine"	"bovine"	"PRJNA1181261"	"SAMN44551970"	2024	"10"	"bovclin"
