file	format	type	num_seqs	sum_len	min_len	avg_len	max_len
SRR10001202.filt_1P.fq	FASTQ	DNA	1572436	314703554	36	200.1	251
SRR10001202.filt_2P.fq	FASTQ	DNA	1572436	321645093	36	204.6	251
SRR10013295.filt_1P.fq	FASTQ	DNA	777667	176830802	36	227.4	251
SRR10013295.filt_2P.fq	FASTQ	DNA	777667	162289531	36	208.7	251
SRR10013299.filt_1P.fq	FASTQ	DNA	937481	215707089	36	230.1	251
SRR10013299.filt_2P.fq	FASTQ	DNA	937481	197036091	36	210.2	251
SRR10018785.filt_1P.fq	FASTQ	DNA	1289628	303221265	36	235.1	251
SRR10018785.filt_2P.fq	FASTQ	DNA	1289628	286418070	36	222.1	251
SRR10027107.filt_1P.fq	FASTQ	DNA	889015	204377827	36	229.9	251
SRR10027107.filt_2P.fq	FASTQ	DNA	889015	186298871	36	209.6	251
SRR10027407.filt_1P.fq	FASTQ	DNA	1726330	251177566	36	145.5	151
SRR10027407.filt_2P.fq	FASTQ	DNA	1726330	241735550	36	140.0	151
SRR10027552.filt_1P.fq	FASTQ	DNA	1695467	248660400	36	146.7	151
SRR10027552.filt_2P.fq	FASTQ	DNA	1695467	246681341	36	145.5	151
SRR10027554.filt_1P.fq	FASTQ	DNA	1680604	246764493	36	146.8	151
SRR10027554.filt_2P.fq	FASTQ	DNA	1680604	233693747	36	139.1	151
SRR10028757.filt_1P.fq	FASTQ	DNA	1684607	248116375	36	147.3	151
SRR10028757.filt_2P.fq	FASTQ	DNA	1684607	243995324	36	144.8	151
SRR10031119.filt_1P.fq	FASTQ	DNA	590809	125788800	36	212.9	251
SRR10031119.filt_2P.fq	FASTQ	DNA	590809	121033444	36	204.9	251
SRR10032843.filt_1P.fq	FASTQ	DNA	1276570	185737857	36	145.5	151
SRR10032843.filt_2P.fq	FASTQ	DNA	1276570	174570465	36	136.7	151
SRR10037224.filt_1P.fq	FASTQ	DNA	590685	141783638	36	240.0	251
SRR10037224.filt_2P.fq	FASTQ	DNA	590685	132726404	36	224.7	251
SRR10037225.filt_1P.fq	FASTQ	DNA	865780	208517386	36	240.8	251
