"ID"	"read"	"sum_len"	"num_seqs"	"min_len"	"avg_len"	"max_len"
"1"	"SRR10037353"	"forward"	127751300	534244	35	239.1	251
"2"	"SRR10037353"	"reverse"	127824565	534244	35	239.3	251
"3"	"SRR10068688"	"forward"	105661510	434560	35	243.1	251
"4"	"SRR10068688"	"reverse"	105350550	434560	35	242.4	251
"5"	"SRR10115349"	"forward"	208136284	1406013	35	148	151
"6"	"SRR10115349"	"reverse"	208149632	1406013	35	148	151
"7"	"SRR10176078"	"forward"	139854569	587966	35	237.9	251
"8"	"SRR10176078"	"reverse"	139764225	587966	35	237.7	251
"9"	"SRR10254989"	"forward"	202027647	976207	35	207	251
"10"	"SRR10254989"	"reverse"	203402551	976207	35	208.4	251
"11"	"SRR10429896"	"forward"	156840278	660918	35	237.3	251
"12"	"SRR10429896"	"reverse"	157454780	660918	35	238.2	251
"13"	"SRR10445513"	"forward"	105958920	443527	35	238.9	251
"14"	"SRR10445513"	"reverse"	105945768	443527	35	238.9	251
"15"	"SRR13602812"	"forward"	107832443	450567	35	239.3	251
"16"	"SRR13602812"	"reverse"	108002763	450567	35	239.7	251
"17"	"SRR15829475"	"forward"	248695394	1037255	35	239.8	251
"18"	"SRR15829475"	"reverse"	248669561	1037255	35	239.7	251
"19"	"SRR15832925"	"forward"	189102264	772549	35	244.8	251
"20"	"SRR15832925"	"reverse"	189160447	772549	35	244.9	251
"21"	"SRR16148197"	"forward"	142621647	597448	35	238.7	251
"22"	"SRR16148197"	"reverse"	142964118	597448	35	239.3	251
"23"	"SRR18323335"	"forward"	390760293	1631107	35	239.6	251
"24"	"SRR18323335"	"reverse"	391154060	1631107	35	239.8	251
"25"	"SRR18859034"	"forward"	80045505	541153	35	147.9	151
"26"	"SRR18859034"	"reverse"	80054908	541153	35	147.9	151
"27"	"SRR18888900"	"forward"	169239155	1140881	35	148.3	151
"28"	"SRR18888900"	"reverse"	169255266	1140881	35	148.4	151
"29"	"SRR18901321"	"forward"	195416493	819609	35	238.4	251
"30"	"SRR18901321"	"reverse"	195698682	819609	35	238.8	251
"31"	"SRR18920761"	"forward"	194977284	815279	35	239.2	251
"32"	"SRR18920761"	"reverse"	195082094	815279	35	239.3	251
"33"	"SRR18936618"	"forward"	177951113	736732	35	241.5	251
"34"	"SRR18936618"	"reverse"	178026980	736732	35	241.6	251
"35"	"SRR18963229"	"forward"	276387240	1243594	35	222.2	251
"36"	"SRR18963229"	"reverse"	277155965	1243594	35	222.9	251
"37"	"SRR18964609"	"forward"	430435386	1847220	35	233	251
"38"	"SRR18964609"	"reverse"	432186580	1847220	35	234	251
"39"	"SRR19032677"	"forward"	345984683	1433919	35	241.3	251
"40"	"SRR19032677"	"reverse"	346503906	1433919	35	241.6	251
"41"	"SRR19087284"	"forward"	381002431	1597561	35	238.5	251
"42"	"SRR19087284"	"reverse"	382556277	1597561	35	239.5	251
"43"	"SRR19087685"	"forward"	220581543	949631	35	232.3	251
"44"	"SRR19087685"	"reverse"	221022486	949631	35	232.7	251
"45"	"SRR19093987"	"forward"	214814299	904597	35	237.5	251
"46"	"SRR19093987"	"reverse"	214823121	904597	35	237.5	251
"47"	"SRR19142004"	"forward"	172060234	725625	35	237.1	251
"48"	"SRR19142004"	"reverse"	172184305	725625	35	237.3	251
"49"	"SRR19146831"	"forward"	398157143	2683921	35	148.3	151
"50"	"SRR19146831"	"reverse"	398152686	2683921	35	148.3	151
"51"	"SRR19198032"	"forward"	158262610	655726	35	241.4	251
"52"	"SRR19198032"	"reverse"	158850239	655726	35	242.3	251
"53"	"SRR19401784"	"forward"	211903215	926470	35	228.7	251
"54"	"SRR19401784"	"reverse"	212783887	926470	35	229.7	251
"55"	"SRR19416163"	"forward"	145148600	611845	35	237.2	251
"56"	"SRR19416163"	"reverse"	145252312	611845	35	237.4	251
"57"	"SRR19418346"	"forward"	308041304	1280914	35	240.5	251
"58"	"SRR19418346"	"reverse"	308308632	1280914	35	240.7	251
"59"	"SRR19418354"	"forward"	505049094	2128544	35	237.3	251
"60"	"SRR19418354"	"reverse"	505577213	2128544	35	237.5	251
"61"	"SRR19418386"	"forward"	326087541	1345593	35	242.3	251
"62"	"SRR19418386"	"reverse"	326489505	1345593	35	242.6	251
"63"	"SRR19512149"	"forward"	238110600	989691	35	240.6	251
"64"	"SRR19512149"	"reverse"	238387238	989691	35	240.9	251
"65"	"SRR19512927"	"forward"	172022321	721555	35	238.4	251
"66"	"SRR19512927"	"reverse"	172189644	721555	35	238.6	251
"67"	"SRR1953054"	"forward"	188086287	876248	35	214.6	251
"68"	"SRR1953054"	"reverse"	189028637	876248	35	215.7	251
"69"	"SRR19571258"	"forward"	148174847	612174	35	242	251
"70"	"SRR19571258"	"reverse"	148165346	612174	35	242	251
"71"	"SRR19753070"	"forward"	153528736	635650	35	241.5	251
"72"	"SRR19753070"	"reverse"	153692109	635650	35	241.8	251
"73"	"SRR19772266"	"forward"	163964416	782838	35	209.4	251
"74"	"SRR19772266"	"reverse"	165541649	782838	35	211.5	251
"75"	"SRR19866062"	"forward"	115217458	491427	35	234.5	251
"76"	"SRR19866062"	"reverse"	115328197	491427	35	234.7	251
"77"	"SRR19868835"	"forward"	256397740	1092293	35	234.7	251
"78"	"SRR19868835"	"reverse"	257149658	1092293	35	235.4	251
"79"	"SRR19879364"	"forward"	176270468	738888	35	238.6	251
"80"	"SRR19879364"	"reverse"	176744643	738888	35	239.2	251
"81"	"SRR19887556"	"forward"	374632173	1575260	35	237.8	251
"82"	"SRR19887556"	"reverse"	374764727	1575260	35	237.9	251
"83"	"SRR19909229"	"forward"	391703566	1614370	35	242.6	251
"84"	"SRR19909229"	"reverse"	392310507	1614370	35	243	251
