"ID"	"read"	"raw_numseqs"	"raw_sumlen"	"trim_numseqs"	"trim_sumlen"	"filt_numseqs"	"filt_sumlen"	"rawtotrim"	"trimtofilt"	"rawtofilt"
"1"	"ARS1"	"forward"	6179445	926916750	6012677	893506768	5106195	759044164	0.0269875369066316	0.150761798779479	0.173680646077439
"2"	"ARS1"	"reverse"	6179445	926916750	6012677	890541963	5106195	756863573	0.0269875369066316	0.150761798779479	0.173680646077439
"3"	"NDSU1"	"forward"	3762960	564444000	3427925	509330632	3208936	477253081	0.0890349618385526	0.0638838364316606	0.14723090333142
"4"	"NDSU1"	"reverse"	3762960	564444000	3427925	503901950	3208936	472888351	0.0890349618385526	0.0638838364316606	0.14723090333142
"5"	"NDSU2"	"forward"	4632583	694887450	3688849	547064237	3459735	513856855	0.203716587484779	0.0621098884774085	0.25317366143251
"6"	"NDSU2"	"reverse"	4632583	694887450	3688849	545628465	3459735	512965298	0.203716587484779	0.0621098884774085	0.25317366143251
"7"	"NDSU3"	"forward"	4063604	609540600	3362913	498699908	2796354	415087677	0.17243092584809	0.168472690194483	0.31185371409222
"8"	"NDSU3"	"reverse"	4063604	609540600	3362913	494966749	2796354	412812735	0.17243092584809	0.168472690194483	0.31185371409222
"9"	"ARS10"	"forward"	9719311	1457896650	9299059	1382711621	8564354	1273853148	0.0432388674464682	0.0790085319385542	0.118831159945391
"10"	"ARS10"	"reverse"	9719311	1457896650	9299059	1383298975	8564354	1274368798	0.0432388674464682	0.0790085319385542	0.118831159945391
"11"	"ARS11"	"forward"	4807978	721196700	4695680	698673889	4430672	659460512	0.0233565960576359	0.0564365544500477	0.078474984702509
"12"	"ARS11"	"reverse"	4807978	721196700	4695680	695612726	4430672	656594651	0.0233565960576359	0.0564365544500477	0.078474984702509
"13"	"ARS12"	"forward"	4506467	675970050	3139722	457368597	2542141	370967801	0.30328525649916	0.190329271190252	0.435890465857178
"14"	"ARS12"	"reverse"	4506467	675970050	3139722	460128827	2542141	373977289	0.30328525649916	0.190329271190252	0.435890465857178
"15"	"ARS13"	"forward"	3651714	547757100	3575970	532104639	3339449	497073346	0.0207420405869682	0.066141774120029	0.0855118993437055
"16"	"ARS13"	"reverse"	3651714	547757100	3575970	530984329	3339449	496041918	0.0207420405869682	0.066141774120029	0.0855118993437055
"17"	"ARS14"	"forward"	3763281	564492150	3688974	548269553	3530152	524807543	0.0197452701512324	0.0430531632914735	0.0619483371026506
"18"	"ARS14"	"reverse"	3763281	564492150	3688974	547642122	3530152	524213135	0.0197452701512324	0.0430531632914735	0.0619483371026506
"19"	"ARS15"	"forward"	5764515	864677250	2826665	417652194	2523947	373541719	0.509643916270493	0.107093695220339	0.56215796125086
"20"	"ARS15"	"reverse"	5764515	864677250	2826665	416480290	2523947	373586975	0.509643916270493	0.107093695220339	0.56215796125086
"21"	"ARS16"	"forward"	584067	87610050	440892	65426975	426920	63447171	0.245134547920016	0.0316903005724758	0.269056460988209
"22"	"ARS16"	"reverse"	584067	87610050	440892	65283975	426920	63317729	0.245134547920016	0.0316903005724758	0.269056460988209
"23"	"ARS17"	"forward"	6215908	932386200	4320742	637133109	4131498	610666757	0.304889647658878	0.0437989586047952	0.335334757206831
"24"	"ARS17"	"reverse"	6215908	932386200	4320742	636470080	4131498	611093905	0.304889647658878	0.0437989586047952	0.335334757206831
"25"	"ARS18"	"forward"	7384857	1107728550	5673443	839392780	5274075	782153357	0.231746396714249	0.0703925288400712	0.28582571064003
"26"	"ARS18"	"reverse"	7384857	1107728550	5673443	836367204	5274075	780346854	0.231746396714249	0.0703925288400712	0.28582571064003
"27"	"ARS2"	"forward"	5092056	763808400	4060538	601094725	3929000	582452045	0.202573970121303	0.0323942295331308	0.228405971968886
"28"	"ARS2"	"reverse"	5092056	763808400	4060538	599758446	3929000	581459498	0.202573970121303	0.0323942295331308	0.228405971968886
"29"	"ARS3"	"forward"	10559986	1583997900	10309038	1534401320	9980403	1485843622	0.02376404665688	0.0318783382115771	0.0548848265518534
"30"	"ARS3"	"reverse"	10559986	1583997900	10309038	1531906913	9980403	1483471188	0.02376404665688	0.0318783382115771	0.0548848265518534
"31"	"ARS4"	"forward"	7719743	1157961450	6362548	939194258	5771478	853997702	0.175808313825991	0.0928983168378455	0.252374334223303
"32"	"ARS4"	"reverse"	7719743	1157961450	6362548	932705990	5771478	850836406	0.175808313825991	0.0928983168378455	0.252374334223303
"33"	"ARS5"	"forward"	4336837	650525550	3997365	593447665	3908012	580730935	0.0782764028253771	0.0223529750222959	0.0988796673704822
"34"	"ARS5"	"reverse"	4336837	650525550	3997365	590776738	3908012	578184142	0.0782764028253771	0.0223529750222959	0.0988796673704822
"35"	"ARS6"	"forward"	7247372	1087105800	7091152	1058141215	6741475	1006177460	0.0215553996676312	0.0493117338339384	0.0698041993704753
"36"	"ARS6"	"reverse"	7247372	1087105800	7091152	1050202083	6741475	998699778	0.0215553996676312	0.0493117338339384	0.0698041993704753
"37"	"ARS7"	"forward"	5699794	854969100	5541892	823317110	4283583	636534339	0.0277031064631459	0.227054045802408	0.248467049861802
"38"	"ARS7"	"reverse"	5699794	854969100	5541892	820589879	4283583	634611722	0.0277031064631459	0.227054045802408	0.248467049861802
"39"	"ARS8"	"forward"	4664182	699627300	3270862	484363023	2856364	423759105	0.298727622549892	0.126724392530165	0.387595938580441
"40"	"ARS8"	"reverse"	4664182	699627300	3270862	483134987	2856364	423341647	0.298727622549892	0.126724392530165	0.387595938580441
"41"	"ARS9"	"forward"	5733236	859985400	5621860	838025317	5323355	793686349	0.019426376308249	0.0530971955900716	0.0714920857958751
"42"	"ARS9"	"reverse"	5733236	859985400	5621860	834784691	5323355	790634042	0.019426376308249	0.0530971955900716	0.0714920857958751
"43"	"NDSU10"	"forward"	3818324	572748600	2758531	408441477	2590541	384219279	0.277554497732513	0.0608983549577656	0.32155024036724
"44"	"NDSU10"	"reverse"	3818324	572748600	2758531	408127228	2590541	384127394	0.277554497732513	0.0608983549577656	0.32155024036724
"45"	"NDSU12"	"forward"	3849504	577425600	2879337	426189576	2748021	407414351	0.252023897104666	0.0456063322910795	0.286136343799097
"46"	"NDSU12"	"reverse"	3849504	577425600	2879337	423749589	2748021	406129808	0.252023897104666	0.0456063322910795	0.286136343799097
"47"	"NDSU13"	"forward"	5603079	840461850	4236899	625358435	1929532	286007545	0.243826653166946	0.544588624840951	0.655630056260138
"48"	"NDSU13"	"reverse"	5603079	840461850	4236899	622237293	1929532	285899925	0.243826653166946	0.544588624840951	0.655630056260138
"49"	"NDSU15"	"forward"	12968262	1945239300	12667150	1887992428	11458573	1708309885	0.0232191484101725	0.0954103330267661	0.116414134754526
"50"	"NDSU15"	"reverse"	12968262	1945239300	12667150	1886657559	11458573	1707024429	0.0232191484101725	0.0954103330267661	0.116414134754526
"51"	"NDSU16"	"forward"	3423423	513513450	3329017	494460258	3112113	462389270	0.027576492884461	0.0651555699475251	0.0909353007209451
