file	format	type	num_seqs	sum_len	min_len	avg_len	max_len
SRR10001202_1P.fq.gz	FASTQ	DNA	1622644	324359587	36	199.9	251
SRR10001202_2P.fq.gz	FASTQ	DNA	1622644	331421950	36	204.2	251
SRR10013295_1P.fq.gz	FASTQ	DNA	790707	179445643	36	226.9	251
SRR10013295_2P.fq.gz	FASTQ	DNA	790707	164715947	36	208.3	251
SRR10013299_1P.fq.gz	FASTQ	DNA	952458	218792069	36	229.7	251
SRR10013299_2P.fq.gz	FASTQ	DNA	952458	199880428	36	209.9	251
SRR10018785_1P.fq.gz	FASTQ	DNA	1333818	313260747	36	234.9	251
SRR10018785_2P.fq.gz	FASTQ	DNA	1333818	295967134	36	221.9	251
SRR10027107_1P.fq.gz	FASTQ	DNA	903925	207468581	36	229.5	251
SRR10027107_2P.fq.gz	FASTQ	DNA	903925	189149934	36	209.3	251
SRR10027407_1P.fq.gz	FASTQ	DNA	1764571	256503055	36	145.4	151
SRR10027407_2P.fq.gz	FASTQ	DNA	1764571	246869353	36	139.9	151
SRR10027552_1P.fq.gz	FASTQ	DNA	1730109	253628513	36	146.6	151
SRR10027552_2P.fq.gz	FASTQ	DNA	1730109	251607332	36	145.4	151
SRR10027554_1P.fq.gz	FASTQ	DNA	1714196	251469488	36	146.7	151
SRR10027554_2P.fq.gz	FASTQ	DNA	1714196	238141271	36	138.9	151
SRR10028757_1P.fq.gz	FASTQ	DNA	1725404	253984383	36	147.2	151
SRR10028757_2P.fq.gz	FASTQ	DNA	1725404	249778371	36	144.8	151
SRR10031119_1P.fq.gz	FASTQ	DNA	601687	127727085	36	212.3	251
SRR10031119_2P.fq.gz	FASTQ	DNA	601687	122929704	36	204.3	251
SRR10032843_1P.fq.gz	FASTQ	DNA	1308648	190061945	36	145.2	151
SRR10032843_2P.fq.gz	FASTQ	DNA	1308648	178610697	36	136.5	151
SRR10037224_1P.fq.gz	FASTQ	DNA	612988	146991926	36	239.8	251
SRR10037224_2P.fq.gz	FASTQ	DNA	612988	137620703	36	224.5	251
SRR10037225_1P.fq.gz	FASTQ	DNA	879550	211704644	36	240.7	251
SRR10037225_2P.fq.gz	FASTQ	DNA	879550	206861646	36	235.2	251
SRR10037239_1P.fq.gz	FASTQ	DNA	760936	183281256	36	240.9	251
SRR10037239_2P.fq.gz	FASTQ	DNA	760936	170283432	36	223.8	251
SRR10037243_1P.fq.gz	FASTQ	DNA	807981	194649223	36	240.9	251
SRR10037243_2P.fq.gz	FASTQ	DNA	807981	190625258	36	235.9	251
SRR10037353_1P.fq.gz	FASTQ	DNA	526200	118632646	36	225.5	251
SRR10037353_2P.fq.gz	FASTQ	DNA	526200	114832933	36	218.2	251
SRR10049737_1P.fq.gz	FASTQ	DNA	1255923	282571123	36	225.0	251
SRR10049737_2P.fq.gz	FASTQ	DNA	1255923	267676743	36	213.1	251
SRR10060559_1P.fq.gz	FASTQ	DNA	1238405	180510749	36	145.8	151
SRR10060559_2P.fq.gz	FASTQ	DNA	1238405	177930016	36	143.7	151
SRR10063213_1P.fq.gz	FASTQ	DNA	699348	162349050	36	232.1	251
SRR10063213_2P.fq.gz	FASTQ	DNA	699348	132066636	36	188.8	251
SRR10068688_1P.fq.gz	FASTQ	DNA	421485	94881987	36	225.1	251
SRR10068688_2P.fq.gz	FASTQ	DNA	421485	84015999	36	199.3	251
SRR10084388_1P.fq.gz	FASTQ	DNA	928940	135599251	36	146.0	151
SRR10084388_2P.fq.gz	FASTQ	DNA	928940	133858648	36	144.1	151
SRR10084895_1P.fq.gz	FASTQ	DNA	447877	105351745	36	235.2	251
SRR10084895_2P.fq.gz	FASTQ	DNA	447877	97509124	36	217.7	251
SRR10096074_1P.fq.gz	FASTQ	DNA	1041557	151285504	36	145.2	151
SRR10096074_2P.fq.gz	FASTQ	DNA	1041557	146818208	36	141.0	151
SRR10113612_1P.fq.gz	FASTQ	DNA	1711372	249713820	36	145.9	151
SRR10113612_2P.fq.gz	FASTQ	DNA	1711372	223627212	36	130.7	151
SRR10115349_1P.fq.gz	FASTQ	DNA	1394120	204356019	36	146.6	151
SRR10115349_2P.fq.gz	FASTQ	DNA	1394120	202317278	36	145.1	151
SRR10126592_1P.fq.gz	FASTQ	DNA	1557361	227553428	36	146.1	151
SRR10126592_2P.fq.gz	FASTQ	DNA	1557361	220204051	36	141.4	151
SRR10126593_1P.fq.gz	FASTQ	DNA	1596634	233832834	36	146.5	151
SRR10126593_2P.fq.gz	FASTQ	DNA	1596634	223849206	36	140.2	151
SRR10126605_1P.fq.gz	FASTQ	DNA	1670371	244313620	36	146.3	151
SRR10126605_2P.fq.gz	FASTQ	DNA	1670371	234768783	36	140.5	151
SRR10126612_1P.fq.gz	FASTQ	DNA	1260913	184239897	36	146.1	151
SRR10126612_2P.fq.gz	FASTQ	DNA	1260913	179414988	36	142.3	151
SRR10126613_1P.fq.gz	FASTQ	DNA	1548497	225825550	36	145.8	151
SRR10126613_2P.fq.gz	FASTQ	DNA	1548497	218933931	36	141.4	151
SRR10126617_1P.fq.gz	FASTQ	DNA	1248534	181967876	36	145.7	151
