"Gene","Non.unique.Gene.name","Annotation","No..isolates","No..sequences","Avg.sequences.per.isolate","Genome.Fragment","Order.within.Fragment","Accessory.Fragment","Accessory.Order.with.Fragment","QC","Min.group.size.nuc","Max.group.size.nuc","Avg.group.size.nuc","SRR11214349","SRR2925645","SRR10222642","SRR13944746","SRR8202307","SRR8157475","SRR9127641","SRR8322000","SRR1501685","SRR3664802","SRR5350752","SRR9600807","SRR1980626","SRR12817682","SRR13111143"
"group_1006","","hypothetical protein",905,905,1,1,2498,NA,NA,"",1823,2168,2165,"BHPBMBJN_03110","FDGBHDOC_03635","HMKNHGIH_03184","PIIKOJLE_04378","JBBBAEHI_03506","BJMGBDIE_04419","NPEKLDJK_04577","CNKEBLDJ_02732","IGAJNBHF_03243","EECKNKNK_03047","LGBPPDBD_00035","PEBJLAEJ_03608","CNMMGBPN_03386","MCBFACEP_04332","HLIGKNCD_04131"
"papC_3","","Outer membrane usher protein PapC",905,905,1,1,997,NA,NA,"",2057,2657,2656,"BHPBMBJN_03428","FDGBHDOC_03755","HMKNHGIH_04403","PIIKOJLE_04312","JBBBAEHI_03884","BJMGBDIE_04152","NPEKLDJK_04185","CNKEBLDJ_03781","IGAJNBHF_04048","EECKNKNK_03666","LGBPPDBD_03614","PEBJLAEJ_03814","CNMMGBPN_03675","MCBFACEP_03926","HLIGKNCD_03564"
"yfcO","","putative protein YfcO",905,905,1,1,992,NA,NA,"",734,842,841,"BHPBMBJN_03423","FDGBHDOC_03750","HMKNHGIH_04408","PIIKOJLE_04307","JBBBAEHI_03889","BJMGBDIE_04147","NPEKLDJK_04180","CNKEBLDJ_03776","IGAJNBHF_04043","EECKNKNK_03671","LGBPPDBD_03619","PEBJLAEJ_03819","CNMMGBPN_03670","MCBFACEP_03931","HLIGKNCD_03569"
"group_1013","","hypothetical protein",905,905,1,1,988,NA,NA,"",362,689,622,"BHPBMBJN_03419","FDGBHDOC_03746","HMKNHGIH_04412","PIIKOJLE_04303","JBBBAEHI_03893","BJMGBDIE_04143","NPEKLDJK_04176","CNKEBLDJ_03772","IGAJNBHF_04039","EECKNKNK_03675","LGBPPDBD_03623","PEBJLAEJ_03823","CNMMGBPN_03666","MCBFACEP_03935","HLIGKNCD_03573"
"abaF","","Fosfomycin resistance protein AbaF",905,905,1,1,979,NA,NA,"",803,1301,804,"BHPBMBJN_03411","FDGBHDOC_03738","HMKNHGIH_04420","PIIKOJLE_04295","JBBBAEHI_03901","BJMGBDIE_04135","NPEKLDJK_04168","CNKEBLDJ_03764","IGAJNBHF_04031","EECKNKNK_03683","LGBPPDBD_03631","PEBJLAEJ_03831","CNMMGBPN_03658","MCBFACEP_03943","HLIGKNCD_03581"
"ldcC","","Constitutive lysine decarboxylase",905,905,1,1,956,NA,NA,"",1370,2141,2139,"BHPBMBJN_03388","FDGBHDOC_03715","HMKNHGIH_04443","PIIKOJLE_04272","JBBBAEHI_03924","BJMGBDIE_04112","NPEKLDJK_04145","CNKEBLDJ_03741","IGAJNBHF_04008","EECKNKNK_03706","LGBPPDBD_03654","PEBJLAEJ_03854","CNMMGBPN_03635","MCBFACEP_03966","HLIGKNCD_03604"
"group_1042","","putative signaling protein",905,905,1,1,1158,NA,NA,"",1100,2099,2097,"BHPBMBJN_04424","FDGBHDOC_04454","HMKNHGIH_04516","PIIKOJLE_04468","JBBBAEHI_04526","BJMGBDIE_04314","NPEKLDJK_04336","CNKEBLDJ_04486","IGAJNBHF_04432","EECKNKNK_04491","LGBPPDBD_04396","PEBJLAEJ_04433","CNMMGBPN_04414","MCBFACEP_04282","HLIGKNCD_03935"
"malG","","Maltose/maltodextrin transport system permease protein MalG",905,905,1,1,913,NA,NA,"",515,890,889,"BHPBMBJN_04310","FDGBHDOC_01572","HMKNHGIH_01830","PIIKOJLE_02820","JBBBAEHI_00903","BJMGBDIE_04071","NPEKLDJK_04102","CNKEBLDJ_00513","IGAJNBHF_03198","EECKNKNK_01424","LGBPPDBD_01331","PEBJLAEJ_00695","CNMMGBPN_01086","MCBFACEP_03896","HLIGKNCD_04048"
"lamB","","Maltoporin",905,905,1,1,4755,NA,NA,"",644,1358,1347,"BHPBMBJN_04314","FDGBHDOC_01568","HMKNHGIH_01826","PIIKOJLE_02816","JBBBAEHI_00899","BJMGBDIE_04067","NPEKLDJK_04106","CNKEBLDJ_00517","IGAJNBHF_03194","EECKNKNK_01428","LGBPPDBD_01335","PEBJLAEJ_00699","CNMMGBPN_01082","MCBFACEP_03900","HLIGKNCD_04044"
"chuR_2","","Anaerobic sulfatase-maturating enzyme",905,905,1,1,5840,NA,NA,"",965,1190,1189,"BHPBMBJN_04577","FDGBHDOC_01173","HMKNHGIH_01431","PIIKOJLE_03455","JBBBAEHI_00504","BJMGBDIE_03291","NPEKLDJK_02949","CNKEBLDJ_00913","IGAJNBHF_03692","EECKNKNK_01824","LGBPPDBD_01730","PEBJLAEJ_01094","CNMMGBPN_00687","MCBFACEP_04368","HLIGKNCD_04236"
