"Gene","Non.unique.Gene.name","Annotation","No..isolates","No..sequences","Avg.sequences.per.isolate","Genome.Fragment","Order.within.Fragment","Accessory.Fragment","Accessory.Order.with.Fragment","QC","Min.group.size.nuc","Max.group.size.nuc","Avg.group.size.nuc","NDSU10","SRR6310053","SRR3037435","SRR3097528","SRR15146546","SRR980326","SRR15146530","SRR8137073","SRR14766361","SRR14766414","SRR17585407","SRR5905513","NDSU12","SRR14766337","SRR27708427"
"dsbD_1","","Thiol:disulfide interchange protein DsbD",581,581,1,1,4535,NA,NA,"",440,1886,1882,"PGKCJFEA_01752","DNOEEKHJ_04610","CKPEMOEN_00646","ALLEBCBP_00061","NAPOKNNJ_01523","ICDMIJBP_01861","MNLBAKIA_00979","JJPGFOPI_01204","MGNDMLEC_00310","CBFLKJKM_03062","MAIOMPIG_00844","JLGLOGEO_02829","KMJDPIGG_04074","FHGKKJNF_01456","LBMEENEJ_00520"
"artM_2","","Arginine transport ATP-binding protein ArtM",581,581,1,1,4645,NA,NA,"",503,752,751,"PGKCJFEA_01630","DNOEEKHJ_03700","CKPEMOEN_00746","ALLEBCBP_00161","NAPOKNNJ_01423","ICDMIJBP_04222","MNLBAKIA_01079","JJPGFOPI_02446","MGNDMLEC_00410","CBFLKJKM_04095","MAIOMPIG_00744","JLGLOGEO_01944","KMJDPIGG_03974","FHGKKJNF_00434","LBMEENEJ_00621"
"papC_3","","Outer membrane usher protein PapC",581,581,1,1,2395,NA,NA,"",590,2657,2653,"PGKCJFEA_02611","DNOEEKHJ_03610","CKPEMOEN_03290","ALLEBCBP_03158","NAPOKNNJ_03226","ICDMIJBP_03568","MNLBAKIA_03719","JJPGFOPI_03624","MGNDMLEC_04128","CBFLKJKM_03477","MAIOMPIG_04078","JLGLOGEO_03827","KMJDPIGG_03758","FHGKKJNF_01956","LBMEENEJ_03478"
"group_1039","","hypothetical protein",581,581,1,1,2178,NA,NA,"",263,998,995,"PGKCJFEA_01955","DNOEEKHJ_03378","CKPEMOEN_03694","ALLEBCBP_03649","NAPOKNNJ_03946","ICDMIJBP_04107","MNLBAKIA_04089","JJPGFOPI_01359","MGNDMLEC_04426","CBFLKJKM_03729","MAIOMPIG_03999","JLGLOGEO_03238","KMJDPIGG_04193","FHGKKJNF_04534","LBMEENEJ_03848"
"assT_4","","Arylsulfate sulfotransferase AssT",581,581,1,1,2183,NA,NA,"",893,1790,1783,"PGKCJFEA_01960","DNOEEKHJ_03373","CKPEMOEN_03689","ALLEBCBP_03644","NAPOKNNJ_03941","ICDMIJBP_04102","MNLBAKIA_04094","JJPGFOPI_01354","MGNDMLEC_04241","CBFLKJKM_03724","MAIOMPIG_03994","JLGLOGEO_03233","KMJDPIGG_04188","FHGKKJNF_02828","LBMEENEJ_02431"
"group_1043","","hypothetical protein",581,581,1,1,2258,NA,NA,"",824,1100,1098,"PGKCJFEA_02018","DNOEEKHJ_03315","CKPEMOEN_03631","ALLEBCBP_03586","NAPOKNNJ_03883","ICDMIJBP_04044","MNLBAKIA_04152","JJPGFOPI_01296","MGNDMLEC_04183","CBFLKJKM_03666","MAIOMPIG_03936","JLGLOGEO_03840","KMJDPIGG_04130","FHGKKJNF_01969","LBMEENEJ_02373"
"glnG","","DNA-binding transcriptional regulator NtrC",581,581,1,1,2219,NA,NA,"",434,1409,1407,"PGKCJFEA_03828","DNOEEKHJ_03279","CKPEMOEN_03595","ALLEBCBP_03550","NAPOKNNJ_03847","ICDMIJBP_04008","MNLBAKIA_04188","JJPGFOPI_01260","MGNDMLEC_04304","CBFLKJKM_03630","MAIOMPIG_03900","JLGLOGEO_03876","KMJDPIGG_04094","FHGKKJNF_02005","LBMEENEJ_02337"
"hsrA","","putative transport protein HsrA",581,581,1,1,1363,NA,NA,"",872,1427,1426,"PGKCJFEA_02695","DNOEEKHJ_04138","CKPEMOEN_04169","ALLEBCBP_04035","NAPOKNNJ_04225","ICDMIJBP_04386","MNLBAKIA_04352","JJPGFOPI_03261","MGNDMLEC_03925","CBFLKJKM_04201","MAIOMPIG_04377","JLGLOGEO_03358","KMJDPIGG_04313","FHGKKJNF_01399","LBMEENEJ_02957"
"dgoD_2","","D-galactonate dehydratase",581,581,1,1,1420,NA,NA,"",692,1148,1146,"PGKCJFEA_02639","DNOEEKHJ_04194","CKPEMOEN_04113","ALLEBCBP_03979","NAPOKNNJ_04169","ICDMIJBP_04442","MNLBAKIA_04296","JJPGFOPI_03205","MGNDMLEC_03981","CBFLKJKM_04145","MAIOMPIG_04321","JLGLOGEO_03414","KMJDPIGG_04369","FHGKKJNF_01343","LBMEENEJ_02901"
"araA","","L-arabinose isomerase",581,581,1,1,2499,NA,NA,"",1259,1502,1501,"PGKCJFEA_04020","DNOEEKHJ_03827","CKPEMOEN_03390","ALLEBCBP_01973","NAPOKNNJ_03126","ICDMIJBP_03468","MNLBAKIA_03821","JJPGFOPI_00988","MGNDMLEC_03589","CBFLKJKM_03577","MAIOMPIG_04173","JLGLOGEO_02675","KMJDPIGG_03858","FHGKKJNF_04212","LBMEENEJ_02473"
"acrF","","Multidrug export protein AcrF",581,581,1,1,1981,NA,NA,"",1700,3113,3110,"PGKCJFEA_03700","DNOEEKHJ_04297","CKPEMOEN_04532","ALLEBCBP_04368","NAPOKNNJ_04413","ICDMIJBP_04509","MNLBAKIA_04471","JJPGFOPI_04594","MGNDMLEC_04434","CBFLKJKM_04525","MAIOMPIG_04508","JLGLOGEO_04657","KMJDPIGG_04489","FHGKKJNF_03105","LBMEENEJ_03883"
"acrR_2","","HTH-type transcriptional regulator AcrR",581,581,1,1,1978,NA,NA,"",335,662,661,"PGKCJFEA_03697","DNOEEKHJ_04294","CKPEMOEN_04529","ALLEBCBP_04371","NAPOKNNJ_04416","ICDMIJBP_04512","MNLBAKIA_04474","JJPGFOPI_04004","MGNDMLEC_04437","CBFLKJKM_04528","MAIOMPIG_04505","JLGLOGEO_04293","KMJDPIGG_04486","FHGKKJNF_03102","LBMEENEJ_03886"
"group_1083","","hypothetical protein",581,581,1,1,1957,NA,NA,"",3284,3800,3799,"PGKCJFEA_03676","DNOEEKHJ_04273","CKPEMOEN_04508","ALLEBCBP_04392","NAPOKNNJ_04437","ICDMIJBP_04533","MNLBAKIA_04495","JJPGFOPI_03983","MGNDMLEC_04458","CBFLKJKM_04549","MAIOMPIG_04484","JLGLOGEO_04314","KMJDPIGG_04465","FHGKKJNF_03081","LBMEENEJ_03907"
"group_1085","","hypothetical protein",581,581,1,1,3656,NA,NA,"",425,2135,2129,"PGKCJFEA_03935","DNOEEKHJ_04327","CKPEMOEN_04467","ALLEBCBP_03080","NAPOKNNJ_04384","ICDMIJBP_04476","MNLBAKIA_04438","JJPGFOPI_04230","MGNDMLEC_04369","CBFLKJKM_04496","MAIOMPIG_04537","JLGLOGEO_02050","KMJDPIGG_04518","FHGKKJNF_02700","LBMEENEJ_04093"
"zraS","","Sensor protein ZraS",581,581,1,1,1524,NA,NA,"",779,1463,1460,"PGKCJFEA_04200","DNOEEKHJ_04452","CKPEMOEN_04575","ALLEBCBP_04556","NAPOKNNJ_04456","ICDMIJBP_04582","MNLBAKIA_04514","JJPGFOPI_04111","MGNDMLEC_04536","CBFLKJKM_04624","MAIOMPIG_04589","JLGLOGEO_04531","KMJDPIGG_04548","FHGKKJNF_04168","LBMEENEJ_04131"
"deaD","","ATP-dependent RNA helicase DeaD",581,581,1,1,2619,NA,NA,"",1745,1913,1888,"PGKCJFEA_00866","DNOEEKHJ_00073","CKPEMOEN_00895","ALLEBCBP_02799","NAPOKNNJ_01274","ICDMIJBP_00595","MNLBAKIA_00596","JJPGFOPI_00642","MGNDMLEC_02419","CBFLKJKM_02749","MAIOMPIG_00074","JLGLOGEO_03015","KMJDPIGG_00916","FHGKKJNF_00850","LBMEENEJ_00331"
"metH","","Methionine synthase",581,581,1,1,2012,NA,NA,"",3206,3689,3682,"PGKCJFEA_04403","DNOEEKHJ_04210","CKPEMOEN_04380","ALLEBCBP_04114","NAPOKNNJ_02807","ICDMIJBP_03168","MNLBAKIA_01162","JJPGFOPI_03562","MGNDMLEC_04079","CBFLKJKM_03866","MAIOMPIG_01590","JLGLOGEO_03765","KMJDPIGG_02514","FHGKKJNF_04002","LBMEENEJ_03341"
"ftsP","","Cell division protein FtsP",581,581,1,1,2726,NA,NA,"",563,1418,1410,"PGKCJFEA_00763","DNOEEKHJ_00177","CKPEMOEN_00998","ALLEBCBP_02902","NAPOKNNJ_01171","ICDMIJBP_00492","MNLBAKIA_00493","JJPGFOPI_00745","MGNDMLEC_02522","CBFLKJKM_02646","MAIOMPIG_00177","JLGLOGEO_04440","KMJDPIGG_01019","FHGKKJNF_03838","LBMEENEJ_00228"
"nudL","","putative Nudix hydrolase NudL",581,581,1,1,4771,NA,NA,"",203,578,577,"PGKCJFEA_01878","DNOEEKHJ_01129","CKPEMOEN_00048","ALLEBCBP_00289","NAPOKNNJ_00697","ICDMIJBP_01441","MNLBAKIA_01957","JJPGFOPI_01977","MGNDMLEC_00533","CBFLKJKM_00048","MAIOMPIG_01959","JLGLOGEO_04009","KMJDPIGG_00047","FHGKKJNF_02573","LBMEENEJ_02846"
"yoaA","","putative ATP-dependent DNA helicase YoaA",581,581,1,1,4775,NA,NA,"",1604,1910,1909,"PGKCJFEA_01874","DNOEEKHJ_01133","CKPEMOEN_00052","ALLEBCBP_00293","NAPOKNNJ_00693","ICDMIJBP_01437","MNLBAKIA_01953","JJPGFOPI_01973","MGNDMLEC_00537","CBFLKJKM_00052","MAIOMPIG_01955","JLGLOGEO_04013","KMJDPIGG_00051","FHGKKJNF_02569","LBMEENEJ_02842"
"fadD","","Long-chain-fatty-acid--CoA ligase",581,581,1,1,4778,NA,NA,"",1457,1751,1750,"PGKCJFEA_01871","DNOEEKHJ_01136","CKPEMOEN_00055","ALLEBCBP_00296","NAPOKNNJ_00690","ICDMIJBP_01434","MNLBAKIA_01950","JJPGFOPI_01970","MGNDMLEC_00540","CBFLKJKM_00055","MAIOMPIG_01952","JLGLOGEO_04016","KMJDPIGG_00054","FHGKKJNF_02566","LBMEENEJ_02839"
"rnd","","Ribonuclease D",581,581,1,1,4779,NA,NA,"",746,1115,1114,"PGKCJFEA_01870","DNOEEKHJ_01137","CKPEMOEN_00056","ALLEBCBP_00297","NAPOKNNJ_00689","ICDMIJBP_01433","MNLBAKIA_01949","JJPGFOPI_01969","MGNDMLEC_00541","CBFLKJKM_00056","MAIOMPIG_01951","JLGLOGEO_04017","KMJDPIGG_00055","FHGKKJNF_02565","LBMEENEJ_02838"
"appC","","Cytochrome bd-II ubiquinol oxidase subunit 1",581,581,1,1,4804,NA,NA,"",896,1544,1542,"PGKCJFEA_01845","DNOEEKHJ_01162","CKPEMOEN_00081","ALLEBCBP_00322","NAPOKNNJ_00664","ICDMIJBP_01408","MNLBAKIA_01924","JJPGFOPI_01944","MGNDMLEC_00566","CBFLKJKM_00081","MAIOMPIG_01926","JLGLOGEO_04042","KMJDPIGG_00080","FHGKKJNF_02540","LBMEENEJ_02813"
"group_1158","","hypothetical protein",581,581,1,1,4805,NA,NA,"",356,848,846,"PGKCJFEA_01844","DNOEEKHJ_01163","CKPEMOEN_00082","ALLEBCBP_00323","NAPOKNNJ_00663","ICDMIJBP_01407","MNLBAKIA_01923","JJPGFOPI_01943","MGNDMLEC_00567","CBFLKJKM_00082","MAIOMPIG_01925","JLGLOGEO_04043","KMJDPIGG_00081","FHGKKJNF_02539","LBMEENEJ_02812"
"hyaE","","Hydrogenase-1 operon protein HyaE",581,581,1,1,4806,NA,NA,"",404,455,404,"PGKCJFEA_01843","DNOEEKHJ_01164","CKPEMOEN_00083","ALLEBCBP_00324","NAPOKNNJ_00662","ICDMIJBP_01406","MNLBAKIA_01922","JJPGFOPI_01942","MGNDMLEC_00568","CBFLKJKM_00083","MAIOMPIG_01924","JLGLOGEO_04044","KMJDPIGG_00082","FHGKKJNF_02538","LBMEENEJ_02811"
"prfA","","Peptide chain release factor RF1",581,581,1,1,4823,NA,NA,"",632,1082,1081,"PGKCJFEA_01828","DNOEEKHJ_01179","CKPEMOEN_00098","ALLEBCBP_00339","NAPOKNNJ_00647","ICDMIJBP_01391","MNLBAKIA_01907","JJPGFOPI_01927","MGNDMLEC_00583","CBFLKJKM_00098","MAIOMPIG_01909","JLGLOGEO_00351","KMJDPIGG_00097","FHGKKJNF_02231","LBMEENEJ_04310"
