"Gene","Non.unique.Gene.name","Annotation","No..isolates","No..sequences","Avg.sequences.per.isolate","Genome.Fragment","Order.within.Fragment","Accessory.Fragment","Accessory.Order.with.Fragment","QC","Min.group.size.nuc","Max.group.size.nuc","Avg.group.size.nuc","SRR9016861","SRR16506855","NDSU10","SRR1515953","SRR5000237","SRR14766407","SRR14766455","SRR10037239","SRR2911780","SRR23043682","SRR14766451","SRR5883589","SRR28412155","SRR14766423","SRR14272154"
"dsbD_1","","Thiol:disulfide interchange protein DsbD",581,581,1,1,4535,NA,NA,"",440,1886,1882,"DPFOFGOO_02150","MMJAGEHG_00978","PGKCJFEA_01752","JICBPFCI_03296","GJOEKIMA_01805","FCNMCNAM_02229","BHJELCCI_02533","OOMIMPCI_01589","FENEHPHI_02552","NJDFJAED_00177","JKFJINKE_04053","IKEIDPHJ_01012","KODEOOAH_01719","ONBFLLJP_00178","HAANCNKA_00640"
"artM_2","","Arginine transport ATP-binding protein ArtM",581,581,1,1,4645,NA,NA,"",503,752,751,"DPFOFGOO_02050","MMJAGEHG_01078","PGKCJFEA_01630","JICBPFCI_04043","GJOEKIMA_01906","FCNMCNAM_03354","BHJELCCI_03429","OOMIMPCI_01489","FENEHPHI_03987","NJDFJAED_00076","JKFJINKE_02900","IKEIDPHJ_03250","KODEOOAH_01819","ONBFLLJP_00077","HAANCNKA_00540"
"papC_3","","Outer membrane usher protein PapC",581,581,1,1,2395,NA,NA,"",590,2657,2653,"DPFOFGOO_04174","MMJAGEHG_03721","PGKCJFEA_02611","JICBPFCI_03912","GJOEKIMA_04133","FCNMCNAM_04000","BHJELCCI_04027","OOMIMPCI_03811","FENEHPHI_03218","NJDFJAED_03776","JKFJINKE_01996","IKEIDPHJ_04225","KODEOOAH_03732","ONBFLLJP_03238","HAANCNKA_04109"
"group_1039","","hypothetical protein",581,581,1,1,2178,NA,NA,"",263,998,995,"DPFOFGOO_03010","MMJAGEHG_04172","PGKCJFEA_01955","JICBPFCI_02341","GJOEKIMA_03636","FCNMCNAM_02304","BHJELCCI_02840","OOMIMPCI_04178","FENEHPHI_03783","NJDFJAED_04052","JKFJINKE_03051","IKEIDPHJ_02783","KODEOOAH_04142","ONBFLLJP_03508","HAANCNKA_03943"
"assT_4","","Arylsulfate sulfotransferase AssT",581,581,1,1,2183,NA,NA,"",893,1790,1783,"DPFOFGOO_03015","MMJAGEHG_04167","PGKCJFEA_01960","JICBPFCI_02346","GJOEKIMA_03641","FCNMCNAM_02309","BHJELCCI_02835","OOMIMPCI_04183","FENEHPHI_03778","NJDFJAED_04057","JKFJINKE_02962","IKEIDPHJ_02788","KODEOOAH_04147","ONBFLLJP_03513","HAANCNKA_03948"
"group_1043","","hypothetical protein",581,581,1,1,2258,NA,NA,"",824,1100,1098,"DPFOFGOO_03073","MMJAGEHG_04109","PGKCJFEA_02018","JICBPFCI_02404","GJOEKIMA_04236","FCNMCNAM_02367","BHJELCCI_02777","OOMIMPCI_04241","FENEHPHI_03720","NJDFJAED_04115","JKFJINKE_04430","IKEIDPHJ_02846","KODEOOAH_04205","ONBFLLJP_03571","HAANCNKA_04006"
"glnG","","DNA-binding transcriptional regulator NtrC",581,581,1,1,2219,NA,NA,"",434,1409,1407,"DPFOFGOO_03109","MMJAGEHG_04073","PGKCJFEA_03828","JICBPFCI_02440","GJOEKIMA_04200","FCNMCNAM_02403","BHJELCCI_02741","OOMIMPCI_04277","FENEHPHI_03684","NJDFJAED_04151","JKFJINKE_02846","IKEIDPHJ_02882","KODEOOAH_04241","ONBFLLJP_03607","HAANCNKA_04042"
"hsrA","","putative transport protein HsrA",581,581,1,1,1363,NA,NA,"",872,1427,1426,"DPFOFGOO_03984","MMJAGEHG_04387","PGKCJFEA_02695","JICBPFCI_03617","GJOEKIMA_03776","FCNMCNAM_03741","BHJELCCI_03953","OOMIMPCI_04378","FENEHPHI_04151","NJDFJAED_04252","JKFJINKE_01330","IKEIDPHJ_03977","KODEOOAH_04405","ONBFLLJP_04324","HAANCNKA_04245"
"dgoD_2","","D-galactonate dehydratase",581,581,1,1,1420,NA,NA,"",692,1148,1146,"DPFOFGOO_04040","MMJAGEHG_04443","PGKCJFEA_02639","JICBPFCI_03673","GJOEKIMA_03832","FCNMCNAM_03797","BHJELCCI_03897","OOMIMPCI_04434","FENEHPHI_04207","NJDFJAED_04308","JKFJINKE_01386","IKEIDPHJ_03921","KODEOOAH_04349","ONBFLLJP_04380","HAANCNKA_04301"
"araA","","L-arabinose isomerase",581,581,1,1,2499,NA,NA,"",1259,1502,1501,"DPFOFGOO_03584","MMJAGEHG_03821","PGKCJFEA_04020","JICBPFCI_02211","GJOEKIMA_03380","FCNMCNAM_03957","BHJELCCI_03180","OOMIMPCI_03910","FENEHPHI_03118","NJDFJAED_03676","JKFJINKE_01892","IKEIDPHJ_02651","KODEOOAH_03632","ONBFLLJP_03138","HAANCNKA_04435"
"acrF","","Multidrug export protein AcrF",581,581,1,1,1981,NA,NA,"",1700,3113,3110,"DPFOFGOO_04409","MMJAGEHG_04511","PGKCJFEA_03700","JICBPFCI_04602","GJOEKIMA_04407","FCNMCNAM_04350","BHJELCCI_04229","OOMIMPCI_04535","FENEHPHI_04520","NJDFJAED_04473","JKFJINKE_04527","IKEIDPHJ_04374","KODEOOAH_04410","ONBFLLJP_04524","HAANCNKA_04481"
"acrR_2","","HTH-type transcriptional regulator AcrR",581,581,1,1,1978,NA,NA,"",335,662,661,"DPFOFGOO_04406","MMJAGEHG_04514","PGKCJFEA_03697","JICBPFCI_04250","GJOEKIMA_04404","FCNMCNAM_04347","BHJELCCI_04226","OOMIMPCI_04538","FENEHPHI_04517","NJDFJAED_04476","JKFJINKE_03427","IKEIDPHJ_04371","KODEOOAH_04413","ONBFLLJP_04521","HAANCNKA_04478"
"group_1083","","hypothetical protein",581,581,1,1,1957,NA,NA,"",3284,3800,3799,"DPFOFGOO_04385","MMJAGEHG_04535","PGKCJFEA_03676","JICBPFCI_04229","GJOEKIMA_04383","FCNMCNAM_04326","BHJELCCI_04205","OOMIMPCI_04559","FENEHPHI_04496","NJDFJAED_04497","JKFJINKE_03406","IKEIDPHJ_04350","KODEOOAH_04434","ONBFLLJP_04500","HAANCNKA_04457"
"group_1085","","hypothetical protein",581,581,1,1,3656,NA,NA,"",425,2135,2129,"DPFOFGOO_04439","MMJAGEHG_04482","PGKCJFEA_03935","JICBPFCI_04111","GJOEKIMA_04342","FCNMCNAM_04191","BHJELCCI_04164","OOMIMPCI_04600","FENEHPHI_04451","NJDFJAED_04444","JKFJINKE_03160","IKEIDPHJ_04305","KODEOOAH_04476","ONBFLLJP_04031","HAANCNKA_00433"
"zraS","","Sensor protein ZraS",581,581,1,1,1524,NA,NA,"",779,1463,1460,"DPFOFGOO_04591","MMJAGEHG_04604","PGKCJFEA_04200","JICBPFCI_04377","GJOEKIMA_04530","FCNMCNAM_04519","BHJELCCI_04566","OOMIMPCI_04660","FENEHPHI_04549","NJDFJAED_04538","JKFJINKE_04265","IKEIDPHJ_04418","KODEOOAH_04505","ONBFLLJP_04531","HAANCNKA_04518"
"deaD","","ATP-dependent RNA helicase DeaD",581,581,1,1,2619,NA,NA,"",1745,1913,1888,"DPFOFGOO_01751","MMJAGEHG_00074","PGKCJFEA_00866","JICBPFCI_00332","GJOEKIMA_01150","FCNMCNAM_01702","BHJELCCI_02123","OOMIMPCI_01340","FENEHPHI_00595","NJDFJAED_02646","JKFJINKE_00697","IKEIDPHJ_03114","KODEOOAH_00815","ONBFLLJP_01257","HAANCNKA_01545"
"metH","","Methionine synthase",581,581,1,1,2012,NA,NA,"",3206,3689,3682,"DPFOFGOO_03227","MMJAGEHG_01161","PGKCJFEA_04403","JICBPFCI_02746","GJOEKIMA_04084","FCNMCNAM_04478","BHJELCCI_03132","OOMIMPCI_02338","FENEHPHI_01104","NJDFJAED_00494","JKFJINKE_04311","IKEIDPHJ_04593","KODEOOAH_01902","ONBFLLJP_00927","HAANCNKA_01626"
"ftsP","","Cell division protein FtsP",581,581,1,1,2726,NA,NA,"",563,1418,1410,"DPFOFGOO_01854","MMJAGEHG_00177","PGKCJFEA_00763","JICBPFCI_00228","GJOEKIMA_01047","FCNMCNAM_01599","BHJELCCI_02020","OOMIMPCI_01237","FENEHPHI_00492","NJDFJAED_02543","JKFJINKE_01975","IKEIDPHJ_03723","KODEOOAH_00918","ONBFLLJP_01154","HAANCNKA_01442"
"nudL","","putative Nudix hydrolase NudL",581,581,1,1,4771,NA,NA,"",203,578,577,"DPFOFGOO_03937","MMJAGEHG_01644","PGKCJFEA_01878","JICBPFCI_03451","GJOEKIMA_00773","FCNMCNAM_02911","BHJELCCI_00361","OOMIMPCI_00700","FENEHPHI_01159","NJDFJAED_00978","JKFJINKE_01642","IKEIDPHJ_03813","KODEOOAH_00047","ONBFLLJP_03971","HAANCNKA_00360"
"yoaA","","putative ATP-dependent DNA helicase YoaA",581,581,1,1,4775,NA,NA,"",1604,1910,1909,"DPFOFGOO_03933","MMJAGEHG_01648","PGKCJFEA_01874","JICBPFCI_03455","GJOEKIMA_00769","FCNMCNAM_02907","BHJELCCI_00357","OOMIMPCI_00696","FENEHPHI_01163","NJDFJAED_00982","JKFJINKE_01638","IKEIDPHJ_03817","KODEOOAH_00051","ONBFLLJP_03967","HAANCNKA_00356"
"fadD","","Long-chain-fatty-acid--CoA ligase",581,581,1,1,4778,NA,NA,"",1457,1751,1750,"DPFOFGOO_03930","MMJAGEHG_01651","PGKCJFEA_01871","JICBPFCI_03458","GJOEKIMA_00766","FCNMCNAM_02904","BHJELCCI_00354","OOMIMPCI_00693","FENEHPHI_01166","NJDFJAED_00985","JKFJINKE_01635","IKEIDPHJ_03820","KODEOOAH_00054","ONBFLLJP_03964","HAANCNKA_00353"
"rnd","","Ribonuclease D",581,581,1,1,4779,NA,NA,"",746,1115,1114,"DPFOFGOO_03929","MMJAGEHG_01652","PGKCJFEA_01870","JICBPFCI_03459","GJOEKIMA_00765","FCNMCNAM_02903","BHJELCCI_00353","OOMIMPCI_00692","FENEHPHI_01167","NJDFJAED_00986","JKFJINKE_01634","IKEIDPHJ_03821","KODEOOAH_00055","ONBFLLJP_03963","HAANCNKA_00352"
"appC","","Cytochrome bd-II ubiquinol oxidase subunit 1",581,581,1,1,4804,NA,NA,"",896,1544,1542,"DPFOFGOO_03904","MMJAGEHG_01677","PGKCJFEA_01845","JICBPFCI_03484","GJOEKIMA_00740","FCNMCNAM_02878","BHJELCCI_00328","OOMIMPCI_00667","FENEHPHI_01192","NJDFJAED_01011","JKFJINKE_01609","IKEIDPHJ_03846","KODEOOAH_00080","ONBFLLJP_03938","HAANCNKA_00327"
"group_1158","","hypothetical protein",581,581,1,1,4805,NA,NA,"",356,848,846,"DPFOFGOO_03903","MMJAGEHG_01678","PGKCJFEA_01844","JICBPFCI_03485","GJOEKIMA_00739","FCNMCNAM_02877","BHJELCCI_00327","OOMIMPCI_00666","FENEHPHI_01193","NJDFJAED_01012","JKFJINKE_01608","IKEIDPHJ_03847","KODEOOAH_00081","ONBFLLJP_03937","HAANCNKA_00326"
"hyaE","","Hydrogenase-1 operon protein HyaE",581,581,1,1,4806,NA,NA,"",404,455,404,"DPFOFGOO_03902","MMJAGEHG_01679","PGKCJFEA_01843","JICBPFCI_03486","GJOEKIMA_00738","FCNMCNAM_02876","BHJELCCI_00326","OOMIMPCI_00665","FENEHPHI_01194","NJDFJAED_01013","JKFJINKE_01607","IKEIDPHJ_03848","KODEOOAH_00082","ONBFLLJP_03936","HAANCNKA_00325"
"prfA","","Peptide chain release factor RF1",581,581,1,1,4823,NA,NA,"",632,1082,1081,"DPFOFGOO_00702","MMJAGEHG_01694","PGKCJFEA_01828","JICBPFCI_03501","GJOEKIMA_00723","FCNMCNAM_02861","BHJELCCI_00311","OOMIMPCI_00650","FENEHPHI_01209","NJDFJAED_01028","JKFJINKE_02176","IKEIDPHJ_00668","KODEOOAH_00097","ONBFLLJP_04434","HAANCNKA_00310"
"narX","","Nitrate/nitrite sensor protein NarX",581,581,1,1,4833,NA,NA,"",1739,1796,1795,"DPFOFGOO_00712","MMJAGEHG_01704","PGKCJFEA_01818","JICBPFCI_03511","GJOEKIMA_00713","FCNMCNAM_02851","BHJELCCI_00301","OOMIMPCI_00640","FENEHPHI_01219","NJDFJAED_01038","JKFJINKE_02186","IKEIDPHJ_00658","KODEOOAH_00107","ONBFLLJP_04424","HAANCNKA_00300"
"narG","","Respiratory nitrate reductase 1 alpha chain",581,581,1,1,4835,NA,NA,"",1712,3743,3739,"DPFOFGOO_00714","MMJAGEHG_01706","PGKCJFEA_01816","JICBPFCI_03513","GJOEKIMA_00711","FCNMCNAM_02849","BHJELCCI_00299","OOMIMPCI_00638","FENEHPHI_01221","NJDFJAED_01040","JKFJINKE_02188","IKEIDPHJ_00656","KODEOOAH_00109","ONBFLLJP_04422","HAANCNKA_00298"
"yciI","","Protein YciI",581,581,1,1,4860,NA,NA,"",221,296,295,"DPFOFGOO_00739","MMJAGEHG_01731","PGKCJFEA_00725","JICBPFCI_03749","GJOEKIMA_00686","FCNMCNAM_03061","BHJELCCI_00274","OOMIMPCI_00613","FENEHPHI_01246","NJDFJAED_01065","JKFJINKE_02213","IKEIDPHJ_00631","KODEOOAH_00134","ONBFLLJP_04397","HAANCNKA_00273"
"group_1165","","hypothetical protein",581,581,1,1,4864,NA,NA,"",641,743,742,"DPFOFGOO_00743","MMJAGEHG_01735","PGKCJFEA_00721","JICBPFCI_03745","GJOEKIMA_00682","FCNMCNAM_03065","BHJELCCI_00270","OOMIMPCI_00609","FENEHPHI_01250","NJDFJAED_01069","JKFJINKE_02217","IKEIDPHJ_00627","KODEOOAH_00138","ONBFLLJP_04393","HAANCNKA_00269"
"trpGD","","Bifunctional protein TrpGD",581,581,1,1,4874,NA,NA,"",431,1595,1590,"DPFOFGOO_00753","MMJAGEHG_01745","PGKCJFEA_00711","JICBPFCI_03735","GJOEKIMA_00672","FCNMCNAM_03075","BHJELCCI_00260","OOMIMPCI_00599","FENEHPHI_01260","NJDFJAED_01079","JKFJINKE_01325","IKEIDPHJ_00617","KODEOOAH_00148","ONBFLLJP_04383","HAANCNKA_00259"
"trpE","","Anthranilate synthase component 1",581,581,1,1,4875,NA,NA,"",374,1562,1559,"DPFOFGOO_00754","MMJAGEHG_01746","PGKCJFEA_00710","JICBPFCI_03734","GJOEKIMA_00671","FCNMCNAM_03076","BHJELCCI_00259","OOMIMPCI_00598","FENEHPHI_01261","NJDFJAED_01080","JKFJINKE_01324","IKEIDPHJ_00616","KODEOOAH_00149","ONBFLLJP_04382","HAANCNKA_00258"
