"Gene","Non.unique.Gene.name","Annotation","No..isolates","No..sequences","Avg.sequences.per.isolate","Genome.Fragment","Order.within.Fragment","Accessory.Fragment","Accessory.Order.with.Fragment","QC","Min.group.size.nuc","Max.group.size.nuc","Avg.group.size.nuc","NDSU7","SRR7010294","SRR14766451","SRR15146546","SRR28323382","SRR23043676","SRR14766379","SRR5905513","SRR14766388","SRR6310053","SRR14766438","SRR23043674","SRR14766396","SRR28830416","SRR16297816"
"dsbD_1","","Thiol:disulfide interchange protein DsbD",581,581,1,1,4535,NA,NA,"",440,1886,1882,"IGPMGEKP_02208","FNDKDPDO_03197","JKFJINKE_04053","NAPOKNNJ_01523","KOLBENFC_01718","MKCMHNPK_00978","LAONLALK_03384","JLGLOGEO_02829","NAOOLHEA_01536","DNOEEKHJ_04610","EJBBKOOG_02937","HLOGJBDP_01729","OHGNPAHP_00310","KJPJOPGC_00845","IIHPGJAB_01588"
"artM_2","","Arginine transport ATP-binding protein ArtM",581,581,1,1,4645,NA,NA,"",503,752,751,"IGPMGEKP_02308","FNDKDPDO_00507","JKFJINKE_02900","NAPOKNNJ_01423","KOLBENFC_01818","MKCMHNPK_01078","LAONLALK_00943","JLGLOGEO_01944","NAOOLHEA_03732","DNOEEKHJ_03700","EJBBKOOG_02358","HLOGJBDP_01829","OHGNPAHP_00411","KJPJOPGC_00745","IIHPGJAB_01487"
"papC_3","","Outer membrane usher protein PapC",581,581,1,1,2395,NA,NA,"",590,2657,2653,"IGPMGEKP_03163","FNDKDPDO_03076","JKFJINKE_01996","NAPOKNNJ_03226","KOLBENFC_03747","MKCMHNPK_03838","LAONLALK_02967","JLGLOGEO_03827","NAOOLHEA_03469","DNOEEKHJ_03610","EJBBKOOG_03519","HLOGJBDP_03890","OHGNPAHP_04142","KJPJOPGC_03760","IIHPGJAB_03725"
"group_1039","","hypothetical protein",581,581,1,1,2178,NA,NA,"",263,998,995,"IGPMGEKP_03249","FNDKDPDO_02240","JKFJINKE_03051","NAPOKNNJ_03946","KOLBENFC_04115","MKCMHNPK_04114","LAONLALK_03135","JLGLOGEO_03238","NAOOLHEA_02853","DNOEEKHJ_03378","EJBBKOOG_03892","HLOGJBDP_04166","OHGNPAHP_03837","KJPJOPGC_04203","IIHPGJAB_04093"
"assT_4","","Arylsulfate sulfotransferase AssT",581,581,1,1,2183,NA,NA,"",893,1790,1783,"IGPMGEKP_03254","FNDKDPDO_02245","JKFJINKE_02962","NAPOKNNJ_03941","KOLBENFC_04120","MKCMHNPK_04119","LAONLALK_03140","JLGLOGEO_03233","NAOOLHEA_02848","DNOEEKHJ_03373","EJBBKOOG_03860","HLOGJBDP_04171","OHGNPAHP_03842","KJPJOPGC_04198","IIHPGJAB_04098"
"group_1043","","hypothetical protein",581,581,1,1,2258,NA,NA,"",824,1100,1098,"IGPMGEKP_03312","FNDKDPDO_04511","JKFJINKE_04430","NAPOKNNJ_03883","KOLBENFC_04178","MKCMHNPK_04177","LAONLALK_03070","JLGLOGEO_03840","NAOOLHEA_03545","DNOEEKHJ_03315","EJBBKOOG_03585","HLOGJBDP_04229","OHGNPAHP_03900","KJPJOPGC_04140","IIHPGJAB_04156"
"glnG","","DNA-binding transcriptional regulator NtrC",581,581,1,1,2219,NA,NA,"",434,1409,1407,"IGPMGEKP_03348","FNDKDPDO_03276","JKFJINKE_02846","NAPOKNNJ_03847","KOLBENFC_04214","MKCMHNPK_04213","LAONLALK_03034","JLGLOGEO_03876","NAOOLHEA_03581","DNOEEKHJ_03279","EJBBKOOG_03621","HLOGJBDP_04265","OHGNPAHP_03936","KJPJOPGC_04104","IIHPGJAB_04192"
"hsrA","","putative transport protein HsrA",581,581,1,1,1363,NA,NA,"",872,1427,1426,"IGPMGEKP_04105","FNDKDPDO_02890","JKFJINKE_01330","NAPOKNNJ_04225","KOLBENFC_04378","MKCMHNPK_04314","LAONLALK_02692","JLGLOGEO_03358","NAOOLHEA_03034","DNOEEKHJ_04138","EJBBKOOG_03017","HLOGJBDP_04429","OHGNPAHP_04442","KJPJOPGC_04323","IIHPGJAB_04356"
"dgoD_2","","D-galactonate dehydratase",581,581,1,1,1420,NA,NA,"",692,1148,1146,"IGPMGEKP_04049","FNDKDPDO_02834","JKFJINKE_01386","NAPOKNNJ_04169","KOLBENFC_04322","MKCMHNPK_04370","LAONLALK_02636","JLGLOGEO_03414","NAOOLHEA_02978","DNOEEKHJ_04194","EJBBKOOG_02961","HLOGJBDP_04373","OHGNPAHP_04386","KJPJOPGC_04379","IIHPGJAB_04300"
"araA","","L-arabinose isomerase",581,581,1,1,2499,NA,NA,"",1259,1502,1501,"IGPMGEKP_03063","FNDKDPDO_01596","JKFJINKE_01892","NAPOKNNJ_03126","KOLBENFC_03847","MKCMHNPK_03738","LAONLALK_01065","JLGLOGEO_02675","NAOOLHEA_02264","DNOEEKHJ_03827","EJBBKOOG_03315","HLOGJBDP_03791","OHGNPAHP_04237","KJPJOPGC_03861","IIHPGJAB_03825"
"acrF","","Multidrug export protein AcrF",581,581,1,1,1981,NA,NA,"",1700,3113,3110,"IGPMGEKP_04515","FNDKDPDO_03514","JKFJINKE_04527","NAPOKNNJ_04413","KOLBENFC_04477","MKCMHNPK_04564","LAONLALK_03625","JLGLOGEO_04657","NAOOLHEA_02510","DNOEEKHJ_04297","EJBBKOOG_03945","HLOGJBDP_04582","OHGNPAHP_04590","KJPJOPGC_04537","IIHPGJAB_04397"
"acrR_2","","HTH-type transcriptional regulator AcrR",581,581,1,1,1978,NA,NA,"",335,662,661,"IGPMGEKP_04512","FNDKDPDO_03511","JKFJINKE_03427","NAPOKNNJ_04416","KOLBENFC_04474","MKCMHNPK_04561","LAONLALK_03628","JLGLOGEO_04293","NAOOLHEA_02507","DNOEEKHJ_04294","EJBBKOOG_03948","HLOGJBDP_04579","OHGNPAHP_04587","KJPJOPGC_04540","IIHPGJAB_04394"
"group_1083","","hypothetical protein",581,581,1,1,1957,NA,NA,"",3284,3800,3799,"IGPMGEKP_04491","FNDKDPDO_03490","JKFJINKE_03406","NAPOKNNJ_04437","KOLBENFC_04453","MKCMHNPK_04540","LAONLALK_03649","JLGLOGEO_04314","NAOOLHEA_02486","DNOEEKHJ_04273","EJBBKOOG_03969","HLOGJBDP_04558","OHGNPAHP_04566","KJPJOPGC_04561","IIHPGJAB_04373"
"group_1085","","hypothetical protein",581,581,1,1,3656,NA,NA,"",425,2135,2129,"IGPMGEKP_04582","FNDKDPDO_03445","JKFJINKE_03160","NAPOKNNJ_04384","KOLBENFC_04506","MKCMHNPK_04495","LAONLALK_00837","JLGLOGEO_02050","NAOOLHEA_04193","DNOEEKHJ_04327","EJBBKOOG_04132","HLOGJBDP_04513","OHGNPAHP_00518","KJPJOPGC_04508","IIHPGJAB_04481"
"zraS","","Sensor protein ZraS",581,581,1,1,1524,NA,NA,"",779,1463,1460,"IGPMGEKP_04659","FNDKDPDO_04360","JKFJINKE_04265","NAPOKNNJ_04456","KOLBENFC_04558","MKCMHNPK_04593","LAONLALK_03950","JLGLOGEO_04531","NAOOLHEA_04464","DNOEEKHJ_04452","EJBBKOOG_04513","HLOGJBDP_04589","OHGNPAHP_04627","KJPJOPGC_04602","IIHPGJAB_04532"
"deaD","","ATP-dependent RNA helicase DeaD",581,581,1,1,2619,NA,NA,"",1745,1913,1888,"IGPMGEKP_01651","FNDKDPDO_02135","JKFJINKE_00697","NAPOKNNJ_01274","KOLBENFC_00814","MKCMHNPK_00074","LAONLALK_01307","JLGLOGEO_03015","NAOOLHEA_02108","DNOEEKHJ_00073","EJBBKOOG_01685","HLOGJBDP_01346","OHGNPAHP_01025","KJPJOPGC_00596","IIHPGJAB_01338"
"metH","","Methionine synthase",581,581,1,1,2012,NA,NA,"",3206,3689,3682,"IGPMGEKP_00008","FNDKDPDO_04226","JKFJINKE_04311","NAPOKNNJ_02807","KOLBENFC_02330","MKCMHNPK_01588","LAONLALK_04290","JLGLOGEO_03765","NAOOLHEA_03352","DNOEEKHJ_04210","EJBBKOOG_03363","HLOGJBDP_01912","OHGNPAHP_02058","KJPJOPGC_01595","IIHPGJAB_02335"
"ftsP","","Cell division protein FtsP",581,581,1,1,2726,NA,NA,"",563,1418,1410,"IGPMGEKP_01754","FNDKDPDO_04072","JKFJINKE_01975","NAPOKNNJ_01171","KOLBENFC_00917","MKCMHNPK_00177","LAONLALK_03288","JLGLOGEO_04440","NAOOLHEA_01802","DNOEEKHJ_00177","EJBBKOOG_01582","HLOGJBDP_01243","OHGNPAHP_01128","KJPJOPGC_00493","IIHPGJAB_01235"
"nudL","","putative Nudix hydrolase NudL",581,581,1,1,4771,NA,NA,"",203,578,577,"IGPMGEKP_00491","FNDKDPDO_03329","JKFJINKE_01642","NAPOKNNJ_00697","KOLBENFC_00696","MKCMHNPK_01643","LAONLALK_03467","JLGLOGEO_04009","NAOOLHEA_01071","DNOEEKHJ_01129","EJBBKOOG_01335","HLOGJBDP_00048","OHGNPAHP_00592","KJPJOPGC_01650","IIHPGJAB_00047"
"yoaA","","putative ATP-dependent DNA helicase YoaA",581,581,1,1,4775,NA,NA,"",1604,1910,1909,"IGPMGEKP_00495","FNDKDPDO_03325","JKFJINKE_01638","NAPOKNNJ_00693","KOLBENFC_00692","MKCMHNPK_01647","LAONLALK_03463","JLGLOGEO_04013","NAOOLHEA_01067","DNOEEKHJ_01133","EJBBKOOG_01331","HLOGJBDP_00052","OHGNPAHP_00596","KJPJOPGC_01654","IIHPGJAB_00051"
