"Gene","Non.unique.Gene.name","Annotation","No..isolates","No..sequences","Avg.sequences.per.isolate","Genome.Fragment","Order.within.Fragment","Accessory.Fragment","Accessory.Order.with.Fragment","QC","Min.group.size.nuc","Max.group.size.nuc","Avg.group.size.nuc","SRR1686623","SRR5905281","SRR27708439","NDSU21","SRR1514770","SRR11487643","SRR14766454","SRR14766328","SRR14766420","SRR14766373","SRR5905014","SRR14766446","SRR16976148","SRR1300559","SRR28323406"
"dsbD_1","","Thiol:disulfide interchange protein DsbD",581,581,1,1,4535,NA,NA,"",440,1886,1882,"CGKODGEF_03613","GAMKEBON_02913","JJJDFGFB_01587","JOLBHIGI_02844","PNDPEECJ_02166","AMEEEGBM_00978","DHLDAANJ_01677","EFNBFDBI_04057","AKDEMAPK_03486","OCHGHCBG_01510","ACBOEBFK_03725","PGDKEEIB_03274","DNELAEEF_00979","LNAEIHKJ_02566","EKBJKGFA_01654"
"artM_2","","Arginine transport ATP-binding protein ArtM",581,581,1,1,4645,NA,NA,"",503,752,751,"CGKODGEF_02563","GAMKEBON_03396","JJJDFGFB_01487","JOLBHIGI_02944","PNDPEECJ_04024","AMEEEGBM_01078","DHLDAANJ_02691","EFNBFDBI_03059","AKDEMAPK_01376","OCHGHCBG_01410","ACBOEBFK_02550","PGDKEEIB_03367","DNELAEEF_01080","LNAEIHKJ_03941","EKBJKGFA_01554"
"papC_3","","Outer membrane usher protein PapC",581,581,1,1,2395,NA,NA,"",590,2657,2653,"CGKODGEF_01298","GAMKEBON_03539","JJJDFGFB_03765","JOLBHIGI_03279","PNDPEECJ_02824","AMEEEGBM_03746","DHLDAANJ_02142","EFNBFDBI_03880","AKDEMAPK_02877","OCHGHCBG_03823","ACBOEBFK_03395","PGDKEEIB_02683","DNELAEEF_03838","LNAEIHKJ_03144","EKBJKGFA_03734"
"group_1039","","hypothetical protein",581,581,1,1,2178,NA,NA,"",263,998,995,"CGKODGEF_02730","GAMKEBON_01152","JJJDFGFB_04017","JOLBHIGI_03951","PNDPEECJ_02697","AMEEEGBM_04114","DHLDAANJ_04510","EFNBFDBI_03164","AKDEMAPK_01969","OCHGHCBG_04271","ACBOEBFK_02960","PGDKEEIB_01709","DNELAEEF_04114","LNAEIHKJ_03579","EKBJKGFA_04102"
"assT_4","","Arylsulfate sulfotransferase AssT",581,581,1,1,2183,NA,NA,"",893,1790,1783,"CGKODGEF_02725","GAMKEBON_01147","JJJDFGFB_04012","JOLBHIGI_03956","PNDPEECJ_02692","AMEEEGBM_04119","DHLDAANJ_02779","EFNBFDBI_03159","AKDEMAPK_01964","OCHGHCBG_04266","ACBOEBFK_02955","PGDKEEIB_01704","DNELAEEF_04119","LNAEIHKJ_03574","EKBJKGFA_04107"
"group_1043","","hypothetical protein",581,581,1,1,2258,NA,NA,"",824,1100,1098,"CGKODGEF_02667","GAMKEBON_01089","JJJDFGFB_03954","JOLBHIGI_04014","PNDPEECJ_03601","AMEEEGBM_04177","DHLDAANJ_02208","EFNBFDBI_03101","AKDEMAPK_04450","OCHGHCBG_04208","ACBOEBFK_03498","PGDKEEIB_02787","DNELAEEF_04177","LNAEIHKJ_03516","EKBJKGFA_04165"
"glnG","","DNA-binding transcriptional regulator NtrC",581,581,1,1,2219,NA,NA,"",434,1409,1407,"CGKODGEF_04491","GAMKEBON_01053","JJJDFGFB_03918","JOLBHIGI_04050","PNDPEECJ_03565","AMEEEGBM_04213","DHLDAANJ_02244","EFNBFDBI_04020","AKDEMAPK_04175","OCHGHCBG_04172","ACBOEBFK_03462","PGDKEEIB_02751","DNELAEEF_04213","LNAEIHKJ_03480","EKBJKGFA_04201"
"hsrA","","putative transport protein HsrA",581,581,1,1,1363,NA,NA,"",872,1427,1426,"CGKODGEF_04658","GAMKEBON_03033","JJJDFGFB_04261","JOLBHIGI_04214","PNDPEECJ_03039","AMEEEGBM_04314","DHLDAANJ_01519","EFNBFDBI_03697","AKDEMAPK_02669","OCHGHCBG_04442","ACBOEBFK_03321","PGDKEEIB_01974","DNELAEEF_04314","LNAEIHKJ_04147","EKBJKGFA_04365"
"dgoD_2","","D-galactonate dehydratase",581,581,1,1,1420,NA,NA,"",692,1148,1146,"CGKODGEF_03394","GAMKEBON_02977","JJJDFGFB_04317","JOLBHIGI_04158","PNDPEECJ_03095","AMEEEGBM_04370","DHLDAANJ_01575","EFNBFDBI_03641","AKDEMAPK_02613","OCHGHCBG_04386","ACBOEBFK_03265","PGDKEEIB_02030","DNELAEEF_04370","LNAEIHKJ_04091","EKBJKGFA_04309"
"araA","","L-arabinose isomerase",581,581,1,1,2499,NA,NA,"",1259,1502,1501,"CGKODGEF_01198","GAMKEBON_01352","JJJDFGFB_03865","JOLBHIGI_03378","PNDPEECJ_01816","AMEEEGBM_03846","DHLDAANJ_01267","EFNBFDBI_03713","AKDEMAPK_03268","OCHGHCBG_03923","ACBOEBFK_02255","PGDKEEIB_02533","DNELAEEF_03736","LNAEIHKJ_03244","EKBJKGFA_03834"
"acrF","","Multidrug export protein AcrF",581,581,1,1,1981,NA,NA,"",1700,3113,3110,"CGKODGEF_04074","GAMKEBON_03923","JJJDFGFB_04396","JOLBHIGI_04377","PNDPEECJ_03896","AMEEEGBM_04496","DHLDAANJ_02910","EFNBFDBI_04125","AKDEMAPK_03278","OCHGHCBG_04550","ACBOEBFK_04020","PGDKEEIB_03454","DNELAEEF_04497","LNAEIHKJ_04310","EKBJKGFA_04489"
"acrR_2","","HTH-type transcriptional regulator AcrR",581,581,1,1,1978,NA,NA,"",335,662,661,"CGKODGEF_04077","GAMKEBON_03926","JJJDFGFB_04399","JOLBHIGI_04374","PNDPEECJ_03893","AMEEEGBM_04499","DHLDAANJ_02907","EFNBFDBI_04128","AKDEMAPK_03281","OCHGHCBG_04547","ACBOEBFK_04017","PGDKEEIB_03457","DNELAEEF_04500","LNAEIHKJ_04313","EKBJKGFA_04486"
"group_1083","","hypothetical protein",581,581,1,1,1957,NA,NA,"",3284,3800,3799,"CGKODGEF_04098","GAMKEBON_03947","JJJDFGFB_04420","JOLBHIGI_04353","PNDPEECJ_03872","AMEEEGBM_04520","DHLDAANJ_02886","EFNBFDBI_04149","AKDEMAPK_03302","OCHGHCBG_04526","ACBOEBFK_03996","PGDKEEIB_03478","DNELAEEF_04521","LNAEIHKJ_04334","EKBJKGFA_04465"
"group_1085","","hypothetical protein",581,581,1,1,3656,NA,NA,"",425,2135,2129,"CGKODGEF_04140","GAMKEBON_03844","JJJDFGFB_04462","JOLBHIGI_04407","PNDPEECJ_04131","AMEEEGBM_04463","DHLDAANJ_03017","EFNBFDBI_04189","AKDEMAPK_03153","OCHGHCBG_04580","ACBOEBFK_03605","PGDKEEIB_03948","DNELAEEF_04464","LNAEIHKJ_04375","EKBJKGFA_00777"
"zraS","","Sensor protein ZraS",581,581,1,1,1524,NA,NA,"",779,1463,1460,"CGKODGEF_04205","GAMKEBON_04469","JJJDFGFB_04491","JOLBHIGI_04458","PNDPEECJ_04384","AMEEEGBM_04561","DHLDAANJ_04187","EFNBFDBI_04520","AKDEMAPK_03824","OCHGHCBG_04609","ACBOEBFK_04543","PGDKEEIB_04388","DNELAEEF_04562","LNAEIHKJ_04549","EKBJKGFA_04562"
"deaD","","ATP-dependent RNA helicase DeaD",581,581,1,1,2619,NA,NA,"",1745,1913,1888,"CGKODGEF_01956","GAMKEBON_01491","JJJDFGFB_00818","JOLBHIGI_01340","PNDPEECJ_01093","AMEEEGBM_00073","DHLDAANJ_00462","EFNBFDBI_02671","AKDEMAPK_00074","OCHGHCBG_00595","ACBOEBFK_01464","PGDKEEIB_03568","DNELAEEF_00074","LNAEIHKJ_00596","EKBJKGFA_01399"
"metH","","Methionine synthase",581,581,1,1,2012,NA,NA,"",3206,3689,3682,"CGKODGEF_04019","GAMKEBON_04411","JJJDFGFB_01904","JOLBHIGI_01849","PNDPEECJ_01338","AMEEEGBM_01589","DHLDAANJ_04239","EFNBFDBI_03761","AKDEMAPK_04195","OCHGHCBG_02256","ACBOEBFK_04468","PGDKEEIB_02581","DNELAEEF_01163","LNAEIHKJ_01106","EKBJKGFA_02400"
"ftsP","","Cell division protein FtsP",581,581,1,1,2726,NA,NA,"",563,1418,1410,"CGKODGEF_02059","GAMKEBON_02306","JJJDFGFB_00921","JOLBHIGI_01237","PNDPEECJ_04227","AMEEEGBM_00176","DHLDAANJ_03929","EFNBFDBI_01276","AKDEMAPK_00177","OCHGHCBG_00492","ACBOEBFK_01567","PGDKEEIB_00973","DNELAEEF_00177","LNAEIHKJ_00493","EKBJKGFA_01296"
"nudL","","putative Nudix hydrolase NudL",581,581,1,1,4771,NA,NA,"",203,578,577,"CGKODGEF_00435","GAMKEBON_03298","JJJDFGFB_00047","JOLBHIGI_00700","PNDPEECJ_03339","AMEEEGBM_01644","DHLDAANJ_02623","EFNBFDBI_03591","AKDEMAPK_03028","OCHGHCBG_03035","ACBOEBFK_03791","PGDKEEIB_03208","DNELAEEF_01646","LNAEIHKJ_03790","EKBJKGFA_00704"
"yoaA","","putative ATP-dependent DNA helicase YoaA",581,581,1,1,4775,NA,NA,"",1604,1910,1909,"CGKODGEF_00439","GAMKEBON_03302","JJJDFGFB_00051","JOLBHIGI_00696","PNDPEECJ_03343","AMEEEGBM_01648","DHLDAANJ_02619","EFNBFDBI_03595","AKDEMAPK_03024","OCHGHCBG_03031","ACBOEBFK_03787","PGDKEEIB_03212","DNELAEEF_01650","LNAEIHKJ_03794","EKBJKGFA_00700"
"fadD","","Long-chain-fatty-acid--CoA ligase",581,581,1,1,4778,NA,NA,"",1457,1751,1750,"CGKODGEF_00442","GAMKEBON_03305","JJJDFGFB_00054","JOLBHIGI_00693","PNDPEECJ_03346","AMEEEGBM_01651","DHLDAANJ_02616","EFNBFDBI_03598","AKDEMAPK_03021","OCHGHCBG_03028","ACBOEBFK_03784","PGDKEEIB_03215","DNELAEEF_01653","LNAEIHKJ_03797","EKBJKGFA_00697"
"rnd","","Ribonuclease D",581,581,1,1,4779,NA,NA,"",746,1115,1114,"CGKODGEF_00443","GAMKEBON_03306","JJJDFGFB_00055","JOLBHIGI_00692","PNDPEECJ_03347","AMEEEGBM_01652","DHLDAANJ_02615","EFNBFDBI_03599","AKDEMAPK_03020","OCHGHCBG_03027","ACBOEBFK_03783","PGDKEEIB_03216","DNELAEEF_01654","LNAEIHKJ_03798","EKBJKGFA_00696"
"appC","","Cytochrome bd-II ubiquinol oxidase subunit 1",581,581,1,1,4804,NA,NA,"",896,1544,1542,"CGKODGEF_00468","GAMKEBON_03331","JJJDFGFB_00080","JOLBHIGI_00667","PNDPEECJ_03372","AMEEEGBM_01677","DHLDAANJ_02590","EFNBFDBI_03624","AKDEMAPK_02995","OCHGHCBG_03002","ACBOEBFK_03758","PGDKEEIB_03241","DNELAEEF_01679","LNAEIHKJ_03823","EKBJKGFA_00671"
"group_1158","","hypothetical protein",581,581,1,1,4805,NA,NA,"",356,848,846,"CGKODGEF_00469","GAMKEBON_03332","JJJDFGFB_00081","JOLBHIGI_00666","PNDPEECJ_03373","AMEEEGBM_01678","DHLDAANJ_02589","EFNBFDBI_03625","AKDEMAPK_02994","OCHGHCBG_03001","ACBOEBFK_03757","PGDKEEIB_03242","DNELAEEF_01680","LNAEIHKJ_03824","EKBJKGFA_00670"
"hyaE","","Hydrogenase-1 operon protein HyaE",581,581,1,1,4806,NA,NA,"",404,455,404,"CGKODGEF_00470","GAMKEBON_03333","JJJDFGFB_00082","JOLBHIGI_00665","PNDPEECJ_03374","AMEEEGBM_01679","DHLDAANJ_02588","EFNBFDBI_03626","AKDEMAPK_02993","OCHGHCBG_03000","ACBOEBFK_03756","PGDKEEIB_03243","DNELAEEF_01681","LNAEIHKJ_03825","EKBJKGFA_00669"
"prfA","","Peptide chain release factor RF1",581,581,1,1,4823,NA,NA,"",632,1082,1081,"CGKODGEF_00485","GAMKEBON_01032","JJJDFGFB_00097","JOLBHIGI_00650","PNDPEECJ_03230","AMEEEGBM_01694","DHLDAANJ_03793","EFNBFDBI_01512","AKDEMAPK_01079","OCHGHCBG_02985","ACBOEBFK_03000","PGDKEEIB_00823","DNELAEEF_01696","LNAEIHKJ_03840","EKBJKGFA_00654"
"narX","","Nitrate/nitrite sensor protein NarX",581,581,1,1,4833,NA,NA,"",1739,1796,1795,"CGKODGEF_00495","GAMKEBON_01022","JJJDFGFB_00107","JOLBHIGI_00640","PNDPEECJ_03220","AMEEEGBM_01704","DHLDAANJ_03783","EFNBFDBI_01522","AKDEMAPK_01069","OCHGHCBG_02975","ACBOEBFK_03010","PGDKEEIB_00813","DNELAEEF_01706","LNAEIHKJ_03850","EKBJKGFA_00644"
"narG","","Respiratory nitrate reductase 1 alpha chain",581,581,1,1,4835,NA,NA,"",1712,3743,3739,"CGKODGEF_00497","GAMKEBON_01020","JJJDFGFB_00109","JOLBHIGI_00638","PNDPEECJ_03218","AMEEEGBM_01706","DHLDAANJ_03781","EFNBFDBI_01524","AKDEMAPK_01067","OCHGHCBG_02973","ACBOEBFK_03012","PGDKEEIB_00811","DNELAEEF_01708","LNAEIHKJ_03852","EKBJKGFA_00642"
"yciI","","Protein YciI",581,581,1,1,4860,NA,NA,"",221,296,295,"CGKODGEF_00522","GAMKEBON_00995","JJJDFGFB_00134","JOLBHIGI_00613","PNDPEECJ_03193","AMEEEGBM_01731","DHLDAANJ_01338","EFNBFDBI_01549","AKDEMAPK_01042","OCHGHCBG_02948","ACBOEBFK_03037","PGDKEEIB_00786","DNELAEEF_01733","LNAEIHKJ_01125","EKBJKGFA_00617"
"group_1165","","hypothetical protein",581,581,1,1,4864,NA,NA,"",641,743,742,"CGKODGEF_00526","GAMKEBON_00991","JJJDFGFB_00138","JOLBHIGI_00609","PNDPEECJ_03189","AMEEEGBM_01735","DHLDAANJ_01334","EFNBFDBI_01553","AKDEMAPK_01038","OCHGHCBG_02944","ACBOEBFK_03041","PGDKEEIB_00782","DNELAEEF_01737","LNAEIHKJ_01129","EKBJKGFA_00613"
"trpGD","","Bifunctional protein TrpGD",581,581,1,1,4874,NA,NA,"",431,1595,1590,"CGKODGEF_00536","GAMKEBON_00981","JJJDFGFB_00148","JOLBHIGI_00599","PNDPEECJ_03179","AMEEEGBM_01745","DHLDAANJ_01324","EFNBFDBI_01563","AKDEMAPK_01028","OCHGHCBG_02934","ACBOEBFK_03051","PGDKEEIB_00772","DNELAEEF_01747","LNAEIHKJ_01139","EKBJKGFA_00603"
"trpE","","Anthranilate synthase component 1",581,581,1,1,4875,NA,NA,"",374,1562,1559,"CGKODGEF_00537","GAMKEBON_00980","JJJDFGFB_00149","JOLBHIGI_00598","PNDPEECJ_03178","AMEEEGBM_01746","DHLDAANJ_01323","EFNBFDBI_01564","AKDEMAPK_01027","OCHGHCBG_02933","ACBOEBFK_03052","PGDKEEIB_00771","DNELAEEF_01748","LNAEIHKJ_01140","EKBJKGFA_00602"
"osmB","","Osmotically-inducible lipoprotein B",581,581,1,1,4895,NA,NA,"",197,218,217,"CGKODGEF_00556","GAMKEBON_00961","JJJDFGFB_00168","JOLBHIGI_00579","PNDPEECJ_02888","AMEEEGBM_01765","DHLDAANJ_01304","EFNBFDBI_01583","AKDEMAPK_01008","OCHGHCBG_02914","ACBOEBFK_03071","PGDKEEIB_00752","DNELAEEF_01767","LNAEIHKJ_01159","EKBJKGFA_00583"
"pspA","","Phage shock protein A",581,581,1,1,4913,NA,NA,"",398,668,667,"CGKODGEF_00571","GAMKEBON_00946","JJJDFGFB_00184","JOLBHIGI_00564","PNDPEECJ_02903","AMEEEGBM_01780","DHLDAANJ_01289","EFNBFDBI_01598","AKDEMAPK_00993","OCHGHCBG_02899","ACBOEBFK_01167","PGDKEEIB_00737","DNELAEEF_01782","LNAEIHKJ_01174","EKBJKGFA_00568"
"ytbE","","putative oxidoreductase YtbE",581,581,1,1,4927,NA,NA,"",830,869,839,"CGKODGEF_00585","GAMKEBON_00932","JJJDFGFB_00198","JOLBHIGI_00550","PNDPEECJ_02917","AMEEEGBM_01794","DHLDAANJ_01275","EFNBFDBI_01612","AKDEMAPK_00979","OCHGHCBG_02885","ACBOEBFK_01153","PGDKEEIB_00723","DNELAEEF_01796","LNAEIHKJ_01188","EKBJKGFA_00554"
"puuR","","HTH-type transcriptional regulator PuuR",581,581,1,1,4940,NA,NA,"",341,602,601,"CGKODGEF_00597","GAMKEBON_00920","JJJDFGFB_00210","JOLBHIGI_00538","PNDPEECJ_02929","AMEEEGBM_01806","DHLDAANJ_03591","EFNBFDBI_01624","AKDEMAPK_00967","OCHGHCBG_02873","ACBOEBFK_01141","PGDKEEIB_00711","DNELAEEF_01808","LNAEIHKJ_01200","EKBJKGFA_00542"
"smrA","","putative DNA endonuclease SmrA",581,581,1,1,4948,NA,NA,"",326,563,562,"CGKODGEF_00603","GAMKEBON_00914","JJJDFGFB_00216","JOLBHIGI_00532","PNDPEECJ_02935","AMEEEGBM_01812","DHLDAANJ_03585","EFNBFDBI_01630","AKDEMAPK_00961","OCHGHCBG_02867","ACBOEBFK_01135","PGDKEEIB_00705","DNELAEEF_01814","LNAEIHKJ_01206","EKBJKGFA_00536"
"tap","","Methyl-accepting chemotaxis protein IV",581,581,1,1,4950,NA,NA,"",1091,1154,1153,"CGKODGEF_00605","GAMKEBON_00913","JJJDFGFB_00217","JOLBHIGI_00531","PNDPEECJ_02936","AMEEEGBM_01813","DHLDAANJ_03584","EFNBFDBI_01631","AKDEMAPK_00960","OCHGHCBG_02866","ACBOEBFK_01134","PGDKEEIB_00704","DNELAEEF_01815","LNAEIHKJ_01207","EKBJKGFA_00535"
"ttcA","","tRNA-cytidine(32) 2-sulfurtransferase",581,581,1,1,4954,NA,NA,"",257,935,933,"CGKODGEF_00608","GAMKEBON_00910","JJJDFGFB_00220","JOLBHIGI_00528","PNDPEECJ_02939","AMEEEGBM_01816","DHLDAANJ_03581","EFNBFDBI_01634","AKDEMAPK_00957","OCHGHCBG_02863","ACBOEBFK_01131","PGDKEEIB_00701","DNELAEEF_01818","LNAEIHKJ_01210","EKBJKGFA_00532"
"ldhA","","D-lactate dehydrogenase",581,581,1,1,4960,NA,NA,"",935,989,988,"CGKODGEF_00614","GAMKEBON_00904","JJJDFGFB_00226","JOLBHIGI_00522","PNDPEECJ_02945","AMEEEGBM_01822","DHLDAANJ_03575","EFNBFDBI_01640","AKDEMAPK_00951","OCHGHCBG_02857","ACBOEBFK_01125","PGDKEEIB_00695","DNELAEEF_01824","LNAEIHKJ_01216","EKBJKGFA_00526"
"group_1180","","hypothetical protein",581,581,1,1,4961,NA,NA,"",2339,2636,2635,"CGKODGEF_00615","GAMKEBON_00903","JJJDFGFB_00227","JOLBHIGI_00521","PNDPEECJ_02946","AMEEEGBM_01823","DHLDAANJ_03574","EFNBFDBI_01641","AKDEMAPK_00950","OCHGHCBG_02856","ACBOEBFK_01124","PGDKEEIB_00694","DNELAEEF_01825","LNAEIHKJ_01217","EKBJKGFA_00525"
