"Gene","Non.unique.Gene.name","Annotation","No..isolates","No..sequences","Avg.sequences.per.isolate","Genome.Fragment","Order.within.Fragment","Accessory.Fragment","Accessory.Order.with.Fragment","QC","Min.group.size.nuc","Max.group.size.nuc","Avg.group.size.nuc","SRR3037434","SRR2994384","NDSU1","SRR11101167","SRR12075372","SRR14766444","SRR5928153","SRR15712222","NDSU6","SRR14766361","SRR5985919","SRR14766386","SRR8041750","SRR28412153","SRR4292616"
"dsbD_1","","Thiol:disulfide interchange protein DsbD",581,581,1,1,4535,NA,NA,"",440,1886,1882,"ENBCENPF_00844","KKCBMJKJ_01829","GEPIEMCB_03675","ELELPFCC_01855","OHGDDBEJ_01948","PJHKONLG_04125","BMGCDLMI_01260","JIDNIGFB_01723","LBKLGAEM_00978","MGNDMLEC_00310","CNEOHEEB_02813","OKEMFKGG_01516","EJCMFNNE_03427","IKEDIMNK_01679","OOMOJDPP_02556"
"artM_2","","Arginine transport ATP-binding protein ArtM",581,581,1,1,4645,NA,NA,"",503,752,751,"ENBCENPF_00744","KKCBMJKJ_01929","GEPIEMCB_03775","ELELPFCC_03826","OHGDDBEJ_03866","PJHKONLG_00751","BMGCDLMI_01160","JIDNIGFB_01823","LBKLGAEM_01078","MGNDMLEC_00410","CNEOHEEB_03836","OKEMFKGG_01616","EJCMFNNE_04028","IKEDIMNK_01779","OOMOJDPP_02197"
"papC_3","","Outer membrane usher protein PapC",581,581,1,1,2395,NA,NA,"",590,2657,2653,"ENBCENPF_03085","KKCBMJKJ_02532","GEPIEMCB_03905","ELELPFCC_02638","OHGDDBEJ_03146","PJHKONLG_03495","BMGCDLMI_04321","JIDNIGFB_03751","LBKLGAEM_03457","MGNDMLEC_04128","CNEOHEEB_03315","OKEMFKGG_03463","EJCMFNNE_03848","IKEDIMNK_03873","OOMOJDPP_03022"
"group_1039","","hypothetical protein",581,581,1,1,2178,NA,NA,"",263,998,995,"ENBCENPF_03652","KKCBMJKJ_04388","GEPIEMCB_04032","ELELPFCC_03406","OHGDDBEJ_03467","PJHKONLG_02457","BMGCDLMI_03897","JIDNIGFB_04195","LBKLGAEM_04033","MGNDMLEC_04426","CNEOHEEB_04380","OKEMFKGG_03923","EJCMFNNE_02834","IKEDIMNK_03997","OOMOJDPP_03911"
"assT_4","","Arylsulfate sulfotransferase AssT",581,581,1,1,2183,NA,NA,"",893,1790,1783,"ENBCENPF_03657","KKCBMJKJ_04300","GEPIEMCB_04037","ELELPFCC_03411","OHGDDBEJ_03462","PJHKONLG_02452","BMGCDLMI_03902","JIDNIGFB_04190","LBKLGAEM_04038","MGNDMLEC_04241","CNEOHEEB_04385","OKEMFKGG_03918","EJCMFNNE_02829","IKEDIMNK_04002","OOMOJDPP_03833"
"group_1043","","hypothetical protein",581,581,1,1,2258,NA,NA,"",824,1100,1098,"ENBCENPF_03715","KKCBMJKJ_04643","GEPIEMCB_04095","ELELPFCC_03469","OHGDDBEJ_03404","PJHKONLG_03561","BMGCDLMI_03960","JIDNIGFB_04132","LBKLGAEM_04096","MGNDMLEC_04183","CNEOHEEB_03969","OKEMFKGG_03860","EJCMFNNE_02771","IKEDIMNK_04060","OOMOJDPP_03125"
"glnG","","DNA-binding transcriptional regulator NtrC",581,581,1,1,2219,NA,NA,"",434,1409,1407,"ENBCENPF_03751","KKCBMJKJ_04241","GEPIEMCB_04131","ELELPFCC_03505","OHGDDBEJ_03368","PJHKONLG_03597","BMGCDLMI_03996","JIDNIGFB_04096","LBKLGAEM_04132","MGNDMLEC_04304","CNEOHEEB_04005","OKEMFKGG_03824","EJCMFNNE_04117","IKEDIMNK_04096","OOMOJDPP_03089"
"hsrA","","putative transport protein HsrA",581,581,1,1,1363,NA,NA,"",872,1427,1426,"ENBCENPF_04205","KKCBMJKJ_03800","GEPIEMCB_04332","ELELPFCC_04066","OHGDDBEJ_04086","PJHKONLG_03219","BMGCDLMI_04247","JIDNIGFB_04315","LBKLGAEM_04234","MGNDMLEC_03925","CNEOHEEB_04213","OKEMFKGG_04189","EJCMFNNE_03476","IKEDIMNK_04260","OOMOJDPP_02582"
"dgoD_2","","D-galactonate dehydratase",581,581,1,1,1420,NA,NA,"",692,1148,1146,"ENBCENPF_04261","KKCBMJKJ_03856","GEPIEMCB_04388","ELELPFCC_04122","OHGDDBEJ_04142","PJHKONLG_03163","BMGCDLMI_04191","JIDNIGFB_04371","LBKLGAEM_04290","MGNDMLEC_03981","CNEOHEEB_04269","OKEMFKGG_04245","EJCMFNNE_03532","IKEDIMNK_04204","OOMOJDPP_02638"
"araA","","L-arabinose isomerase",581,581,1,1,2499,NA,NA,"",1259,1502,1501,"ENBCENPF_03185","KKCBMJKJ_02632","GEPIEMCB_04528","ELELPFCC_02738","OHGDDBEJ_03046","PJHKONLG_02302","BMGCDLMI_03825","JIDNIGFB_03853","LBKLGAEM_03557","MGNDMLEC_03589","CNEOHEEB_03213","OKEMFKGG_03563","EJCMFNNE_01984","IKEDIMNK_04268","OOMOJDPP_03294"
"acrF","","Multidrug export protein AcrF",581,581,1,1,1981,NA,NA,"",1700,3113,3110,"ENBCENPF_04452","KKCBMJKJ_04395","GEPIEMCB_04536","ELELPFCC_04472","OHGDDBEJ_04422","PJHKONLG_04000","BMGCDLMI_04379","JIDNIGFB_04505","LBKLGAEM_04471","MGNDMLEC_04434","CNEOHEEB_04482","OKEMFKGG_04426","EJCMFNNE_04331","IKEDIMNK_04468","OOMOJDPP_04612"
"acrR_2","","HTH-type transcriptional regulator AcrR",581,581,1,1,1978,NA,NA,"",335,662,661,"ENBCENPF_04455","KKCBMJKJ_04398","GEPIEMCB_04539","ELELPFCC_04475","OHGDDBEJ_04425","PJHKONLG_04003","BMGCDLMI_04382","JIDNIGFB_04502","LBKLGAEM_04468","MGNDMLEC_04437","CNEOHEEB_04479","OKEMFKGG_04423","EJCMFNNE_04328","IKEDIMNK_04471","OOMOJDPP_04126"
"group_1083","","hypothetical protein",581,581,1,1,1957,NA,NA,"",3284,3800,3799,"ENBCENPF_04476","KKCBMJKJ_04419","GEPIEMCB_04560","ELELPFCC_04496","OHGDDBEJ_04446","PJHKONLG_04024","BMGCDLMI_04403","JIDNIGFB_04481","LBKLGAEM_04447","MGNDMLEC_04458","CNEOHEEB_04458","OKEMFKGG_04402","EJCMFNNE_04307","IKEDIMNK_04492","OOMOJDPP_04147"
"group_1085","","hypothetical protein",581,581,1,1,3656,NA,NA,"",425,2135,2129,"ENBCENPF_04518","KKCBMJKJ_04331","GEPIEMCB_04602","ELELPFCC_04443","OHGDDBEJ_04348","PJHKONLG_00857","BMGCDLMI_04444","JIDNIGFB_04535","LBKLGAEM_04500","MGNDMLEC_04369","CNEOHEEB_04511","OKEMFKGG_04456","EJCMFNNE_04224","IKEDIMNK_04439","OOMOJDPP_03983"
