"Gene","Non.unique.Gene.name","Annotation","No..isolates","No..sequences","Avg.sequences.per.isolate","Genome.Fragment","Order.within.Fragment","Accessory.Fragment","Accessory.Order.with.Fragment","QC","Min.group.size.nuc","Max.group.size.nuc","Avg.group.size.nuc","SRR2911774","SRR1334790","SRR5883581","SRR14766462","SRR12991092","SRR7010474","SRR7010301","SRR3037403","SRR3037467","SRR14766434","SRR2077386","NDSU28","SRR10258286","SRR10502094","SRR3037491"
"dsbD_1","","Thiol:disulfide interchange protein DsbD",581,581,1,1,4535,NA,NA,"",440,1886,1882,"PFMPIDLH_01291","EEHBNCGH_01513","LBEPEMJH_02891","GEBDBFBM_00614","KEBBHCLF_03543","ANAGKALP_03774","KLLMCOIF_01327","ICMJKFCL_01031","FONGDKBB_02208","JAJDIPKB_01593","AHCJAMEF_01251","KBLPGKMM_03600","NKIHGGCG_03016","BMPMIIIC_01530","GJABAPEG_02997"
"artM_2","","Arginine transport ATP-binding protein ArtM",581,581,1,1,4645,NA,NA,"",503,752,751,"PFMPIDLH_01191","EEHBNCGH_01613","LBEPEMJH_02716","GEBDBFBM_03008","KEBBHCLF_03643","ANAGKALP_03189","KLLMCOIF_03224","ICMJKFCL_00931","FONGDKBB_03825","JAJDIPKB_03315","AHCJAMEF_01150","KBLPGKMM_04181","NKIHGGCG_03985","BMPMIIIC_03354","GJABAPEG_03097"
"papC_3","","Outer membrane usher protein PapC",581,581,1,1,2395,NA,NA,"",590,2657,2653,"PFMPIDLH_04434","EEHBNCGH_04050","LBEPEMJH_04275","GEBDBFBM_03689","KEBBHCLF_03296","ANAGKALP_04108","KLLMCOIF_04123","ICMJKFCL_03511","FONGDKBB_03461","JAJDIPKB_02336","AHCJAMEF_03625","KBLPGKMM_02267","NKIHGGCG_03875","BMPMIIIC_04151","GJABAPEG_03559"
"group_1039","","hypothetical protein",581,581,1,1,2178,NA,NA,"",263,998,995,"PFMPIDLH_03922","EEHBNCGH_03971","LBEPEMJH_03039","GEBDBFBM_03210","KEBBHCLF_03888","ANAGKALP_02895","KLLMCOIF_03507","ICMJKFCL_03825","FONGDKBB_01892","JAJDIPKB_03166","AHCJAMEF_03907","KBLPGKMM_02889","NKIHGGCG_03290","BMPMIIIC_03201","GJABAPEG_03839"
"assT_4","","Arylsulfate sulfotransferase AssT",581,581,1,1,2183,NA,NA,"",893,1790,1783,"PFMPIDLH_03927","EEHBNCGH_03966","LBEPEMJH_03044","GEBDBFBM_03205","KEBBHCLF_03893","ANAGKALP_02900","KLLMCOIF_03512","ICMJKFCL_03820","FONGDKBB_01887","JAJDIPKB_00955","AHCJAMEF_03912","KBLPGKMM_02884","NKIHGGCG_03295","BMPMIIIC_03206","GJABAPEG_03844"
"group_1043","","hypothetical protein",581,581,1,1,2258,NA,NA,"",824,1100,1098,"PFMPIDLH_03985","EEHBNCGH_03908","LBEPEMJH_03102","GEBDBFBM_04228","KEBBHCLF_03951","ANAGKALP_02958","KLLMCOIF_04279","ICMJKFCL_03762","FONGDKBB_01829","JAJDIPKB_00897","AHCJAMEF_03970","KBLPGKMM_02826","NKIHGGCG_03888","BMPMIIIC_03264","GJABAPEG_03902"
"glnG","","DNA-binding transcriptional regulator NtrC",581,581,1,1,2219,NA,NA,"",434,1409,1407,"PFMPIDLH_04021","EEHBNCGH_03872","LBEPEMJH_03138","GEBDBFBM_04503","KEBBHCLF_03987","ANAGKALP_02994","KLLMCOIF_04243","ICMJKFCL_03726","FONGDKBB_01793","JAJDIPKB_00861","AHCJAMEF_04006","KBLPGKMM_02790","NKIHGGCG_03924","BMPMIIIC_03300","GJABAPEG_03938"
"hsrA","","putative transport protein HsrA",581,581,1,1,1363,NA,NA,"",872,1427,1426,"PFMPIDLH_04272","EEHBNCGH_04349","LBEPEMJH_04025","GEBDBFBM_03481","KEBBHCLF_04088","ANAGKALP_03863","KLLMCOIF_03913","ICMJKFCL_04188","FONGDKBB_03131","JAJDIPKB_01650","AHCJAMEF_04171","KBLPGKMM_03249","NKIHGGCG_03606","BMPMIIIC_03864","GJABAPEG_04185"
"dgoD_2","","D-galactonate dehydratase",581,581,1,1,1420,NA,NA,"",692,1148,1146,"PFMPIDLH_04216","EEHBNCGH_04293","LBEPEMJH_03969","GEBDBFBM_03425","KEBBHCLF_04144","ANAGKALP_03807","KLLMCOIF_03969","ICMJKFCL_04244","FONGDKBB_03075","JAJDIPKB_01706","AHCJAMEF_04115","KBLPGKMM_03305","NKIHGGCG_03662","BMPMIIIC_03808","GJABAPEG_04241"
"araA","","L-arabinose isomerase",581,581,1,1,2499,NA,NA,"",1259,1502,1501,"PFMPIDLH_03850","EEHBNCGH_04145","LBEPEMJH_04370","GEBDBFBM_02834","KEBBHCLF_03396","ANAGKALP_04150","KLLMCOIF_02822","ICMJKFCL_03411","FONGDKBB_01523","JAJDIPKB_04165","AHCJAMEF_03525","KBLPGKMM_02367","NKIHGGCG_02759","BMPMIIIC_04254","GJABAPEG_03459"
"acrF","","Multidrug export protein AcrF",581,581,1,1,1981,NA,NA,"",1700,3113,3110,"PFMPIDLH_04584","EEHBNCGH_04479","LBEPEMJH_04489","GEBDBFBM_04155","KEBBHCLF_04405","ANAGKALP_04367","KLLMCOIF_04429","ICMJKFCL_04468","FONGDKBB_03988","JAJDIPKB_04548","AHCJAMEF_04481","KBLPGKMM_04313","NKIHGGCG_04181","BMPMIIIC_04300","GJABAPEG_04441"
"acrR_2","","HTH-type transcriptional regulator AcrR",581,581,1,1,1978,NA,NA,"",335,662,661,"PFMPIDLH_04581","EEHBNCGH_04476","LBEPEMJH_04492","GEBDBFBM_04152","KEBBHCLF_04408","ANAGKALP_04370","KLLMCOIF_04426","ICMJKFCL_04471","FONGDKBB_03985","JAJDIPKB_03248","AHCJAMEF_04478","KBLPGKMM_04310","NKIHGGCG_04184","BMPMIIIC_04297","GJABAPEG_04444"
"group_1083","","hypothetical protein",581,581,1,1,1957,NA,NA,"",3284,3800,3799,"PFMPIDLH_04560","EEHBNCGH_04455","LBEPEMJH_04513","GEBDBFBM_04131","KEBBHCLF_04429","ANAGKALP_04391","KLLMCOIF_04405","ICMJKFCL_04492","FONGDKBB_03964","JAJDIPKB_03227","AHCJAMEF_04457","KBLPGKMM_04289","NKIHGGCG_04205","BMPMIIIC_04276","GJABAPEG_04465"
"group_1085","","hypothetical protein",581,581,1,1,3656,NA,NA,"",425,2135,2129,"PFMPIDLH_04514","EEHBNCGH_04508","LBEPEMJH_02822","GEBDBFBM_04010","KEBBHCLF_04511","ANAGKALP_04297","KLLMCOIF_04364","ICMJKFCL_04534","FONGDKBB_04021","JAJDIPKB_03646","AHCJAMEF_04411","KBLPGKMM_04388","NKIHGGCG_02884","BMPMIIIC_04329","GJABAPEG_04412"
