"Gene","Non.unique.Gene.name","Annotation","No..isolates","No..sequences","Avg.sequences.per.isolate","Genome.Fragment","Order.within.Fragment","Accessory.Fragment","Accessory.Order.with.Fragment","QC","Min.group.size.nuc","Max.group.size.nuc","Avg.group.size.nuc","SRR9016885","SRR14766373","SRR1363292","SRR3037518","SRR5877168","SRR3000887","SRR3037434","SRR3000888","SRR1300738","SRR9016907","SRR14766363","SRR14766398","SRR14766349","NDSU6","NDSU13"
"dsbD_1","","Thiol:disulfide interchange protein DsbD",581,581,1,1,4535,NA,NA,"",440,1886,1882,"OMEBOICM_02538","OCHGHCBG_01510","HECGGPDK_02389","OIEPJHKP_01477","ABGDGJIO_00979","HEJLPIII_01620","ENBCENPF_00844","HAJGLMEJ_01536","BGBDHPIL_03242","BONMBINM_03517","HDHIBFGB_03856","POCPDFCE_03379","FMNDBGIB_00596","LBKLGAEM_00978","GBFFMACB_03774"
"artM_2","","Arginine transport ATP-binding protein ArtM",581,581,1,1,4645,NA,NA,"",503,752,751,"OMEBOICM_02895","OCHGHCBG_01410","HECGGPDK_02289","OIEPJHKP_04053","ABGDGJIO_01080","HEJLPIII_04033","ENBCENPF_00744","HAJGLMEJ_02994","BGBDHPIL_03106","BONMBINM_02931","HDHIBFGB_03139","POCPDFCE_02327","FMNDBGIB_02204","LBKLGAEM_01078","GBFFMACB_02273"
"papC_3","","Outer membrane usher protein PapC",581,581,1,1,2395,NA,NA,"",590,2657,2653,"OMEBOICM_03789","OCHGHCBG_03823","HECGGPDK_04315","OIEPJHKP_03301","ABGDGJIO_04432","HEJLPIII_03392","ENBCENPF_03085","HAJGLMEJ_03378","BGBDHPIL_04049","BONMBINM_04207","HDHIBFGB_02233","POCPDFCE_00544","FMNDBGIB_03098","LBKLGAEM_03457","GBFFMACB_03398"
"group_1039","","hypothetical protein",581,581,1,1,2178,NA,NA,"",263,998,995,"OMEBOICM_01979","OCHGHCBG_04271","HECGGPDK_03777","OIEPJHKP_03595","ABGDGJIO_04246","HEJLPIII_03868","ENBCENPF_03652","HAJGLMEJ_02263","BGBDHPIL_02779","BONMBINM_04154","HDHIBFGB_03279","POCPDFCE_01216","FMNDBGIB_03210","LBKLGAEM_04033","GBFFMACB_02380"
"assT_4","","Arylsulfate sulfotransferase AssT",581,581,1,1,2183,NA,NA,"",893,1790,1783,"OMEBOICM_01974","OCHGHCBG_04266","HECGGPDK_03772","OIEPJHKP_03600","ABGDGJIO_04241","HEJLPIII_03873","ENBCENPF_03657","HAJGLMEJ_02258","BGBDHPIL_02774","BONMBINM_04159","HDHIBFGB_03274","POCPDFCE_01165","FMNDBGIB_03215","LBKLGAEM_04038","GBFFMACB_02385"
"group_1043","","hypothetical protein",581,581,1,1,2258,NA,NA,"",824,1100,1098,"OMEBOICM_01916","OCHGHCBG_04208","HECGGPDK_03714","OIEPJHKP_03658","ABGDGJIO_04183","HEJLPIII_03931","ENBCENPF_03715","HAJGLMEJ_02200","BGBDHPIL_02716","BONMBINM_04603","HDHIBFGB_03216","POCPDFCE_01846","FMNDBGIB_04552","LBKLGAEM_04096","GBFFMACB_02443"
"glnG","","DNA-binding transcriptional regulator NtrC",581,581,1,1,2219,NA,NA,"",434,1409,1407,"OMEBOICM_01880","OCHGHCBG_04172","HECGGPDK_03678","OIEPJHKP_03694","ABGDGJIO_04147","HEJLPIII_03967","ENBCENPF_03751","HAJGLMEJ_02164","BGBDHPIL_02680","BONMBINM_04274","HDHIBFGB_04018","POCPDFCE_03248","FMNDBGIB_03369","LBKLGAEM_04132","GBFFMACB_04225"
"hsrA","","putative transport protein HsrA",581,581,1,1,1363,NA,NA,"",872,1427,1426,"OMEBOICM_03454","OCHGHCBG_04442","HECGGPDK_04085","OIEPJHKP_04258","ABGDGJIO_04429","HEJLPIII_04260","ENBCENPF_04205","HAJGLMEJ_03518","BGBDHPIL_03626","BONMBINM_04010","HDHIBFGB_03450","POCPDFCE_03647","FMNDBGIB_02789","LBKLGAEM_04234","GBFFMACB_03159"
"dgoD_2","","D-galactonate dehydratase",581,581,1,1,1420,NA,NA,"",692,1148,1146,"OMEBOICM_03398","OCHGHCBG_04386","HECGGPDK_04029","OIEPJHKP_04202","ABGDGJIO_04373","HEJLPIII_04204","ENBCENPF_04261","HAJGLMEJ_03574","BGBDHPIL_03682","BONMBINM_04066","HDHIBFGB_03506","POCPDFCE_00655","FMNDBGIB_02845","LBKLGAEM_04290","GBFFMACB_03103"
"araA","","L-arabinose isomerase",581,581,1,1,2499,NA,NA,"",1259,1502,1501,"OMEBOICM_02851","OCHGHCBG_03923","HECGGPDK_03567","OIEPJHKP_03201","ABGDGJIO_04094","HEJLPIII_03292","ENBCENPF_03185","HAJGLMEJ_03231","BGBDHPIL_03338","BONMBINM_02791","HDHIBFGB_02133","POCPDFCE_03595","FMNDBGIB_02644","LBKLGAEM_03557","GBFFMACB_02467"
"acrF","","Multidrug export protein AcrF",581,581,1,1,1981,NA,NA,"",1700,3113,3110,"OMEBOICM_04117","OCHGHCBG_04550","HECGGPDK_04420","OIEPJHKP_04511","ABGDGJIO_04596","HEJLPIII_04359","ENBCENPF_04452","HAJGLMEJ_04224","BGBDHPIL_04176","BONMBINM_04394","HDHIBFGB_04148","POCPDFCE_04351","FMNDBGIB_03635","LBKLGAEM_04471","GBFFMACB_03624"
"acrR_2","","HTH-type transcriptional regulator AcrR",581,581,1,1,1978,NA,NA,"",335,662,661,"OMEBOICM_04114","OCHGHCBG_04547","HECGGPDK_04423","OIEPJHKP_04508","ABGDGJIO_04593","HEJLPIII_04356","ENBCENPF_04455","HAJGLMEJ_04227","BGBDHPIL_04173","BONMBINM_04391","HDHIBFGB_04151","POCPDFCE_01645","FMNDBGIB_03638","LBKLGAEM_04468","GBFFMACB_03627"
"group_1083","","hypothetical protein",581,581,1,1,1957,NA,NA,"",3284,3800,3799,"OMEBOICM_04093","OCHGHCBG_04526","HECGGPDK_04444","OIEPJHKP_04487","ABGDGJIO_04572","HEJLPIII_04335","ENBCENPF_04476","HAJGLMEJ_04248","BGBDHPIL_04152","BONMBINM_04370","HDHIBFGB_04172","POCPDFCE_01666","FMNDBGIB_03659","LBKLGAEM_04447","GBFFMACB_03648"
"group_1085","","hypothetical protein",581,581,1,1,3656,NA,NA,"",425,2135,2129,"OMEBOICM_03968","OCHGHCBG_04580","HECGGPDK_04486","OIEPJHKP_04541","ABGDGJIO_04626","HEJLPIII_04386","ENBCENPF_04518","HAJGLMEJ_04107","BGBDHPIL_04250","BONMBINM_03037","HDHIBFGB_04217","POCPDFCE_02629","FMNDBGIB_03525","LBKLGAEM_04500","GBFFMACB_03687"
"zraS","","Sensor protein ZraS",581,581,1,1,1524,NA,NA,"",779,1463,1460,"OMEBOICM_04452","OCHGHCBG_04609","HECGGPDK_04566","OIEPJHKP_04592","ABGDGJIO_04685","HEJLPIII_04462","ENBCENPF_04569","HAJGLMEJ_04373","BGBDHPIL_04330","BONMBINM_04401","HDHIBFGB_04398","POCPDFCE_03774","FMNDBGIB_03987","LBKLGAEM_04642","GBFFMACB_04138"
"deaD","","ATP-dependent RNA helicase DeaD",581,581,1,1,2619,NA,NA,"",1745,1913,1888,"OMEBOICM_03054","OCHGHCBG_00595","HECGGPDK_00808","OIEPJHKP_00074","ABGDGJIO_00074","HEJLPIII_03715","ENBCENPF_00074","HAJGLMEJ_00341","BGBDHPIL_00571","BONMBINM_00486","HDHIBFGB_02670","POCPDFCE_00311","FMNDBGIB_02440","LBKLGAEM_00595","GBFFMACB_00659"
"metH","","Methionine synthase",581,581,1,1,2012,NA,NA,"",3206,3689,3682,"OMEBOICM_03685","OCHGHCBG_02256","HECGGPDK_01409","OIEPJHKP_01104","ABGDGJIO_01591","HEJLPIII_00008","ENBCENPF_02789","HAJGLMEJ_03988","BGBDHPIL_04297","BONMBINM_04001","HDHIBFGB_04516","POCPDFCE_03753","FMNDBGIB_04312","LBKLGAEM_01647","GBFFMACB_03336"
"ftsP","","Cell division protein FtsP",581,581,1,1,2726,NA,NA,"",563,1418,1410,"OMEBOICM_00306","OCHGHCBG_00492","HECGGPDK_00911","OIEPJHKP_00177","ABGDGJIO_00177","HEJLPIII_03818","ENBCENPF_00177","HAJGLMEJ_00238","BGBDHPIL_00469","BONMBINM_00589","HDHIBFGB_03782","POCPDFCE_03115","FMNDBGIB_02543","LBKLGAEM_00492","GBFFMACB_00556"
"nudL","","putative Nudix hydrolase NudL",581,581,1,1,4771,NA,NA,"",203,578,577,"OMEBOICM_03637","OCHGHCBG_03035","HECGGPDK_00689","OIEPJHKP_01570","ABGDGJIO_02371","HEJLPIII_00491","ENBCENPF_01129","HAJGLMEJ_03861","BGBDHPIL_03965","BONMBINM_02452","HDHIBFGB_00718","POCPDFCE_01078","FMNDBGIB_03412","LBKLGAEM_01200","GBFFMACB_01550"
"yoaA","","putative ATP-dependent DNA helicase YoaA",581,581,1,1,4775,NA,NA,"",1604,1910,1909,"OMEBOICM_03641","OCHGHCBG_03031","HECGGPDK_00685","OIEPJHKP_01574","ABGDGJIO_02367","HEJLPIII_00495","ENBCENPF_01133","HAJGLMEJ_03865","BGBDHPIL_03961","BONMBINM_02456","HDHIBFGB_00714","POCPDFCE_01082","FMNDBGIB_03416","LBKLGAEM_01204","GBFFMACB_01546"
"fadD","","Long-chain-fatty-acid--CoA ligase",581,581,1,1,4778,NA,NA,"",1457,1751,1750,"OMEBOICM_03644","OCHGHCBG_03028","HECGGPDK_00682","OIEPJHKP_01577","ABGDGJIO_02364","HEJLPIII_00498","ENBCENPF_01136","HAJGLMEJ_03868","BGBDHPIL_03958","BONMBINM_02459","HDHIBFGB_00711","POCPDFCE_01085","FMNDBGIB_03419","LBKLGAEM_01207","GBFFMACB_01543"
"rnd","","Ribonuclease D",581,581,1,1,4779,NA,NA,"",746,1115,1114,"OMEBOICM_03645","OCHGHCBG_03027","HECGGPDK_00681","OIEPJHKP_01578","ABGDGJIO_02363","HEJLPIII_00499","ENBCENPF_01137","HAJGLMEJ_03869","BGBDHPIL_03957","BONMBINM_02460","HDHIBFGB_00710","POCPDFCE_01086","FMNDBGIB_03420","LBKLGAEM_01208","GBFFMACB_01542"
"appC","","Cytochrome bd-II ubiquinol oxidase subunit 1",581,581,1,1,4804,NA,NA,"",896,1544,1542,"OMEBOICM_03670","OCHGHCBG_03002","HECGGPDK_00656","OIEPJHKP_01603","ABGDGJIO_02338","HEJLPIII_00524","ENBCENPF_01162","HAJGLMEJ_03894","BGBDHPIL_03932","BONMBINM_02485","HDHIBFGB_00685","POCPDFCE_01111","FMNDBGIB_03445","LBKLGAEM_01233","GBFFMACB_01517"
"group_1158","","hypothetical protein",581,581,1,1,4805,NA,NA,"",356,848,846,"OMEBOICM_03671","OCHGHCBG_03001","HECGGPDK_00655","OIEPJHKP_01604","ABGDGJIO_02337","HEJLPIII_00525","ENBCENPF_01163","HAJGLMEJ_03895","BGBDHPIL_03931","BONMBINM_02486","HDHIBFGB_00684","POCPDFCE_01112","FMNDBGIB_03446","LBKLGAEM_01234","GBFFMACB_01516"
"hyaE","","Hydrogenase-1 operon protein HyaE",581,581,1,1,4806,NA,NA,"",404,455,404,"OMEBOICM_03672","OCHGHCBG_03000","HECGGPDK_00654","OIEPJHKP_01605","ABGDGJIO_02336","HEJLPIII_00526","ENBCENPF_01164","HAJGLMEJ_03896","BGBDHPIL_01349","BONMBINM_02487","HDHIBFGB_00683","POCPDFCE_01113","FMNDBGIB_03447","LBKLGAEM_01235","GBFFMACB_01515"
"prfA","","Peptide chain release factor RF1",581,581,1,1,4823,NA,NA,"",632,1082,1081,"OMEBOICM_01721","OCHGHCBG_02985","HECGGPDK_00639","OIEPJHKP_01620","ABGDGJIO_02321","HEJLPIII_00541","ENBCENPF_01180","HAJGLMEJ_02838","BGBDHPIL_01364","BONMBINM_02502","HDHIBFGB_00668","POCPDFCE_03413","FMNDBGIB_01531","LBKLGAEM_01250","GBFFMACB_01500"
"narX","","Nitrate/nitrite sensor protein NarX",581,581,1,1,4833,NA,NA,"",1739,1796,1795,"OMEBOICM_01731","OCHGHCBG_02975","HECGGPDK_00629","OIEPJHKP_01630","ABGDGJIO_02311","HEJLPIII_00551","ENBCENPF_01190","HAJGLMEJ_02828","BGBDHPIL_01374","BONMBINM_02512","HDHIBFGB_00658","POCPDFCE_03403","FMNDBGIB_01521","LBKLGAEM_01260","GBFFMACB_01490"
"narG","","Respiratory nitrate reductase 1 alpha chain",581,581,1,1,4835,NA,NA,"",1712,3743,3739,"OMEBOICM_01733","OCHGHCBG_02973","HECGGPDK_00627","OIEPJHKP_01632","ABGDGJIO_02309","HEJLPIII_00553","ENBCENPF_01192","HAJGLMEJ_02826","BGBDHPIL_01376","BONMBINM_02514","HDHIBFGB_00656","POCPDFCE_03485","FMNDBGIB_01519","LBKLGAEM_01262","GBFFMACB_01488"
"yciI","","Protein YciI",581,581,1,1,4860,NA,NA,"",221,296,295,"OMEBOICM_01758","OCHGHCBG_02948","HECGGPDK_00602","OIEPJHKP_01657","ABGDGJIO_02284","HEJLPIII_00578","ENBCENPF_01217","HAJGLMEJ_02801","BGBDHPIL_01401","BONMBINM_02539","HDHIBFGB_00631","POCPDFCE_04045","FMNDBGIB_01494","LBKLGAEM_01287","GBFFMACB_01463"
"group_1165","","hypothetical protein",581,581,1,1,4864,NA,NA,"",641,743,742,"OMEBOICM_01762","OCHGHCBG_02944","HECGGPDK_00598","OIEPJHKP_01661","ABGDGJIO_02280","HEJLPIII_00582","ENBCENPF_01221","HAJGLMEJ_02797","BGBDHPIL_01405","BONMBINM_02543","HDHIBFGB_00627","POCPDFCE_04049","FMNDBGIB_01490","LBKLGAEM_01291","GBFFMACB_01459"
"trpGD","","Bifunctional protein TrpGD",581,581,1,1,4874,NA,NA,"",431,1595,1590,"OMEBOICM_01772","OCHGHCBG_02934","HECGGPDK_00588","OIEPJHKP_01671","ABGDGJIO_02270","HEJLPIII_00592","ENBCENPF_01231","HAJGLMEJ_02787","BGBDHPIL_01415","BONMBINM_02553","HDHIBFGB_00617","POCPDFCE_02893","FMNDBGIB_01480","LBKLGAEM_01301","GBFFMACB_01449"
"trpE","","Anthranilate synthase component 1",581,581,1,1,4875,NA,NA,"",374,1562,1559,"OMEBOICM_01773","OCHGHCBG_02933","HECGGPDK_00587","OIEPJHKP_01672","ABGDGJIO_02269","HEJLPIII_00593","ENBCENPF_01232","HAJGLMEJ_02786","BGBDHPIL_01416","BONMBINM_02554","HDHIBFGB_00616","POCPDFCE_02892","FMNDBGIB_01479","LBKLGAEM_01302","GBFFMACB_01448"
"osmB","","Osmotically-inducible lipoprotein B",581,581,1,1,4895,NA,NA,"",197,218,217,"OMEBOICM_01792","OCHGHCBG_02914","HECGGPDK_00568","OIEPJHKP_01691","ABGDGJIO_02250","HEJLPIII_00612","ENBCENPF_01251","HAJGLMEJ_02767","BGBDHPIL_01435","BONMBINM_02573","HDHIBFGB_00597","POCPDFCE_02873","FMNDBGIB_01460","LBKLGAEM_01321","GBFFMACB_01429"
"pspA","","Phage shock protein A",581,581,1,1,4913,NA,NA,"",398,668,667,"OMEBOICM_01807","OCHGHCBG_02899","HECGGPDK_00553","OIEPJHKP_01706","ABGDGJIO_02235","HEJLPIII_00627","ENBCENPF_01266","HAJGLMEJ_02752","BGBDHPIL_01450","BONMBINM_03584","HDHIBFGB_00582","POCPDFCE_02088","FMNDBGIB_01445","LBKLGAEM_01336","GBFFMACB_01414"
"ytbE","","putative oxidoreductase YtbE",581,581,1,1,4927,NA,NA,"",830,869,839,"OMEBOICM_01821","OCHGHCBG_02885","HECGGPDK_00539","OIEPJHKP_01720","ABGDGJIO_02221","HEJLPIII_00641","ENBCENPF_01280","HAJGLMEJ_02738","BGBDHPIL_01464","BONMBINM_03598","HDHIBFGB_00568","POCPDFCE_02074","FMNDBGIB_01431","LBKLGAEM_01350","GBFFMACB_01400"
"puuR","","HTH-type transcriptional regulator PuuR",581,581,1,1,4940,NA,NA,"",341,602,601,"OMEBOICM_01833","OCHGHCBG_02873","HECGGPDK_00526","OIEPJHKP_01732","ABGDGJIO_02209","HEJLPIII_00653","ENBCENPF_01292","HAJGLMEJ_02726","BGBDHPIL_01476","BONMBINM_03610","HDHIBFGB_00556","POCPDFCE_03944","FMNDBGIB_01419","LBKLGAEM_01362","GBFFMACB_01388"
"smrA","","putative DNA endonuclease SmrA",581,581,1,1,4948,NA,NA,"",326,563,562,"OMEBOICM_01839","OCHGHCBG_02867","HECGGPDK_00520","OIEPJHKP_01738","ABGDGJIO_02203","HEJLPIII_00659","ENBCENPF_01298","HAJGLMEJ_02720","BGBDHPIL_01482","BONMBINM_03616","HDHIBFGB_00550","POCPDFCE_03938","FMNDBGIB_01413","LBKLGAEM_01368","GBFFMACB_01382"
