"Gene","Non.unique.Gene.name","Annotation","No..isolates","No..sequences","Avg.sequences.per.isolate","Genome.Fragment","Order.within.Fragment","Accessory.Fragment","Accessory.Order.with.Fragment","QC","Min.group.size.nuc","Max.group.size.nuc","Avg.group.size.nuc","SRR5928153","SRR28323390","SRR14766438","NDSU16","SRR5000227","SRR10037225","SRR5905291","SRR10963338","SRR1501680","SRR5928609","SRR2911774","SRR2962651","SRR14766386","SRR11043408","SRR2096614"
"dsbD_1","","Thiol:disulfide interchange protein DsbD",581,581,1,1,4535,NA,NA,"",440,1886,1882,"BMGCDLMI_01260","OILBKPLO_00176","EJBBKOOG_02937","PJHKJHDN_02889","FKHFPJNE_00921","KILFPKNN_03527","FGPKPDMB_01701","HJPBANPH_01973","BPMCEJLP_01447","MAMFPLAJ_04240","PFMPIDLH_01291","MAOMFHLF_00239","OKEMFKGG_01516","OBBHNEFO_01398","NJPCONAJ_03655"
"artM_2","","Arginine transport ATP-binding protein ArtM",581,581,1,1,4645,NA,NA,"",503,752,751,"BMGCDLMI_01160","OILBKPLO_00076","EJBBKOOG_02358","PJHKJHDN_02789","FKHFPJNE_00821","KILFPKNN_03627","FGPKPDMB_01601","HJPBANPH_01476","BPMCEJLP_03662","MAMFPLAJ_01896","PFMPIDLH_01191","MAOMFHLF_00339","OKEMFKGG_01616","OBBHNEFO_01498","NJPCONAJ_02461"
"papC_3","","Outer membrane usher protein PapC",581,581,1,1,2395,NA,NA,"",590,2657,2653,"BMGCDLMI_04321","OILBKPLO_01697","EJBBKOOG_03519","PJHKJHDN_03663","FKHFPJNE_03567","KILFPKNN_03266","FGPKPDMB_04462","HJPBANPH_00671","BPMCEJLP_03764","MAMFPLAJ_02833","PFMPIDLH_04434","MAOMFHLF_04241","OKEMFKGG_03463","OBBHNEFO_03815","NJPCONAJ_04060"
"group_1039","","hypothetical protein",581,581,1,1,2178,NA,NA,"",263,998,995,"BMGCDLMI_03897","OILBKPLO_03736","EJBBKOOG_03892","PJHKJHDN_03868","FKHFPJNE_04042","KILFPKNN_03734","FGPKPDMB_03921","HJPBANPH_02591","BPMCEJLP_03475","MAMFPLAJ_02378","PFMPIDLH_03922","MAOMFHLF_03350","OKEMFKGG_03923","OBBHNEFO_04177","NJPCONAJ_04343"
"assT_4","","Arylsulfate sulfotransferase AssT",581,581,1,1,2183,NA,NA,"",893,1790,1783,"BMGCDLMI_03902","OILBKPLO_03731","EJBBKOOG_03860","PJHKJHDN_03863","FKHFPJNE_04047","KILFPKNN_03739","FGPKPDMB_03916","HJPBANPH_02596","BPMCEJLP_03480","MAMFPLAJ_02373","PFMPIDLH_03927","MAOMFHLF_03355","OKEMFKGG_03918","OBBHNEFO_04172","NJPCONAJ_04338"
"group_1043","","hypothetical protein",581,581,1,1,2258,NA,NA,"",824,1100,1098,"BMGCDLMI_03960","OILBKPLO_04237","EJBBKOOG_03585","PJHKJHDN_03805","FKHFPJNE_04105","KILFPKNN_03797","FGPKPDMB_03858","HJPBANPH_02654","BPMCEJLP_03538","MAMFPLAJ_02899","PFMPIDLH_03985","MAOMFHLF_03413","OKEMFKGG_03860","OBBHNEFO_04114","NJPCONAJ_04639"
"glnG","","DNA-binding transcriptional regulator NtrC",581,581,1,1,2219,NA,NA,"",434,1409,1407,"BMGCDLMI_03996","OILBKPLO_04416","EJBBKOOG_03621","PJHKJHDN_03769","FKHFPJNE_04141","KILFPKNN_03833","FGPKPDMB_03822","HJPBANPH_04388","BPMCEJLP_03574","MAMFPLAJ_02935","PFMPIDLH_04021","MAOMFHLF_03449","OKEMFKGG_03824","OBBHNEFO_04078","NJPCONAJ_04279"
"hsrA","","putative transport protein HsrA",581,581,1,1,1363,NA,NA,"",872,1427,1426,"BMGCDLMI_04247","OILBKPLO_04453","EJBBKOOG_03017","PJHKJHDN_04186","FKHFPJNE_04305","KILFPKNN_04131","FGPKPDMB_04244","HJPBANPH_03271","BPMCEJLP_04000","MAMFPLAJ_04465","PFMPIDLH_04272","MAOMFHLF_03941","OKEMFKGG_04189","OBBHNEFO_04297","NJPCONAJ_03760"
"dgoD_2","","D-galactonate dehydratase",581,581,1,1,1420,NA,NA,"",692,1148,1146,"BMGCDLMI_04191","OILBKPLO_03938","EJBBKOOG_02961","PJHKJHDN_04130","FKHFPJNE_04249","KILFPKNN_04075","FGPKPDMB_04188","HJPBANPH_03215","BPMCEJLP_04056","MAMFPLAJ_03051","PFMPIDLH_04216","MAOMFHLF_03885","OKEMFKGG_04245","OBBHNEFO_04353","NJPCONAJ_03816"
"araA","","L-arabinose isomerase",581,581,1,1,2499,NA,NA,"",1259,1502,1501,"BMGCDLMI_03825","OILBKPLO_01596","EJBBKOOG_03315","PJHKJHDN_04333","FKHFPJNE_03467","KILFPKNN_03164","FGPKPDMB_03769","HJPBANPH_00771","BPMCEJLP_03871","MAMFPLAJ_04652","PFMPIDLH_03850","MAOMFHLF_04249","OKEMFKGG_03563","OBBHNEFO_03713","NJPCONAJ_02286"
