"Gene","Non.unique.Gene.name","Annotation","No..isolates","No..sequences","Avg.sequences.per.isolate","Genome.Fragment","Order.within.Fragment","Accessory.Fragment","Accessory.Order.with.Fragment","QC","Min.group.size.nuc","Max.group.size.nuc","Avg.group.size.nuc","SRR5905029","NDSU12","SRR7798780","SRR7012122","SRR10240819","SRR5883578","SRR2096609","SRR23043684","SRR11487643","SRR14766351","SRR14766443","SRR7041896","SRR15712217","SRR14095467","SRR5928712"
"dsbD_1","","Thiol:disulfide interchange protein DsbD",581,581,1,1,4535,NA,NA,"",440,1886,1882,"PLHCNFHB_01765","KMJDPIGG_04074","JMEEGOOJ_02314","NJJGCHOI_03901","JGJLLKKG_01394","DGJMLPEB_02092","EDMDPJBM_03265","LDHFOKNP_00176","AMEEEGBM_00978","OAFANHMB_02582","BJFLHFPA_02163","LNFOPOPD_00590","BMHAMMBM_00918","EIKGHHBD_02893","CDFNNGFP_00239"
"artM_2","","Arginine transport ATP-binding protein ArtM",581,581,1,1,4645,NA,NA,"",503,752,751,"PLHCNFHB_01866","KMJDPIGG_03974","JMEEGOOJ_02414","NJJGCHOI_03770","JGJLLKKG_01494","DGJMLPEB_03579","EDMDPJBM_02612","LDHFOKNP_00076","AMEEEGBM_01078","OAFANHMB_03658","BJFLHFPA_03097","LNFOPOPD_00489","BMHAMMBM_00818","EIKGHHBD_04161","CDFNNGFP_00339"
"papC_3","","Outer membrane usher protein PapC",581,581,1,1,2395,NA,NA,"",590,2657,2653,"PLHCNFHB_03697","KMJDPIGG_03758","JMEEGOOJ_04435","NJJGCHOI_04255","JGJLLKKG_03779","DGJMLPEB_04280","EDMDPJBM_01450","LDHFOKNP_04028","AMEEEGBM_03746","OAFANHMB_02747","BJFLHFPA_04003","LNFOPOPD_04285","BMHAMMBM_03747","EIKGHHBD_03692","CDFNNGFP_04371"
"group_1039","","hypothetical protein",581,581,1,1,2178,NA,NA,"",263,998,995,"PLHCNFHB_03783","KMJDPIGG_04193","JMEEGOOJ_03390","NJJGCHOI_03411","JGJLLKKG_04061","DGJMLPEB_03326","EDMDPJBM_02685","LDHFOKNP_04194","AMEEEGBM_04114","OAFANHMB_03585","BJFLHFPA_02627","LNFOPOPD_03699","BMHAMMBM_04118","EIKGHHBD_03974","CDFNNGFP_03795"
"assT_4","","Arylsulfate sulfotransferase AssT",581,581,1,1,2183,NA,NA,"",893,1790,1783,"PLHCNFHB_03788","KMJDPIGG_04188","JMEEGOOJ_03385","NJJGCHOI_03406","JGJLLKKG_04066","DGJMLPEB_03321","EDMDPJBM_02690","LDHFOKNP_04189","AMEEEGBM_04119","OAFANHMB_03580","BJFLHFPA_02622","LNFOPOPD_03704","BMHAMMBM_04123","EIKGHHBD_03979","CDFNNGFP_03800"
"group_1043","","hypothetical protein",581,581,1,1,2258,NA,NA,"",824,1100,1098,"PLHCNFHB_03846","KMJDPIGG_04130","JMEEGOOJ_03327","NJJGCHOI_03348","JGJLLKKG_04124","DGJMLPEB_03263","EDMDPJBM_02748","LDHFOKNP_04131","AMEEEGBM_04177","OAFANHMB_03522","BJFLHFPA_02563","LNFOPOPD_04351","BMHAMMBM_04181","EIKGHHBD_04037","CDFNNGFP_03858"
"glnG","","DNA-binding transcriptional regulator NtrC",581,581,1,1,2219,NA,NA,"",434,1409,1407,"PLHCNFHB_03882","KMJDPIGG_04094","JMEEGOOJ_03291","NJJGCHOI_03312","JGJLLKKG_04160","DGJMLPEB_03227","EDMDPJBM_03960","LDHFOKNP_04095","AMEEEGBM_04213","OAFANHMB_03486","BJFLHFPA_02527","LNFOPOPD_04387","BMHAMMBM_04217","EIKGHHBD_04073","CDFNNGFP_03894"
"hsrA","","putative transport protein HsrA",581,581,1,1,1363,NA,NA,"",872,1427,1426,"PLHCNFHB_04312","KMJDPIGG_04313","JMEEGOOJ_04270","NJJGCHOI_04136","JGJLLKKG_04324","DGJMLPEB_04105","EDMDPJBM_03354","LDHFOKNP_04314","AMEEEGBM_04314","OAFANHMB_04160","BJFLHFPA_03750","LNFOPOPD_04004","BMHAMMBM_04318","EIKGHHBD_04291","CDFNNGFP_04151"
"dgoD_2","","D-galactonate dehydratase",581,581,1,1,1420,NA,NA,"",692,1148,1146,"PLHCNFHB_04256","KMJDPIGG_04369","JMEEGOOJ_04214","NJJGCHOI_04192","JGJLLKKG_04268","DGJMLPEB_04049","EDMDPJBM_03298","LDHFOKNP_04370","AMEEEGBM_04370","OAFANHMB_04104","BJFLHFPA_03694","LNFOPOPD_04060","BMHAMMBM_04374","EIKGHHBD_04347","CDFNNGFP_04095"
"araA","","L-arabinose isomerase",581,581,1,1,2499,NA,NA,"",1259,1502,1501,"PLHCNFHB_04517","KMJDPIGG_03858","JMEEGOOJ_03078","NJJGCHOI_03259","JGJLLKKG_03679","DGJMLPEB_04375","EDMDPJBM_01550","LDHFOKNP_04420","AMEEEGBM_03846","OAFANHMB_02648","BJFLHFPA_02416","LNFOPOPD_03558","BMHAMMBM_03849","EIKGHHBD_03590","CDFNNGFP_03665"
"acrF","","Multidrug export protein AcrF",581,581,1,1,1981,NA,NA,"",1700,3113,3110,"PLHCNFHB_04613","KMJDPIGG_04489","JMEEGOOJ_04548","NJJGCHOI_04502","JGJLLKKG_04477","DGJMLPEB_04421","EDMDPJBM_04201","LDHFOKNP_04522","AMEEEGBM_04496","OAFANHMB_04386","BJFLHFPA_04207","LNFOPOPD_04480","BMHAMMBM_04477","EIKGHHBD_04454","CDFNNGFP_04465"
"acrR_2","","HTH-type transcriptional regulator AcrR",581,581,1,1,1978,NA,NA,"",335,662,661,"PLHCNFHB_04610","KMJDPIGG_04486","JMEEGOOJ_04551","NJJGCHOI_04499","JGJLLKKG_04474","DGJMLPEB_04418","EDMDPJBM_04198","LDHFOKNP_04519","AMEEEGBM_04499","OAFANHMB_04383","BJFLHFPA_04204","LNFOPOPD_04477","BMHAMMBM_04474","EIKGHHBD_04451","CDFNNGFP_04462"
"group_1083","","hypothetical protein",581,581,1,1,1957,NA,NA,"",3284,3800,3799,"PLHCNFHB_04589","KMJDPIGG_04465","JMEEGOOJ_04572","NJJGCHOI_04478","JGJLLKKG_04453","DGJMLPEB_04397","EDMDPJBM_04177","LDHFOKNP_04498","AMEEEGBM_04520","OAFANHMB_04362","BJFLHFPA_04183","LNFOPOPD_04456","BMHAMMBM_04453","EIKGHHBD_04430","CDFNNGFP_04441"
"group_1085","","hypothetical protein",581,581,1,1,3656,NA,NA,"",425,2135,2129,"PLHCNFHB_04642","KMJDPIGG_04518","JMEEGOOJ_04519","NJJGCHOI_04433","JGJLLKKG_04407","DGJMLPEB_04450","EDMDPJBM_04086","LDHFOKNP_04452","AMEEEGBM_04463","OAFANHMB_04321","BJFLHFPA_04235","LNFOPOPD_04510","BMHAMMBM_04588","EIKGHHBD_04484","CDFNNGFP_04494"
"zraS","","Sensor protein ZraS",581,581,1,1,1524,NA,NA,"",779,1463,1460,"PLHCNFHB_04672","KMJDPIGG_04548","JMEEGOOJ_04629","NJJGCHOI_04539","JGJLLKKG_04484","DGJMLPEB_04480","EDMDPJBM_04525","LDHFOKNP_04606","AMEEEGBM_04561","OAFANHMB_04445","BJFLHFPA_04492","LNFOPOPD_04539","BMHAMMBM_04506","EIKGHHBD_04535","CDFNNGFP_04524"
"deaD","","ATP-dependent RNA helicase DeaD",581,581,1,1,2619,NA,NA,"",1745,1913,1888,"PLHCNFHB_00596","KMJDPIGG_00916","JMEEGOOJ_04045","NJJGCHOI_02036","JGJLLKKG_00074","DGJMLPEB_03925","EDMDPJBM_02777","LDHFOKNP_02406","AMEEEGBM_00073","OAFANHMB_00542","BJFLHFPA_01765","LNFOPOPD_02307","BMHAMMBM_03319","EIKGHHBD_00819","CDFNNGFP_02273"
