"Gene","Non.unique.Gene.name","Annotation","No..isolates","No..sequences","Avg.sequences.per.isolate","Genome.Fragment","Order.within.Fragment","Accessory.Fragment","Accessory.Order.with.Fragment","QC","Min.group.size.nuc","Max.group.size.nuc","Avg.group.size.nuc","SRR10963338","SRR1515962","SRR14766360","SRR5666360","SRR14766372","SRR18233392","SRR23043677","SRR14766415","NDSU13","SRR14766340","SRR9301020","SRR14766411","SRR5928137","SRR12991092","SRR5905281"
"dsbD_1","","Thiol:disulfide interchange protein DsbD",581,581,1,1,4535,NA,NA,"",440,1886,1882,"HJPBANPH_01973","HBFNLEKM_02681","CDIKHPPE_03734","KHAGAGIB_00239","OFPOAPDN_01591","COLOCJJI_02021","ANJCIHOA_00938","FGNPIGJI_01498","GBFFMACB_03774","NLELDDOK_02954","CLMPPMAO_02369","IABIGAJC_03037","FHJCNOBE_00176","KEBBHCLF_03543","GAMKEBON_02913"
"artM_2","","Arginine transport ATP-binding protein ArtM",581,581,1,1,4645,NA,NA,"",503,752,751,"HJPBANPH_01476","HBFNLEKM_02226","CDIKHPPE_04169","KHAGAGIB_00339","OFPOAPDN_01491","COLOCJJI_03617","ANJCIHOA_01038","FGNPIGJI_03726","GBFFMACB_02273","NLELDDOK_02062","CLMPPMAO_03678","IABIGAJC_02162","FHJCNOBE_00076","KEBBHCLF_03643","GAMKEBON_03396"
"papC_3","","Outer membrane usher protein PapC",581,581,1,1,2395,NA,NA,"",590,2657,2653,"HJPBANPH_00671","HBFNLEKM_02876","CDIKHPPE_01456","KHAGAGIB_04143","OFPOAPDN_03888","COLOCJJI_03494","ANJCIHOA_03760","FGNPIGJI_04152","GBFFMACB_03398","NLELDDOK_01232","CLMPPMAO_03937","IABIGAJC_04267","FHJCNOBE_04388","KEBBHCLF_03296","GAMKEBON_03539"
"group_1039","","hypothetical protein",581,581,1,1,2178,NA,NA,"",263,998,995,"HJPBANPH_02591","HBFNLEKM_01774","CDIKHPPE_04467","KHAGAGIB_03201","OFPOAPDN_04054","COLOCJJI_03408","ANJCIHOA_04122","FGNPIGJI_03833","GBFFMACB_02380","NLELDDOK_02276","CLMPPMAO_03866","IABIGAJC_03437","FHJCNOBE_03267","KEBBHCLF_03888","GAMKEBON_01152"
"assT_4","","Arylsulfate sulfotransferase AssT",581,581,1,1,2183,NA,NA,"",893,1790,1783,"HJPBANPH_02596","HBFNLEKM_01769","CDIKHPPE_03075","KHAGAGIB_03196","OFPOAPDN_04049","COLOCJJI_03403","ANJCIHOA_04127","FGNPIGJI_03838","GBFFMACB_02385","NLELDDOK_02281","CLMPPMAO_03871","IABIGAJC_03442","FHJCNOBE_03262","KEBBHCLF_03893","GAMKEBON_01147"
"group_1043","","hypothetical protein",581,581,1,1,2258,NA,NA,"",824,1100,1098,"HJPBANPH_02654","HBFNLEKM_01711","CDIKHPPE_04238","KHAGAGIB_03138","OFPOAPDN_03991","COLOCJJI_03345","ANJCIHOA_04185","FGNPIGJI_04218","GBFFMACB_02443","NLELDDOK_02339","CLMPPMAO_04680","IABIGAJC_03500","FHJCNOBE_03204","KEBBHCLF_03951","GAMKEBON_01089"
"glnG","","DNA-binding transcriptional regulator NtrC",581,581,1,1,2219,NA,NA,"",434,1409,1407,"HJPBANPH_04388","HBFNLEKM_03246","CDIKHPPE_02133","KHAGAGIB_03102","OFPOAPDN_03955","COLOCJJI_04623","ANJCIHOA_04221","FGNPIGJI_04254","GBFFMACB_04225","NLELDDOK_02375","CLMPPMAO_04357","IABIGAJC_03536","FHJCNOBE_03168","KEBBHCLF_03987","GAMKEBON_01053"
"hsrA","","putative transport protein HsrA",581,581,1,1,1363,NA,NA,"",872,1427,1426,"HJPBANPH_03271","HBFNLEKM_02502","CDIKHPPE_00945","KHAGAGIB_03953","OFPOAPDN_04383","COLOCJJI_04047","ANJCIHOA_04385","FGNPIGJI_04031","GBFFMACB_03159","NLELDDOK_03776","CLMPPMAO_04056","IABIGAJC_04209","FHJCNOBE_04224","KEBBHCLF_04088","GAMKEBON_03033"
"dgoD_2","","D-galactonate dehydratase",581,581,1,1,1420,NA,NA,"",692,1148,1146,"HJPBANPH_03215","HBFNLEKM_02558","CDIKHPPE_01001","KHAGAGIB_04009","OFPOAPDN_04327","COLOCJJI_04103","ANJCIHOA_04329","FGNPIGJI_04087","GBFFMACB_03103","NLELDDOK_03832","CLMPPMAO_04000","IABIGAJC_04153","FHJCNOBE_04168","KEBBHCLF_04144","GAMKEBON_02977"
"araA","","L-arabinose isomerase",581,581,1,1,2499,NA,NA,"",1259,1502,1501,"HJPBANPH_00771","HBFNLEKM_02930","CDIKHPPE_03149","KHAGAGIB_03049","OFPOAPDN_03788","COLOCJJI_04256","ANJCIHOA_03859","FGNPIGJI_03492","GBFFMACB_02467","NLELDDOK_01332","CLMPPMAO_03432","IABIGAJC_03365","FHJCNOBE_03115","KEBBHCLF_03396","GAMKEBON_01352"
