"Gene","Non.unique.Gene.name","Annotation","No..isolates","No..sequences","Avg.sequences.per.isolate","Genome.Fragment","Order.within.Fragment","Accessory.Fragment","Accessory.Order.with.Fragment","QC","Min.group.size.nuc","Max.group.size.nuc","Avg.group.size.nuc","SRR3097565","SRR3000894","SRR5905013","SRR14766386","SRR14766403","SRR5928610","SRR14766400","SRR14766434","SRR2911780","SRR1106157","SRR1334561","SRR1515962","SRR14766441","SRR18233386","SRR2911768"
"dsbD_1","","Thiol:disulfide interchange protein DsbD",581,581,1,1,4535,NA,NA,"",440,1886,1882,"CACDDPPO_03599","KIHOKJHE_01597","PNLCLONJ_02489","OKEMFKGG_01516","KGACCLID_02696","FCBEKDAD_04548","NBOJOKHD_02701","JAJDIPKB_01593","FENEHPHI_02552","DECCOBHM_00978","COOHCIDP_00177","HBFNLEKM_02681","IOEMIFOP_00978","OKDIKGGJ_00979","HFBCCMPJ_04060"
"artM_2","","Arginine transport ATP-binding protein ArtM",581,581,1,1,4645,NA,NA,"",503,752,751,"CACDDPPO_03735","KIHOKJHE_03517","PNLCLONJ_03351","OKEMFKGG_01616","KGACCLID_03371","FCBEKDAD_01588","NBOJOKHD_02801","JAJDIPKB_03315","FENEHPHI_03987","DECCOBHM_01078","COOHCIDP_00076","HBFNLEKM_02226","IOEMIFOP_01078","OKDIKGGJ_01079","HFBCCMPJ_01758"
"papC_3","","Outer membrane usher protein PapC",581,581,1,1,2395,NA,NA,"",590,2657,2653,"CACDDPPO_01657","KIHOKJHE_02533","PNLCLONJ_03818","OKEMFKGG_03463","KGACCLID_02753","FCBEKDAD_02346","NBOJOKHD_02931","JAJDIPKB_02336","FENEHPHI_03218","DECCOBHM_03888","COOHCIDP_03381","HBFNLEKM_02876","IOEMIFOP_04007","OKDIKGGJ_03841","HFBCCMPJ_03420"
"group_1039","","hypothetical protein",581,581,1,1,2178,NA,NA,"",263,998,995,"CACDDPPO_03314","KIHOKJHE_03298","PNLCLONJ_01805","OKEMFKGG_03923","KGACCLID_03733","FCBEKDAD_03188","NBOJOKHD_03362","JAJDIPKB_03166","FENEHPHI_03783","DECCOBHM_04170","COOHCIDP_03956","HBFNLEKM_01774","IOEMIFOP_03752","OKDIKGGJ_04123","HFBCCMPJ_01492"
"assT_4","","Arylsulfate sulfotransferase AssT",581,581,1,1,2183,NA,NA,"",893,1790,1783,"CACDDPPO_03319","KIHOKJHE_03293","PNLCLONJ_01800","OKEMFKGG_03918","KGACCLID_03728","FCBEKDAD_03183","NBOJOKHD_03357","JAJDIPKB_00955","FENEHPHI_03778","DECCOBHM_04175","COOHCIDP_03961","HBFNLEKM_01769","IOEMIFOP_03757","OKDIKGGJ_04128","HFBCCMPJ_01497"
"group_1043","","hypothetical protein",581,581,1,1,2258,NA,NA,"",824,1100,1098,"CACDDPPO_03377","KIHOKJHE_03235","PNLCLONJ_01742","OKEMFKGG_03860","KGACCLID_03670","FCBEKDAD_04485","NBOJOKHD_03299","JAJDIPKB_00897","FENEHPHI_03720","DECCOBHM_04233","COOHCIDP_04019","HBFNLEKM_01711","IOEMIFOP_04057","OKDIKGGJ_04186","HFBCCMPJ_01555"
"glnG","","DNA-binding transcriptional regulator NtrC",581,581,1,1,2219,NA,NA,"",434,1409,1407,"CACDDPPO_03413","KIHOKJHE_03199","PNLCLONJ_01706","OKEMFKGG_03824","KGACCLID_03634","FCBEKDAD_02953","NBOJOKHD_03263","JAJDIPKB_00861","FENEHPHI_03684","DECCOBHM_04269","COOHCIDP_04055","HBFNLEKM_03246","IOEMIFOP_04021","OKDIKGGJ_04222","HFBCCMPJ_04335"
"hsrA","","putative transport protein HsrA",581,581,1,1,1363,NA,NA,"",872,1427,1426,"CACDDPPO_03870","KIHOKJHE_04039","PNLCLONJ_03553","OKEMFKGG_04189","KGACCLID_04235","FCBEKDAD_04264","NBOJOKHD_03963","JAJDIPKB_01650","FENEHPHI_04151","DECCOBHM_04433","COOHCIDP_04287","HBFNLEKM_02502","IOEMIFOP_03868","OKDIKGGJ_04386","HFBCCMPJ_02972"
"dgoD_2","","D-galactonate dehydratase",581,581,1,1,1420,NA,NA,"",692,1148,1146,"CACDDPPO_03926","KIHOKJHE_03983","PNLCLONJ_03497","OKEMFKGG_04245","KGACCLID_04179","FCBEKDAD_02548","NBOJOKHD_04019","JAJDIPKB_01706","FENEHPHI_04207","DECCOBHM_04377","COOHCIDP_04343","HBFNLEKM_02558","IOEMIFOP_03812","OKDIKGGJ_04330","HFBCCMPJ_02916"
"araA","","L-arabinose isomerase",581,581,1,1,2499,NA,NA,"",1259,1502,1501,"CACDDPPO_01556","KIHOKJHE_02433","PNLCLONJ_03775","OKEMFKGG_03563","KGACCLID_02852","FCBEKDAD_02247","NBOJOKHD_03031","JAJDIPKB_04165","FENEHPHI_03118","DECCOBHM_03788","COOHCIDP_03480","HBFNLEKM_02930","IOEMIFOP_04190","OKDIKGGJ_03741","HFBCCMPJ_00930"
