"Gene","Non.unique.Gene.name","Annotation","No..isolates","No..sequences","Avg.sequences.per.isolate","Genome.Fragment","Order.within.Fragment","Accessory.Fragment","Accessory.Order.with.Fragment","QC","Min.group.size.nuc","Max.group.size.nuc","Avg.group.size.nuc","SRR16297816","SRR7010475","SRR12075372","SRR5905519","SRR28412124","SRR14766397","SRR27714943","SRR8728075","SRR14766394","SRR5883582","NDSU24","SRR14766350","NDSU10","SRR18233386","SRR27708439"
"dsbD_1","","Thiol:disulfide interchange protein DsbD",581,581,1,1,4535,NA,NA,"",440,1886,1882,"IIHPGJAB_01588","IMMEOONP_00844","OHGDDBEJ_01948","OAAFEBHG_03329","NGHPPALG_01588","CDEANNNL_01095","APJAPAOH_01724","EDHNKBAJ_01442","AHAJJFKC_03376","HGPPELBO_03462","DFEIMHLH_03661","KNJLKBEO_01005","PGKCJFEA_01752","OKDIKGGJ_00979","JJJDFGFB_01587"
"artM_2","","Arginine transport ATP-binding protein ArtM",581,581,1,1,4645,NA,NA,"",503,752,751,"IIHPGJAB_01487","IMMEOONP_00744","OHGDDBEJ_03866","OAAFEBHG_03229","NGHPPALG_01488","CDEANNNL_01196","APJAPAOH_01824","EDHNKBAJ_00455","AHAJJFKC_02741","HGPPELBO_03362","DFEIMHLH_03761","KNJLKBEO_03393","PGKCJFEA_01630","OKDIKGGJ_01079","JJJDFGFB_01487"
"papC_3","","Outer membrane usher protein PapC",581,581,1,1,2395,NA,NA,"",590,2657,2653,"IIHPGJAB_03725","IMMEOONP_04335","OHGDDBEJ_03146","OAAFEBHG_03099","NGHPPALG_03752","CDEANNNL_04454","APJAPAOH_03804","EDHNKBAJ_04188","AHAJJFKC_02117","HGPPELBO_04494","DFEIMHLH_03504","KNJLKBEO_02180","PGKCJFEA_02611","OKDIKGGJ_03841","JJJDFGFB_03765"
"group_1039","","hypothetical protein",581,581,1,1,2178,NA,NA,"",263,998,995,"IIHPGJAB_04093","IMMEOONP_04149","OHGDDBEJ_03467","OAAFEBHG_03712","NGHPPALG_04201","CDEANNNL_04042","APJAPAOH_04086","EDHNKBAJ_03095","AHAJJFKC_00977","HGPPELBO_04218","DFEIMHLH_04032","KNJLKBEO_02377","PGKCJFEA_01955","OKDIKGGJ_04123","JJJDFGFB_04017"
"assT_4","","Arylsulfate sulfotransferase AssT",581,581,1,1,2183,NA,NA,"",893,1790,1783,"IIHPGJAB_04098","IMMEOONP_04144","OHGDDBEJ_03462","OAAFEBHG_03717","NGHPPALG_04196","CDEANNNL_04037","APJAPAOH_04091","EDHNKBAJ_03100","AHAJJFKC_00972","HGPPELBO_04213","DFEIMHLH_04037","KNJLKBEO_02372","PGKCJFEA_01960","OKDIKGGJ_04128","JJJDFGFB_04012"
"group_1043","","hypothetical protein",581,581,1,1,2258,NA,NA,"",824,1100,1098,"IIHPGJAB_04156","IMMEOONP_04086","OHGDDBEJ_03404","OAAFEBHG_03775","NGHPPALG_04138","CDEANNNL_03979","APJAPAOH_04149","EDHNKBAJ_03158","AHAJJFKC_04385","HGPPELBO_04155","DFEIMHLH_04095","KNJLKBEO_02314","PGKCJFEA_02018","OKDIKGGJ_04186","JJJDFGFB_03954"
"glnG","","DNA-binding transcriptional regulator NtrC",581,581,1,1,2219,NA,NA,"",434,1409,1407,"IIHPGJAB_04192","IMMEOONP_04050","OHGDDBEJ_03368","OAAFEBHG_03811","NGHPPALG_04102","CDEANNNL_03943","APJAPAOH_04185","EDHNKBAJ_03194","AHAJJFKC_02771","HGPPELBO_04119","DFEIMHLH_04131","KNJLKBEO_02278","PGKCJFEA_03828","OKDIKGGJ_04222","JJJDFGFB_03918"
"hsrA","","putative transport protein HsrA",581,581,1,1,1363,NA,NA,"",872,1427,1426,"IIHPGJAB_04356","IMMEOONP_04269","OHGDDBEJ_04086","OAAFEBHG_04239","NGHPPALG_04321","CDEANNNL_04225","APJAPAOH_04285","EDHNKBAJ_03907","AHAJJFKC_01658","HGPPELBO_04338","DFEIMHLH_04386","KNJLKBEO_03663","PGKCJFEA_02695","OKDIKGGJ_04386","JJJDFGFB_04261"
"dgoD_2","","D-galactonate dehydratase",581,581,1,1,1420,NA,NA,"",692,1148,1146,"IIHPGJAB_04300","IMMEOONP_04325","OHGDDBEJ_04142","OAAFEBHG_04183","NGHPPALG_04377","CDEANNNL_04169","APJAPAOH_04341","EDHNKBAJ_03963","AHAJJFKC_01602","HGPPELBO_04394","DFEIMHLH_04330","KNJLKBEO_03607","PGKCJFEA_02639","OKDIKGGJ_04330","JJJDFGFB_04317"
"araA","","L-arabinose isomerase",581,581,1,1,2499,NA,NA,"",1259,1502,1501,"IIHPGJAB_03825","IMMEOONP_03996","OHGDDBEJ_03046","OAAFEBHG_02999","NGHPPALG_03852","CDEANNNL_03889","APJAPAOH_03704","EDHNKBAJ_03023","AHAJJFKC_02414","HGPPELBO_04008","DFEIMHLH_03604","KNJLKBEO_03893","PGKCJFEA_04020","OKDIKGGJ_03741","JJJDFGFB_03865"
