"Gene","Non.unique.Gene.name","Annotation","No..isolates","No..sequences","Avg.sequences.per.isolate","Genome.Fragment","Order.within.Fragment","Accessory.Fragment","Accessory.Order.with.Fragment","QC","Min.group.size.nuc","Max.group.size.nuc","Avg.group.size.nuc","SRR14766369","SRR25097973","SRR27714941","SRR14766372","SRR14766387","SRR15146546","SRR14766349","SRR8297625","SRR14095467","SRR14766450","SRR23043674","SRR1515953","SRR9016861","SRR5905515","NDSU26"
"dsbD_1","","Thiol:disulfide interchange protein DsbD",581,581,1,1,4535,NA,NA,"",440,1886,1882,"MDPCJDML_00846","NGHFEAKD_02790","JBHNMEAO_02424","OFPOAPDN_01591","AFLICIDC_00834","NAPOKNNJ_01523","FMNDBGIB_00596","MJBBHCGK_00177","EIKGHHBD_02893","MKNLEGFG_02224","HLOGJBDP_01729","JICBPFCI_03296","DPFOFGOO_02150","AAOLMGCP_01701","CLIIGENJ_03661"
"artM_2","","Arginine transport ATP-binding protein ArtM",581,581,1,1,4645,NA,NA,"",503,752,751,"MDPCJDML_00946","NGHFEAKD_02890","JBHNMEAO_02524","OFPOAPDN_01491","AFLICIDC_03169","NAPOKNNJ_01423","FMNDBGIB_02204","MJBBHCGK_00076","EIKGHHBD_04161","MKNLEGFG_03520","HLOGJBDP_01829","JICBPFCI_04043","DPFOFGOO_02050","AAOLMGCP_01601","CLIIGENJ_03761"
"papC_3","","Outer membrane usher protein PapC",581,581,1,1,2395,NA,NA,"",590,2657,2653,"MDPCJDML_03148","NGHFEAKD_03020","JBHNMEAO_03433","OFPOAPDN_03888","AFLICIDC_03920","NAPOKNNJ_03226","FMNDBGIB_03098","MJBBHCGK_03744","EIKGHHBD_03692","MKNLEGFG_03889","HLOGJBDP_03890","JICBPFCI_03912","DPFOFGOO_04174","AAOLMGCP_03593","CLIIGENJ_03891"
"group_1039","","hypothetical protein",581,581,1,1,2178,NA,NA,"",263,998,995,"MDPCJDML_03830","NGHFEAKD_03947","JBHNMEAO_03705","OFPOAPDN_04054","AFLICIDC_02590","NAPOKNNJ_03946","FMNDBGIB_03210","MJBBHCGK_03910","EIKGHHBD_03974","MKNLEGFG_03627","HLOGJBDP_04166","JICBPFCI_02341","DPFOFGOO_03010","AAOLMGCP_03875","CLIIGENJ_04144"
"assT_4","","Arylsulfate sulfotransferase AssT",581,581,1,1,2183,NA,NA,"",893,1790,1783,"MDPCJDML_03825","NGHFEAKD_03942","JBHNMEAO_03700","OFPOAPDN_04049","AFLICIDC_02595","NAPOKNNJ_03941","FMNDBGIB_03215","MJBBHCGK_03905","EIKGHHBD_03979","MKNLEGFG_03632","HLOGJBDP_04171","JICBPFCI_02346","DPFOFGOO_03015","AAOLMGCP_03880","CLIIGENJ_04139"
"group_1043","","hypothetical protein",581,581,1,1,2258,NA,NA,"",824,1100,1098,"MDPCJDML_03767","NGHFEAKD_03884","JBHNMEAO_03642","OFPOAPDN_03991","AFLICIDC_02653","NAPOKNNJ_03883","FMNDBGIB_04552","MJBBHCGK_03847","EIKGHHBD_04037","MKNLEGFG_04608","HLOGJBDP_04229","JICBPFCI_02404","DPFOFGOO_03073","AAOLMGCP_03938","CLIIGENJ_04081"
"glnG","","DNA-binding transcriptional regulator NtrC",581,581,1,1,2219,NA,NA,"",434,1409,1407,"MDPCJDML_03731","NGHFEAKD_03848","JBHNMEAO_04539","OFPOAPDN_03955","AFLICIDC_02689","NAPOKNNJ_03847","FMNDBGIB_03369","MJBBHCGK_03811","EIKGHHBD_04073","MKNLEGFG_04124","HLOGJBDP_04265","JICBPFCI_02440","DPFOFGOO_03109","AAOLMGCP_03974","CLIIGENJ_04045"
"hsrA","","putative transport protein HsrA",581,581,1,1,1363,NA,NA,"",872,1427,1426,"MDPCJDML_04198","NGHFEAKD_04264","JBHNMEAO_04017","OFPOAPDN_04383","AFLICIDC_03637","NAPOKNNJ_04225","FMNDBGIB_02789","MJBBHCGK_04216","EIKGHHBD_04291","MKNLEGFG_03680","HLOGJBDP_04429","JICBPFCI_03617","DPFOFGOO_03984","AAOLMGCP_04390","CLIIGENJ_04363"
"dgoD_2","","D-galactonate dehydratase",581,581,1,1,1420,NA,NA,"",692,1148,1146,"MDPCJDML_04254","NGHFEAKD_04208","JBHNMEAO_03961","OFPOAPDN_04327","AFLICIDC_03693","NAPOKNNJ_04169","FMNDBGIB_02845","MJBBHCGK_04272","EIKGHHBD_04347","MKNLEGFG_03736","HLOGJBDP_04373","JICBPFCI_03673","DPFOFGOO_04040","AAOLMGCP_04334","CLIIGENJ_04419"
"araA","","L-arabinose isomerase",581,581,1,1,2499,NA,NA,"",1259,1502,1501,"MDPCJDML_03251","NGHFEAKD_03120","JBHNMEAO_04219","OFPOAPDN_03788","AFLICIDC_03297","NAPOKNNJ_03126","FMNDBGIB_02644","MJBBHCGK_04378","EIKGHHBD_03590","MKNLEGFG_03061","HLOGJBDP_03791","JICBPFCI_02211","DPFOFGOO_03584","AAOLMGCP_03493","CLIIGENJ_03991"
"acrF","","Multidrug export protein AcrF",581,581,1,1,1981,NA,NA,"",1700,3113,3110,"MDPCJDML_04434","NGHFEAKD_04488","JBHNMEAO_04360","OFPOAPDN_04474","AFLICIDC_04280","NAPOKNNJ_04413","FMNDBGIB_03635","MJBBHCGK_04514","EIKGHHBD_04454","MKNLEGFG_04242","HLOGJBDP_04582","JICBPFCI_04602","DPFOFGOO_04409","AAOLMGCP_04613","CLIIGENJ_04520"
"acrR_2","","HTH-type transcriptional regulator AcrR",581,581,1,1,1978,NA,NA,"",335,662,661,"MDPCJDML_04431","NGHFEAKD_04485","JBHNMEAO_04363","OFPOAPDN_04471","AFLICIDC_04283","NAPOKNNJ_04416","FMNDBGIB_03638","MJBBHCGK_04511","EIKGHHBD_04451","MKNLEGFG_04245","HLOGJBDP_04579","JICBPFCI_04250","DPFOFGOO_04406","AAOLMGCP_04616","CLIIGENJ_04523"
"group_1083","","hypothetical protein",581,581,1,1,1957,NA,NA,"",3284,3800,3799,"MDPCJDML_04410","NGHFEAKD_04464","JBHNMEAO_04385","OFPOAPDN_04450","AFLICIDC_04304","NAPOKNNJ_04437","FMNDBGIB_03659","MJBBHCGK_04490","EIKGHHBD_04430","MKNLEGFG_04266","HLOGJBDP_04558","JICBPFCI_04229","DPFOFGOO_04385","AAOLMGCP_04637","CLIIGENJ_04544"
"group_1085","","hypothetical protein",581,581,1,1,3656,NA,NA,"",425,2135,2129,"MDPCJDML_04463","NGHFEAKD_04423","JBHNMEAO_04427","OFPOAPDN_04503","AFLICIDC_04249","NAPOKNNJ_04384","FMNDBGIB_03525","MJBBHCGK_04445","EIKGHHBD_04484","MKNLEGFG_04213","HLOGJBDP_04513","JICBPFCI_04111","DPFOFGOO_04439","AAOLMGCP_04584","CLIIGENJ_04584"
"zraS","","Sensor protein ZraS",581,581,1,1,1524,NA,NA,"",779,1463,1460,"MDPCJDML_04562","NGHFEAKD_04561","JBHNMEAO_04477","OFPOAPDN_04555","AFLICIDC_04558","NAPOKNNJ_04456","FMNDBGIB_03987","MJBBHCGK_04521","EIKGHHBD_04535","MKNLEGFG_04565","HLOGJBDP_04589","JICBPFCI_04377","DPFOFGOO_04591","AAOLMGCP_04718","CLIIGENJ_04670"
"deaD","","ATP-dependent RNA helicase DeaD",581,581,1,1,2619,NA,NA,"",1745,1913,1888,"MDPCJDML_03365","NGHFEAKD_03429","JBHNMEAO_00074","OFPOAPDN_01343","AFLICIDC_03062","NAPOKNNJ_01274","FMNDBGIB_02440","MJBBHCGK_01593","EIKGHHBD_00819","MKNLEGFG_00852","HLOGJBDP_01346","JICBPFCI_00332","DPFOFGOO_01751","AAOLMGCP_00074","CLIIGENJ_00073"
"metH","","Methionine synthase",581,581,1,1,2012,NA,NA,"",3206,3689,3682,"MDPCJDML_04014","NGHFEAKD_02190","JBHNMEAO_01589","OFPOAPDN_01908","AFLICIDC_03911","NAPOKNNJ_02807","FMNDBGIB_04312","MJBBHCGK_02103","EIKGHHBD_01851","MKNLEGFG_03880","HLOGJBDP_01912","JICBPFCI_02746","DPFOFGOO_03227","AAOLMGCP_01105","CLIIGENJ_01233"
"ftsP","","Cell division protein FtsP",581,581,1,1,2726,NA,NA,"",563,1418,1410,"MDPCJDML_03468","NGHFEAKD_03532","JBHNMEAO_00177","OFPOAPDN_01240","AFLICIDC_02203","NAPOKNNJ_01171","FMNDBGIB_02543","MJBBHCGK_01696","EIKGHHBD_00922","MKNLEGFG_00955","HLOGJBDP_01243","JICBPFCI_00228","DPFOFGOO_01854","AAOLMGCP_00178","CLIIGENJ_00176"
"nudL","","putative Nudix hydrolase NudL",581,581,1,1,4771,NA,NA,"",203,578,577,"MDPCJDML_00491","NGHFEAKD_00519","JBHNMEAO_00964","OFPOAPDN_00047","AFLICIDC_04212","NAPOKNNJ_00697","FMNDBGIB_03412","MJBBHCGK_03021","EIKGHHBD_00700","MKNLEGFG_00048","HLOGJBDP_00048","JICBPFCI_03451","DPFOFGOO_03937","AAOLMGCP_04034","CLIIGENJ_01716"
"yoaA","","putative ATP-dependent DNA helicase YoaA",581,581,1,1,4775,NA,NA,"",1604,1910,1909,"MDPCJDML_00487","NGHFEAKD_00523","JBHNMEAO_00960","OFPOAPDN_00051","AFLICIDC_04208","NAPOKNNJ_00693","FMNDBGIB_03416","MJBBHCGK_03017","EIKGHHBD_00696","MKNLEGFG_00052","HLOGJBDP_00052","JICBPFCI_03455","DPFOFGOO_03933","AAOLMGCP_04038","CLIIGENJ_01720"
"fadD","","Long-chain-fatty-acid--CoA ligase",581,581,1,1,4778,NA,NA,"",1457,1751,1750,"MDPCJDML_00484","NGHFEAKD_00526","JBHNMEAO_00957","OFPOAPDN_00054","AFLICIDC_04205","NAPOKNNJ_00690","FMNDBGIB_03419","MJBBHCGK_03014","EIKGHHBD_00693","MKNLEGFG_00055","HLOGJBDP_00055","JICBPFCI_03458","DPFOFGOO_03930","AAOLMGCP_04041","CLIIGENJ_01723"
"rnd","","Ribonuclease D",581,581,1,1,4779,NA,NA,"",746,1115,1114,"MDPCJDML_00483","NGHFEAKD_00527","JBHNMEAO_00956","OFPOAPDN_00055","AFLICIDC_04204","NAPOKNNJ_00689","FMNDBGIB_03420","MJBBHCGK_03013","EIKGHHBD_00692","MKNLEGFG_00056","HLOGJBDP_00056","JICBPFCI_03459","DPFOFGOO_03929","AAOLMGCP_04042","CLIIGENJ_01724"
"appC","","Cytochrome bd-II ubiquinol oxidase subunit 1",581,581,1,1,4804,NA,NA,"",896,1544,1542,"MDPCJDML_00458","NGHFEAKD_00552","JBHNMEAO_00931","OFPOAPDN_00080","AFLICIDC_04179","NAPOKNNJ_00664","FMNDBGIB_03445","MJBBHCGK_02988","EIKGHHBD_00667","MKNLEGFG_00081","HLOGJBDP_00081","JICBPFCI_03484","DPFOFGOO_03904","AAOLMGCP_04068","CLIIGENJ_01749"
"group_1158","","hypothetical protein",581,581,1,1,4805,NA,NA,"",356,848,846,"MDPCJDML_00457","NGHFEAKD_00553","JBHNMEAO_00930","OFPOAPDN_00081","AFLICIDC_04178","NAPOKNNJ_00663","FMNDBGIB_03446","MJBBHCGK_02987","EIKGHHBD_00666","MKNLEGFG_00082","HLOGJBDP_00082","JICBPFCI_03485","DPFOFGOO_03903","AAOLMGCP_04069","CLIIGENJ_01750"
"hyaE","","Hydrogenase-1 operon protein HyaE",581,581,1,1,4806,NA,NA,"",404,455,404,"MDPCJDML_00456","NGHFEAKD_00554","JBHNMEAO_00929","OFPOAPDN_00082","AFLICIDC_04177","NAPOKNNJ_00662","FMNDBGIB_03447","MJBBHCGK_02986","EIKGHHBD_00665","MKNLEGFG_00083","HLOGJBDP_00083","JICBPFCI_03486","DPFOFGOO_03902","AAOLMGCP_04070","CLIIGENJ_01751"
"prfA","","Peptide chain release factor RF1",581,581,1,1,4823,NA,NA,"",632,1082,1081,"MDPCJDML_00441","NGHFEAKD_00569","JBHNMEAO_00914","OFPOAPDN_00097","AFLICIDC_00310","NAPOKNNJ_00647","FMNDBGIB_01531","MJBBHCGK_02971","EIKGHHBD_00649","MKNLEGFG_00098","HLOGJBDP_00098","JICBPFCI_03501","DPFOFGOO_00702","AAOLMGCP_04086","CLIIGENJ_01766"
"narX","","Nitrate/nitrite sensor protein NarX",581,581,1,1,4833,NA,NA,"",1739,1796,1795,"MDPCJDML_00431","NGHFEAKD_00579","JBHNMEAO_00904","OFPOAPDN_00107","AFLICIDC_00300","NAPOKNNJ_00637","FMNDBGIB_01521","MJBBHCGK_02961","EIKGHHBD_00639","MKNLEGFG_00108","HLOGJBDP_00108","JICBPFCI_03511","DPFOFGOO_00712","AAOLMGCP_04096","CLIIGENJ_01776"
"narG","","Respiratory nitrate reductase 1 alpha chain",581,581,1,1,4835,NA,NA,"",1712,3743,3739,"MDPCJDML_00429","NGHFEAKD_00581","JBHNMEAO_00902","OFPOAPDN_00109","AFLICIDC_00298","NAPOKNNJ_00635","FMNDBGIB_01519","MJBBHCGK_02959","EIKGHHBD_00637","MKNLEGFG_00110","HLOGJBDP_00110","JICBPFCI_03513","DPFOFGOO_00714","AAOLMGCP_04098","CLIIGENJ_01778"
"yciI","","Protein YciI",581,581,1,1,4860,NA,NA,"",221,296,295,"MDPCJDML_00404","NGHFEAKD_00606","JBHNMEAO_00877","OFPOAPDN_00134","AFLICIDC_00273","NAPOKNNJ_00610","FMNDBGIB_01494","MJBBHCGK_02934","EIKGHHBD_00612","MKNLEGFG_00135","HLOGJBDP_00135","JICBPFCI_03749","DPFOFGOO_00739","AAOLMGCP_04123","CLIIGENJ_01803"
"group_1165","","hypothetical protein",581,581,1,1,4864,NA,NA,"",641,743,742,"MDPCJDML_00400","NGHFEAKD_00610","JBHNMEAO_00873","OFPOAPDN_00138","AFLICIDC_00269","NAPOKNNJ_00606","FMNDBGIB_01490","MJBBHCGK_02930","EIKGHHBD_00608","MKNLEGFG_00139","HLOGJBDP_00139","JICBPFCI_03745","DPFOFGOO_00743","AAOLMGCP_04127","CLIIGENJ_01807"
"trpGD","","Bifunctional protein TrpGD",581,581,1,1,4874,NA,NA,"",431,1595,1590,"MDPCJDML_00390","NGHFEAKD_00620","JBHNMEAO_00863","OFPOAPDN_00148","AFLICIDC_00259","NAPOKNNJ_00596","FMNDBGIB_01480","MJBBHCGK_02920","EIKGHHBD_00598","MKNLEGFG_00149","HLOGJBDP_00149","JICBPFCI_03735","DPFOFGOO_00753","AAOLMGCP_04137","CLIIGENJ_01817"
"trpE","","Anthranilate synthase component 1",581,581,1,1,4875,NA,NA,"",374,1562,1559,"MDPCJDML_00389","NGHFEAKD_00621","JBHNMEAO_00862","OFPOAPDN_00149","AFLICIDC_00258","NAPOKNNJ_00595","FMNDBGIB_01479","MJBBHCGK_02919","EIKGHHBD_00597","MKNLEGFG_00150","HLOGJBDP_00150","JICBPFCI_03734","DPFOFGOO_00754","AAOLMGCP_03213","CLIIGENJ_01818"
"osmB","","Osmotically-inducible lipoprotein B",581,581,1,1,4895,NA,NA,"",197,218,217,"MDPCJDML_00370","NGHFEAKD_00640","JBHNMEAO_00843","OFPOAPDN_00168","AFLICIDC_00239","NAPOKNNJ_00576","FMNDBGIB_01460","MJBBHCGK_02900","EIKGHHBD_00578","MKNLEGFG_00169","HLOGJBDP_00169","JICBPFCI_03715","DPFOFGOO_00773","AAOLMGCP_03194","CLIIGENJ_01837"
"pspA","","Phage shock protein A",581,581,1,1,4913,NA,NA,"",398,668,667,"MDPCJDML_00355","NGHFEAKD_00655","JBHNMEAO_00828","OFPOAPDN_00183","AFLICIDC_00224","NAPOKNNJ_00561","FMNDBGIB_01445","MJBBHCGK_02885","EIKGHHBD_00563","MKNLEGFG_00184","HLOGJBDP_00184","JICBPFCI_03700","DPFOFGOO_00788","AAOLMGCP_03179","CLIIGENJ_01852"
"ytbE","","putative oxidoreductase YtbE",581,581,1,1,4927,NA,NA,"",830,869,839,"MDPCJDML_00341","NGHFEAKD_00669","JBHNMEAO_00814","OFPOAPDN_00197","AFLICIDC_00210","NAPOKNNJ_00547","FMNDBGIB_01431","MJBBHCGK_02871","EIKGHHBD_00549","MKNLEGFG_00198","HLOGJBDP_00198","JICBPFCI_03686","DPFOFGOO_00802","AAOLMGCP_03165","CLIIGENJ_01866"
"puuR","","HTH-type transcriptional regulator PuuR",581,581,1,1,4940,NA,NA,"",341,602,601,"MDPCJDML_00329","NGHFEAKD_00681","JBHNMEAO_00802","OFPOAPDN_00209","AFLICIDC_00198","NAPOKNNJ_00535","FMNDBGIB_01419","MJBBHCGK_02859","EIKGHHBD_00537","MKNLEGFG_00210","HLOGJBDP_00210","JICBPFCI_01015","DPFOFGOO_00814","AAOLMGCP_03153","CLIIGENJ_01878"
"smrA","","putative DNA endonuclease SmrA",581,581,1,1,4948,NA,NA,"",326,563,562,"MDPCJDML_00323","NGHFEAKD_00687","JBHNMEAO_00796","OFPOAPDN_00215","AFLICIDC_00192","NAPOKNNJ_00529","FMNDBGIB_01413","MJBBHCGK_02853","EIKGHHBD_00531","MKNLEGFG_00216","HLOGJBDP_00216","JICBPFCI_01021","DPFOFGOO_00820","AAOLMGCP_03147","CLIIGENJ_01884"
"tap","","Methyl-accepting chemotaxis protein IV",581,581,1,1,4950,NA,NA,"",1091,1154,1153,"MDPCJDML_00322","NGHFEAKD_00688","JBHNMEAO_00795","OFPOAPDN_00216","AFLICIDC_00191","NAPOKNNJ_00528","FMNDBGIB_01412","MJBBHCGK_02852","EIKGHHBD_00530","MKNLEGFG_00217","HLOGJBDP_00217","JICBPFCI_01022","DPFOFGOO_00821","AAOLMGCP_03146","CLIIGENJ_01885"
"ttcA","","tRNA-cytidine(32) 2-sulfurtransferase",581,581,1,1,4954,NA,NA,"",257,935,933,"MDPCJDML_00319","NGHFEAKD_00691","JBHNMEAO_00792","OFPOAPDN_00219","AFLICIDC_00188","NAPOKNNJ_00525","FMNDBGIB_01409","MJBBHCGK_02849","EIKGHHBD_00527","MKNLEGFG_00220","HLOGJBDP_00220","JICBPFCI_01025","DPFOFGOO_00824","AAOLMGCP_03143","CLIIGENJ_01888"
"ldhA","","D-lactate dehydrogenase",581,581,1,1,4960,NA,NA,"",935,989,988,"MDPCJDML_00313","NGHFEAKD_00697","JBHNMEAO_00786","OFPOAPDN_00225","AFLICIDC_00182","NAPOKNNJ_00519","FMNDBGIB_01403","MJBBHCGK_03275","EIKGHHBD_00521","MKNLEGFG_00226","HLOGJBDP_00226","JICBPFCI_01031","DPFOFGOO_00830","AAOLMGCP_03137","CLIIGENJ_01894"
