"Gene","Non.unique.Gene.name","Annotation","No..isolates","No..sequences","Avg.sequences.per.isolate","Genome.Fragment","Order.within.Fragment","Accessory.Fragment","Accessory.Order.with.Fragment","QC","Min.group.size.nuc","Max.group.size.nuc","Avg.group.size.nuc","SRR28262169","SRR14766389","SRR10257879","SRR1299304","NDSU1","SRR28323368","SRR3000888","SRR9016907","SRR14766457","SRR14766402","SRR14766350","SRR19512134","NDSU22","SRR3037436","SRR27779118"
"dsbD_1","","Thiol:disulfide interchange protein DsbD",581,581,1,1,4535,NA,NA,"",440,1886,1882,"ANCOLAMI_01586","JNEDFIJH_02037","OBCHFKCE_01699","NEANDPFB_00956","GEPIEMCB_03675","FCMCIBEK_01547","HAJGLMEJ_01536","BONMBINM_03517","GIBMOCCN_00115","IEMKGCAE_03541","KNJLKBEO_01005","NHCEEELK_00978","DLEGJOHP_03860","PEJBPJLM_00846","KJDDDPDM_03298"
"artM_2","","Arginine transport ATP-binding protein ArtM",581,581,1,1,4645,NA,NA,"",503,752,751,"ANCOLAMI_01486","JNEDFIJH_02490","OBCHFKCE_01599","NEANDPFB_00856","GEPIEMCB_03775","FCMCIBEK_01447","HAJGLMEJ_02994","BONMBINM_02931","GIBMOCCN_00015","IEMKGCAE_03800","KNJLKBEO_03393","NHCEEELK_01078","DLEGJOHP_03760","PEJBPJLM_00745","KJDDDPDM_03198"
"papC_3","","Outer membrane usher protein PapC",581,581,1,1,2395,NA,NA,"",590,2657,2653,"ANCOLAMI_03838","JNEDFIJH_02709","OBCHFKCE_03733","NEANDPFB_03926","GEPIEMCB_03905","FCMCIBEK_03801","HAJGLMEJ_03378","BONMBINM_04207","GIBMOCCN_01395","IEMKGCAE_04218","KNJLKBEO_02180","NHCEEELK_03800","DLEGJOHP_03257","PEJBPJLM_03673","KJDDDPDM_02872"
"group_1039","","hypothetical protein",581,581,1,1,2178,NA,NA,"",263,998,995,"ANCOLAMI_04120","JNEDFIJH_01621","OBCHFKCE_02779","NEANDPFB_04208","GEPIEMCB_04032","FCMCIBEK_04163","HAJGLMEJ_02263","BONMBINM_04154","GIBMOCCN_04194","IEMKGCAE_03977","KNJLKBEO_02377","NHCEEELK_04242","DLEGJOHP_03988","PEJBPJLM_04042","KJDDDPDM_03654"
"assT_4","","Arylsulfate sulfotransferase AssT",581,581,1,1,2183,NA,NA,"",893,1790,1783,"ANCOLAMI_04125","JNEDFIJH_01616","OBCHFKCE_02784","NEANDPFB_04213","GEPIEMCB_04037","FCMCIBEK_04158","HAJGLMEJ_02258","BONMBINM_04159","GIBMOCCN_04189","IEMKGCAE_03972","KNJLKBEO_02372","NHCEEELK_04237","DLEGJOHP_03983","PEJBPJLM_04047","KJDDDPDM_03659"
"group_1043","","hypothetical protein",581,581,1,1,2258,NA,NA,"",824,1100,1098,"ANCOLAMI_04183","JNEDFIJH_04474","OBCHFKCE_02842","NEANDPFB_04271","GEPIEMCB_04095","FCMCIBEK_04100","HAJGLMEJ_02200","BONMBINM_04603","GIBMOCCN_03850","IEMKGCAE_04284","KNJLKBEO_02314","NHCEEELK_04179","DLEGJOHP_03925","PEJBPJLM_04105","KJDDDPDM_03717"
"glnG","","DNA-binding transcriptional regulator NtrC",581,581,1,1,2219,NA,NA,"",434,1409,1407,"ANCOLAMI_04219","JNEDFIJH_03031","OBCHFKCE_03899","NEANDPFB_04310","GEPIEMCB_04131","FCMCIBEK_04064","HAJGLMEJ_02164","BONMBINM_04274","GIBMOCCN_03814","IEMKGCAE_04320","KNJLKBEO_02278","NHCEEELK_04143","DLEGJOHP_03889","PEJBPJLM_04141","KJDDDPDM_03753"
"hsrA","","putative transport protein HsrA",581,581,1,1,1363,NA,NA,"",872,1427,1426,"ANCOLAMI_04320","JNEDFIJH_02118","OBCHFKCE_03379","NEANDPFB_04411","GEPIEMCB_04332","FCMCIBEK_04346","HAJGLMEJ_03518","BONMBINM_04010","GIBMOCCN_03515","IEMKGCAE_04160","KNJLKBEO_03663","NHCEEELK_04362","DLEGJOHP_04108","PEJBPJLM_04305","KJDDDPDM_03988"
"dgoD_2","","D-galactonate dehydratase",581,581,1,1,1420,NA,NA,"",692,1148,1146,"ANCOLAMI_04376","JNEDFIJH_02062","OBCHFKCE_03435","NEANDPFB_04467","GEPIEMCB_04388","FCMCIBEK_04290","HAJGLMEJ_03574","BONMBINM_04066","GIBMOCCN_03459","IEMKGCAE_04104","KNJLKBEO_03607","NHCEEELK_04418","DLEGJOHP_04164","PEJBPJLM_04249","KJDDDPDM_04044"
"araA","","L-arabinose isomerase",581,581,1,1,2499,NA,NA,"",1259,1502,1501,"ANCOLAMI_03735","JNEDFIJH_02585","OBCHFKCE_03053","NEANDPFB_03826","GEPIEMCB_04528","FCMCIBEK_03700","HAJGLMEJ_03231","BONMBINM_02791","GIBMOCCN_01495","IEMKGCAE_04176","KNJLKBEO_03893","NHCEEELK_03900","DLEGJOHP_03157","PEJBPJLM_03773","KJDDDPDM_02772"
