"Gene","Non.unique.Gene.name","Annotation","No..isolates","No..sequences","Avg.sequences.per.isolate","Genome.Fragment","Order.within.Fragment","Accessory.Fragment","Accessory.Order.with.Fragment","QC","Min.group.size.nuc","Max.group.size.nuc","Avg.group.size.nuc","SRR14766399","SRR14766384","SRR5000216","SRR6278424","SRR1300628","SRR28830435","SRR6321910","SRR5928132","SRR28323386","SRR13643325","SRR3097409","SRR4292607","SRR2911779","SRR19512134","SRR22575394"
"dsbD_1","","Thiol:disulfide interchange protein DsbD",581,581,1,1,4535,NA,NA,"",440,1886,1882,"MAMCPOAM_04354","BIMLEMBI_00980","NHLFGIEK_00176","ELDOCFMP_03348","LAMHOKFG_03634","CNGCBFLA_00978","KMHKNAGE_00981","IOBHKAOL_00988","HONCBFPF_01724","JJLFNJEC_00912","LPOHPBDO_03588","MKNEJKNF_02511","OJHJBKHD_03894","NHCEEELK_00978","JMEBLKPE_02279"
"artM_2","","Arginine transport ATP-binding protein ArtM",581,581,1,1,4645,NA,NA,"",503,752,751,"MAMCPOAM_02134","BIMLEMBI_01080","NHLFGIEK_00076","ELDOCFMP_03449","LAMHOKFG_03525","CNGCBFLA_01078","KMHKNAGE_00881","IOBHKAOL_03150","HONCBFPF_01824","JJLFNJEC_01013","LPOHPBDO_02420","MKNEJKNF_01727","OJHJBKHD_03433","NHCEEELK_01078","JMEBLKPE_02848"
"papC_3","","Outer membrane usher protein PapC",581,581,1,1,2395,NA,NA,"",590,2657,2653,"MAMCPOAM_01167","BIMLEMBI_04243","NHLFGIEK_04231","ELDOCFMP_03579","LAMHOKFG_02688","CNGCBFLA_03844","KMHKNAGE_03965","IOBHKAOL_04108","HONCBFPF_03754","JJLFNJEC_03342","LPOHPBDO_03765","MKNEJKNF_03610","OJHJBKHD_04255","NHCEEELK_03800","JMEBLKPE_03755"
"group_1039","","hypothetical protein",581,581,1,1,2178,NA,NA,"",263,998,995,"MAMCPOAM_04405","BIMLEMBI_04004","NHLFGIEK_03498","ELDOCFMP_04222","LAMHOKFG_03272","CNGCBFLA_04200","KMHKNAGE_04327","IOBHKAOL_03428","HONCBFPF_04122","JJLFNJEC_04054","LPOHPBDO_02192","MKNEJKNF_04586","OJHJBKHD_03248","NHCEEELK_04242","JMEBLKPE_03206"
"assT_4","","Arylsulfate sulfotransferase AssT",581,581,1,1,2183,NA,NA,"",893,1790,1783,"MAMCPOAM_02280","BIMLEMBI_03999","NHLFGIEK_03503","ELDOCFMP_04217","LAMHOKFG_03267","CNGCBFLA_04195","KMHKNAGE_04322","IOBHKAOL_03433","HONCBFPF_04127","JJLFNJEC_04049","LPOHPBDO_02187","MKNEJKNF_02677","OJHJBKHD_03253","NHCEEELK_04237","JMEBLKPE_03211"
"group_1043","","hypothetical protein",581,581,1,1,2258,NA,NA,"",824,1100,1098,"MAMCPOAM_04252","BIMLEMBI_03941","NHLFGIEK_03561","ELDOCFMP_04159","LAMHOKFG_03209","CNGCBFLA_04137","KMHKNAGE_04264","IOBHKAOL_04652","HONCBFPF_04185","JJLFNJEC_03991","LPOHPBDO_02129","MKNEJKNF_02735","OJHJBKHD_03311","NHCEEELK_04179","JMEBLKPE_03858"
"glnG","","DNA-binding transcriptional regulator NtrC",581,581,1,1,2219,NA,NA,"",434,1409,1407,"MAMCPOAM_03623","BIMLEMBI_04604","NHLFGIEK_03597","ELDOCFMP_04123","LAMHOKFG_03173","CNGCBFLA_04101","KMHKNAGE_04228","IOBHKAOL_04145","HONCBFPF_04221","JJLFNJEC_03955","LPOHPBDO_02093","MKNEJKNF_02771","OJHJBKHD_03347","NHCEEELK_04143","JMEBLKPE_03822"
"hsrA","","putative transport protein HsrA",581,581,1,1,1363,NA,NA,"",872,1427,1426,"MAMCPOAM_00539","BIMLEMBI_04187","NHLFGIEK_04102","ELDOCFMP_04342","LAMHOKFG_04041","CNGCBFLA_04383","KMHKNAGE_04447","IOBHKAOL_03803","HONCBFPF_04322","JJLFNJEC_04237","LPOHPBDO_03510","MKNEJKNF_03388","OJHJBKHD_04100","NHCEEELK_04362","JMEBLKPE_03469"
"dgoD_2","","D-galactonate dehydratase",581,581,1,1,1420,NA,NA,"",692,1148,1146,"MAMCPOAM_00483","BIMLEMBI_04131","NHLFGIEK_04046","ELDOCFMP_04398","LAMHOKFG_04097","CNGCBFLA_04327","KMHKNAGE_04503","IOBHKAOL_03747","HONCBFPF_04378","JJLFNJEC_04181","LPOHPBDO_03566","MKNEJKNF_03332","OJHJBKHD_04156","NHCEEELK_04418","JMEBLKPE_03413"
"araA","","L-arabinose isomerase",581,581,1,1,2499,NA,NA,"",1259,1502,1501,"MAMCPOAM_01526","BIMLEMBI_03728","NHLFGIEK_03425","ELDOCFMP_03681","LAMHOKFG_02787","CNGCBFLA_03743","KMHKNAGE_03865","IOBHKAOL_02980","HONCBFPF_03854","JJLFNJEC_03242","LPOHPBDO_02758","MKNEJKNF_01555","OJHJBKHD_03696","NHCEEELK_03900","JMEBLKPE_02435"
"acrF","","Multidrug export protein AcrF",581,581,1,1,1981,NA,NA,"",1700,3113,3110,"MAMCPOAM_04408","BIMLEMBI_04393","NHLFGIEK_04400","ELDOCFMP_04499","LAMHOKFG_04309","CNGCBFLA_04481","KMHKNAGE_04643","IOBHKAOL_04252","HONCBFPF_04481","JJLFNJEC_04490","LPOHPBDO_04679","MKNEJKNF_03952","OJHJBKHD_04492","NHCEEELK_04466","JMEBLKPE_03964"
"acrR_2","","HTH-type transcriptional regulator AcrR",581,581,1,1,1978,NA,NA,"",335,662,661,"MAMCPOAM_02485","BIMLEMBI_04390","NHLFGIEK_04397","ELDOCFMP_04502","LAMHOKFG_04306","CNGCBFLA_04478","KMHKNAGE_04640","IOBHKAOL_04249","HONCBFPF_04478","JJLFNJEC_04493","LPOHPBDO_04139","MKNEJKNF_03949","OJHJBKHD_04489","NHCEEELK_04463","JMEBLKPE_03961"
"group_1083","","hypothetical protein",581,581,1,1,1957,NA,NA,"",3284,3800,3799,"MAMCPOAM_02506","BIMLEMBI_04369","NHLFGIEK_04376","ELDOCFMP_04523","LAMHOKFG_04285","CNGCBFLA_04457","KMHKNAGE_04619","IOBHKAOL_04228","HONCBFPF_04457","JJLFNJEC_04514","LPOHPBDO_04160","MKNEJKNF_03928","OJHJBKHD_04468","NHCEEELK_04442","JMEBLKPE_03940"
"group_1085","","hypothetical protein",581,581,1,1,3656,NA,NA,"",425,2135,2129,"MAMCPOAM_03068","BIMLEMBI_04423","NHLFGIEK_04429","ELDOCFMP_04564","LAMHOKFG_04240","CNGCBFLA_04511","KMHKNAGE_00774","IOBHKAOL_04183","HONCBFPF_04416","JJLFNJEC_04461","LPOHPBDO_04067","MKNEJKNF_01621","OJHJBKHD_04385","NHCEEELK_04496","JMEBLKPE_04030"
"zraS","","Sensor protein ZraS",581,581,1,1,1524,NA,NA,"",779,1463,1460,"MAMCPOAM_03852","BIMLEMBI_04512","NHLFGIEK_04459","ELDOCFMP_04594","LAMHOKFG_04440","CNGCBFLA_04562","KMHKNAGE_04680","IOBHKAOL_04537","HONCBFPF_04600","JJLFNJEC_04555","LPOHPBDO_04321","MKNEJKNF_04523","OJHJBKHD_04521","NHCEEELK_04636","JMEBLKPE_04514"
