"Gene","Non.unique.Gene.name","Annotation","No..isolates","No..sequences","Avg.sequences.per.isolate","Genome.Fragment","Order.within.Fragment","Accessory.Fragment","Accessory.Order.with.Fragment","QC","Min.group.size.nuc","Max.group.size.nuc","Avg.group.size.nuc","SRR1461785","SRR3097426","SRR5877170","SRR14766359","SRR8728065","SRR11068404","NDSU1","SRR14766419","SRR12075372","SRR14766452","SRR11101167","SRR1333873","SRR14766421","SRR14766430","SRR12418434"
"dsbD_1","","Thiol:disulfide interchange protein DsbD",581,581,1,1,4535,NA,NA,"",440,1886,1882,"JAFODMFN_00845","PBDKJOHP_00017","GJPDLPPO_03576","PLKMKOCD_02924","OMPAEEHE_00726","NHHFDHOA_01027","GEPIEMCB_03675","JCGPGLCM_00636","OHGDDBEJ_01948","APEDILLO_00952","ELELPFCC_01855","DCMJPIDO_01517","HEDGDFAA_01937","GHDKDIHM_00191","FECNONKH_00240"
"artM_2","","Arginine transport ATP-binding protein ArtM",581,581,1,1,4645,NA,NA,"",503,752,751,"JAFODMFN_00745","PBDKJOHP_00110","GJPDLPPO_03452","PLKMKOCD_00935","OMPAEEHE_00826","NHHFDHOA_00927","GEPIEMCB_03775","JCGPGLCM_00535","OHGDDBEJ_03866","APEDILLO_01052","ELELPFCC_03826","DCMJPIDO_01618","HEDGDFAA_01667","GHDKDIHM_00291","FECNONKH_03085"
"papC_3","","Outer membrane usher protein PapC",581,581,1,1,2395,NA,NA,"",590,2657,2653,"JAFODMFN_04398","PBDKJOHP_01939","GJPDLPPO_04152","PLKMKOCD_02677","OMPAEEHE_04323","NHHFDHOA_04316","GEPIEMCB_03905","JCGPGLCM_03441","OHGDDBEJ_03146","APEDILLO_02434","ELELPFCC_02638","DCMJPIDO_03548","HEDGDFAA_02481","GHDKDIHM_04102","FECNONKH_04020"
"group_1039","","hypothetical protein",581,581,1,1,2178,NA,NA,"",263,998,995,"JAFODMFN_03727","PBDKJOHP_03570","GJPDLPPO_02638","PLKMKOCD_02851","OMPAEEHE_03751","NHHFDHOA_03133","GEPIEMCB_04032","JCGPGLCM_02930","OHGDDBEJ_03467","APEDILLO_03790","ELELPFCC_03406","DCMJPIDO_03842","HEDGDFAA_03181","GHDKDIHM_03441","FECNONKH_02491"
"assT_4","","Arylsulfate sulfotransferase AssT",581,581,1,1,2183,NA,NA,"",893,1790,1783,"JAFODMFN_03722","PBDKJOHP_03565","GJPDLPPO_02643","PLKMKOCD_02846","OMPAEEHE_03746","NHHFDHOA_03138","GEPIEMCB_04037","JCGPGLCM_02925","OHGDDBEJ_03462","APEDILLO_03785","ELELPFCC_03411","DCMJPIDO_03847","HEDGDFAA_03103","GHDKDIHM_03446","FECNONKH_02486"
"group_1043","","hypothetical protein",581,581,1,1,2258,NA,NA,"",824,1100,1098,"JAFODMFN_03663","PBDKJOHP_03507","GJPDLPPO_02701","PLKMKOCD_04417","OMPAEEHE_04373","NHHFDHOA_03196","GEPIEMCB_04095","JCGPGLCM_03544","OHGDDBEJ_03404","APEDILLO_03727","ELELPFCC_03469","DCMJPIDO_03905","HEDGDFAA_04385","GHDKDIHM_03504","FECNONKH_02428"
"glnG","","DNA-binding transcriptional regulator NtrC",581,581,1,1,2219,NA,NA,"",434,1409,1407,"JAFODMFN_03627","PBDKJOHP_03471","GJPDLPPO_02737","PLKMKOCD_03319","OMPAEEHE_04337","NHHFDHOA_03232","GEPIEMCB_04131","JCGPGLCM_03508","OHGDDBEJ_03368","APEDILLO_03691","ELELPFCC_03505","DCMJPIDO_03941","HEDGDFAA_02943","GHDKDIHM_04190","FECNONKH_02392"
"hsrA","","putative transport protein HsrA",581,581,1,1,1363,NA,NA,"",872,1427,1426,"JAFODMFN_04193","PBDKJOHP_01133","GJPDLPPO_03870","PLKMKOCD_04278","OMPAEEHE_04113","NHHFDHOA_04032","GEPIEMCB_04332","JCGPGLCM_03170","OHGDDBEJ_04086","APEDILLO_04133","ELELPFCC_04066","DCMJPIDO_04188","HEDGDFAA_01920","GHDKDIHM_03920","FECNONKH_03707"
"dgoD_2","","D-galactonate dehydratase",581,581,1,1,1420,NA,NA,"",692,1148,1146,"JAFODMFN_04249","PBDKJOHP_01189","GJPDLPPO_03814","PLKMKOCD_02976","OMPAEEHE_04057","NHHFDHOA_03976","GEPIEMCB_04388","JCGPGLCM_03114","OHGDDBEJ_04142","APEDILLO_04189","ELELPFCC_04122","DCMJPIDO_04244","HEDGDFAA_01864","GHDKDIHM_03864","FECNONKH_03651"
"araA","","L-arabinose isomerase",581,581,1,1,2499,NA,NA,"",1259,1502,1501,"JAFODMFN_03574","PBDKJOHP_01839","GJPDLPPO_02566","PLKMKOCD_01605","OMPAEEHE_03346","NHHFDHOA_02904","GEPIEMCB_04528","JCGPGLCM_02253","OHGDDBEJ_03046","APEDILLO_02534","ELELPFCC_02738","DCMJPIDO_03448","HEDGDFAA_02592","GHDKDIHM_02871","FECNONKH_03794"
