vfdb_category	GENE	strain_assoc	protein_fxn	category	subcategory
Aerobactin 	iucD	Escherichia coli CFT073]	(iucD) L-lysine 6-monooxygenase IucD 	Nutritional/Metabolic Factor	Iron Uptake
Aerobactin 	iucC	Escherichia coli CFT073]	(iucC) aerobactin siderophore biosynthesis protein IucC 	Nutritional/Metabolic Factor	Iron Uptake
Aerobactin 	iucB	Escherichia coli CFT073]	(iucB) aerobactin siderophore biosynthesis protein IucB 	Nutritional/Metabolic Factor	Iron Uptake
Aerobactin 	iutA	Escherichia coli CFT073]	(iutA) ferric aerobactin receptor precusor IutA 	Nutritional/Metabolic Factor	Iron Uptake
Aerobactin 	iucA	Escherichia coli CFT073]	(iucA) aerobactin siderophore biosynthesis protein IucD 	Nutritional/Metabolic Factor	Iron Uptake
Agf 	csgE	Salmonella enterica subsp. enterica serovar Typhimurium str. LT2]	(csgE) curli production assembly/transport protein CsgE 	Adherence	Fimbral Adhesion
Agf 	csgG	Salmonella enterica subsp. enterica serovar Typhimurium str. LT2]	(csgG) curli production assembly/transport protein CsgG 	Adherence	Fimbral Adhesion
Agf 	csgA	Salmonella enterica subsp. enterica serovar Typhimurium str. LT2]	(csgA) curlin major subunit CsgA 	Adherence	Fimbral Adhesion
Agf 	csgF	Salmonella enterica subsp. enterica serovar Typhimurium str. LT2]	(csgF) curli production assembly/transport protein CsgF 	Adherence	Fimbral Adhesion
Agf 	csgB	Salmonella enterica subsp. enterica serovar Typhimurium str. LT2]	(csgB) minor curlin subunit precursor curli nucleator protein CsgB 	Adherence	Fimbral Adhesion
Agf 	csgC	Salmonella enterica subsp. enterica serovar Typhimurium str. LT2]	(csgC) curli assembly protein CsgC 	Adherence	Fimbral Adhesion
CdtB 	cdtB	Salmonella enterica subsp. enterica serovar Typhi str. CT18]	(cdtB) cytolethal distending toxin B  	Exotoxin	Intracellularly Active Toxin
curli fibers/thin aggregative fimbriae 	csgD	Salmonella enterica subsp. enterica serovar Typhimurium str. LT2]	(csgD) DNA-binding transcriptional regulator CsgD 	Adherence	Fimbral Adhesion
CytK 	cytK	Bacillus cereus ATCC 10987]	(cytK) cytotoxin K 	Exotoxin	Pore-forming Toxin
Enterobactin 	entA	Escherichia coli CFT073]	(entA) 23-dihydro-23-dihydroxybenzoate dehydrogenase 	Nutritional/Metabolic Factor	Iron Uptake
Enterobactin 	fepG	Escherichia coli CFT073]	(fepG) iron-enterobactin ABC transporter permease 	Nutritional/Metabolic Factor	Iron Uptake
Enterobactin 	entB	Escherichia coli CFT073]	(entB) isochorismatase 	Nutritional/Metabolic Factor	Iron Uptake
