"Gene","Non.unique.Gene.name","Annotation","No..isolates","No..sequences","Avg.sequences.per.isolate","Genome.Fragment","Order.within.Fragment","Accessory.Fragment","Accessory.Order.with.Fragment","QC","Min.group.size.nuc","Max.group.size.nuc","Avg.group.size.nuc","SRR5905069","NDSU1","SRR14766415","SRR14766399","SRR3037435","SRR16506855","SRR16297815","SRR14766441","SRR2911775","SRR5905029","SRR7638087","SRR2994394","SRR14766408","SRR11043408","SRR3037400"
"dsbD_1","","Thiol:disulfide interchange protein DsbD",581,581,1,1,4535,NA,NA,"",440,1886,1882,"CNBCECDA_00590","GEPIEMCB_03675","FGNPIGJI_01498","MAMCPOAM_04354","CKPEMOEN_00646","MMJAGEHG_00978","DCCGOOHM_01471","IOEMIFOP_00978","NCJKFECA_03851","PLHCNFHB_01765","HNLCLDHN_02493","NNGIMOCL_01797","IEICFKFC_00980","OBBHNEFO_01398","JILAKEMF_00978"
"artM_2","","Arginine transport ATP-binding protein ArtM",581,581,1,1,4645,NA,NA,"",503,752,751,"CNBCECDA_00490","GEPIEMCB_03775","FGNPIGJI_03726","MAMCPOAM_02134","CKPEMOEN_00746","MMJAGEHG_01078","DCCGOOHM_01371","IOEMIFOP_01078","NCJKFECA_03987","PLHCNFHB_01866","HNLCLDHN_03958","NNGIMOCL_01897","IEICFKFC_01080","OBBHNEFO_01498","JILAKEMF_01078"
"papC_3","","Outer membrane usher protein PapC",581,581,1,1,2395,NA,NA,"",590,2657,2653,"CNBCECDA_04365","GEPIEMCB_03905","FGNPIGJI_04152","MAMCPOAM_01167","CKPEMOEN_03290","MMJAGEHG_03721","DCCGOOHM_03690","IOEMIFOP_04007","NCJKFECA_03071","PLHCNFHB_03697","HNLCLDHN_03319","NNGIMOCL_04372","IEICFKFC_04344","OBBHNEFO_03815","JILAKEMF_03497"
"group_1039","","hypothetical protein",581,581,1,1,2178,NA,NA,"",263,998,995,"CNBCECDA_03827","GEPIEMCB_04032","FGNPIGJI_03833","MAMCPOAM_04405","CKPEMOEN_03694","MMJAGEHG_04172","DCCGOOHM_04052","IOEMIFOP_03752","NCJKFECA_03641","PLHCNFHB_03783","HNLCLDHN_03872","NNGIMOCL_03263","IEICFKFC_03613","OBBHNEFO_04177","JILAKEMF_03791"
"assT_4","","Arylsulfate sulfotransferase AssT",581,581,1,1,2183,NA,NA,"",893,1790,1783,"CNBCECDA_03832","GEPIEMCB_04037","FGNPIGJI_03838","MAMCPOAM_02280","CKPEMOEN_03689","MMJAGEHG_04167","DCCGOOHM_04047","IOEMIFOP_03757","NCJKFECA_03636","PLHCNFHB_03788","HNLCLDHN_03867","NNGIMOCL_03258","IEICFKFC_03618","OBBHNEFO_04172","JILAKEMF_03796"
"group_1043","","hypothetical protein",581,581,1,1,2258,NA,NA,"",824,1100,1098,"CNBCECDA_03890","GEPIEMCB_04095","FGNPIGJI_04218","MAMCPOAM_04252","CKPEMOEN_03631","MMJAGEHG_04109","DCCGOOHM_03989","IOEMIFOP_04057","NCJKFECA_03578","PLHCNFHB_03846","HNLCLDHN_03809","NNGIMOCL_03200","IEICFKFC_03676","OBBHNEFO_04114","JILAKEMF_03854"
"glnG","","DNA-binding transcriptional regulator NtrC",581,581,1,1,2219,NA,NA,"",434,1409,1407,"CNBCECDA_03926","GEPIEMCB_04131","FGNPIGJI_04254","MAMCPOAM_03623","CKPEMOEN_03595","MMJAGEHG_04073","DCCGOOHM_03953","IOEMIFOP_04021","NCJKFECA_03542","PLHCNFHB_03882","HNLCLDHN_03773","NNGIMOCL_03164","IEICFKFC_03712","OBBHNEFO_04078","JILAKEMF_03890"
"hsrA","","putative transport protein HsrA",581,581,1,1,1363,NA,NA,"",872,1427,1426,"CNBCECDA_04173","GEPIEMCB_04332","FGNPIGJI_04031","MAMCPOAM_00539","CKPEMOEN_04169","MMJAGEHG_04387","DCCGOOHM_04288","IOEMIFOP_03868","NCJKFECA_04176","PLHCNFHB_04312","HNLCLDHN_04228","NNGIMOCL_04224","IEICFKFC_04206","OBBHNEFO_04297","JILAKEMF_04221"
"dgoD_2","","D-galactonate dehydratase",581,581,1,1,1420,NA,NA,"",692,1148,1146,"CNBCECDA_04229","GEPIEMCB_04388","FGNPIGJI_04087","MAMCPOAM_00483","CKPEMOEN_04113","MMJAGEHG_04443","DCCGOOHM_04344","IOEMIFOP_03812","NCJKFECA_04120","PLHCNFHB_04256","HNLCLDHN_04284","NNGIMOCL_04168","IEICFKFC_04150","OBBHNEFO_04353","JILAKEMF_04277"
"araA","","L-arabinose isomerase",581,581,1,1,2499,NA,NA,"",1259,1502,1501,"CNBCECDA_03754","GEPIEMCB_04528","FGNPIGJI_03492","MAMCPOAM_01526","CKPEMOEN_03390","MMJAGEHG_03821","DCCGOOHM_03588","IOEMIFOP_04190","NCJKFECA_02971","PLHCNFHB_04517","HNLCLDHN_03219","NNGIMOCL_03110","IEICFKFC_03483","OBBHNEFO_03713","JILAKEMF_03397"
"acrF","","Multidrug export protein AcrF",581,581,1,1,1981,NA,NA,"",1700,3113,3110,"CNBCECDA_04567","GEPIEMCB_04536","FGNPIGJI_04402","MAMCPOAM_04408","CKPEMOEN_04532","MMJAGEHG_04511","DCCGOOHM_04469","IOEMIFOP_04388","NCJKFECA_04383","PLHCNFHB_04613","HNLCLDHN_04579","NNGIMOCL_04463","IEICFKFC_04549","OBBHNEFO_04456","JILAKEMF_04481"
"acrR_2","","HTH-type transcriptional regulator AcrR",581,581,1,1,1978,NA,NA,"",335,662,661,"CNBCECDA_04564","GEPIEMCB_04539","FGNPIGJI_04399","MAMCPOAM_02485","CKPEMOEN_04529","MMJAGEHG_04514","DCCGOOHM_04472","IOEMIFOP_04391","NCJKFECA_04380","PLHCNFHB_04610","HNLCLDHN_04576","NNGIMOCL_04460","IEICFKFC_04546","OBBHNEFO_04459","JILAKEMF_04478"
"group_1083","","hypothetical protein",581,581,1,1,1957,NA,NA,"",3284,3800,3799,"CNBCECDA_04543","GEPIEMCB_04560","FGNPIGJI_04378","MAMCPOAM_02506","CKPEMOEN_04508","MMJAGEHG_04535","DCCGOOHM_04493","IOEMIFOP_04412","NCJKFECA_04359","PLHCNFHB_04589","HNLCLDHN_04555","NNGIMOCL_04439","IEICFKFC_04525","OBBHNEFO_04480","JILAKEMF_04457"
