"Gene","Non.unique.Gene.name","Annotation","No..isolates","No..sequences","Avg.sequences.per.isolate","Genome.Fragment","Order.within.Fragment","Accessory.Fragment","Accessory.Order.with.Fragment","QC","Min.group.size.nuc","Max.group.size.nuc","Avg.group.size.nuc","SRR28323381","SRR8280066","SRR14766395","SRR14766367","NDSU17","SRR14766454","SRR14766374","SRR11101171","SRR7011986","SRR5000227","SRR27714918","SRR5000221","SRR2096623","SRR2994394","NDSU13"
"dsbD_1","","Thiol:disulfide interchange protein DsbD",581,581,1,1,4535,NA,NA,"",440,1886,1882,"AAOAKINP_01719","FLNDLMAF_01983","HEGDAGBG_01503","OOJFKJFD_00310","OMAFMDHC_00847","DHLDAANJ_01677","OGNHHAPP_02532","EPILMDOP_00846","OJOAJMDO_01241","FKHFPJNE_00921","JDGPEFCB_00977","EKBIAHBP_01577","GEOHAANM_04192","NNGIMOCL_01797","GBFFMACB_03774"
"artM_2","","Arginine transport ATP-binding protein ArtM",581,581,1,1,4645,NA,NA,"",503,752,751,"AAOAKINP_01819","FLNDLMAF_04107","HEGDAGBG_01603","OOJFKJFD_00410","OMAFMDHC_00747","DHLDAANJ_02691","OGNHHAPP_03760","EPILMDOP_02664","OJOAJMDO_03058","FKHFPJNE_00821","JDGPEFCB_01077","EKBIAHBP_01477","GEOHAANM_02911","NNGIMOCL_01897","GBFFMACB_02273"
"papC_3","","Outer membrane usher protein PapC",581,581,1,1,2395,NA,NA,"",590,2657,2653,"AAOAKINP_03754","FLNDLMAF_03254","HEGDAGBG_03581","OOJFKJFD_03121","OMAFMDHC_03680","DHLDAANJ_02142","OGNHHAPP_03630","EPILMDOP_03537","OJOAJMDO_03795","FKHFPJNE_03567","JDGPEFCB_03751","EKBIAHBP_04388","GEOHAANM_04002","NNGIMOCL_04372","GBFFMACB_03398"
"group_1039","","hypothetical protein",581,581,1,1,2178,NA,NA,"",263,998,995,"AAOAKINP_04122","FLNDLMAF_03940","HEGDAGBG_03950","OOJFKJFD_04146","OMAFMDHC_04130","DHLDAANJ_04510","OGNHHAPP_03551","EPILMDOP_02265","OJOAJMDO_02518","FKHFPJNE_04042","JDGPEFCB_04119","EKBIAHBP_04060","GEOHAANM_03411","NNGIMOCL_03263","GBFFMACB_02380"
"assT_4","","Arylsulfate sulfotransferase AssT",581,581,1,1,2183,NA,NA,"",893,1790,1783,"AAOAKINP_04127","FLNDLMAF_03945","HEGDAGBG_03955","OOJFKJFD_04141","OMAFMDHC_04125","DHLDAANJ_02779","OGNHHAPP_03546","EPILMDOP_02270","OJOAJMDO_02523","FKHFPJNE_04047","JDGPEFCB_04124","EKBIAHBP_04055","GEOHAANM_03406","NNGIMOCL_03258","GBFFMACB_02385"
"group_1043","","hypothetical protein",581,581,1,1,2258,NA,NA,"",824,1100,1098,"AAOAKINP_04185","FLNDLMAF_04003","HEGDAGBG_04013","OOJFKJFD_04083","OMAFMDHC_04067","DHLDAANJ_02208","OGNHHAPP_03488","EPILMDOP_02328","OJOAJMDO_02581","FKHFPJNE_04105","JDGPEFCB_04182","EKBIAHBP_03997","GEOHAANM_04015","NNGIMOCL_03200","GBFFMACB_02443"
"glnG","","DNA-binding transcriptional regulator NtrC",581,581,1,1,2219,NA,NA,"",434,1409,1407,"AAOAKINP_04221","FLNDLMAF_04039","HEGDAGBG_04049","OOJFKJFD_04047","OMAFMDHC_04031","DHLDAANJ_02244","OGNHHAPP_03452","EPILMDOP_02364","OJOAJMDO_02617","FKHFPJNE_04141","JDGPEFCB_04218","EKBIAHBP_03961","GEOHAANM_04051","NNGIMOCL_03164","GBFFMACB_04225"
"hsrA","","putative transport protein HsrA",581,581,1,1,1363,NA,NA,"",872,1427,1426,"AAOAKINP_04385","FLNDLMAF_04271","HEGDAGBG_04150","OOJFKJFD_04242","OMAFMDHC_04306","DHLDAANJ_01519","OGNHHAPP_04142","EPILMDOP_03593","OJOAJMDO_03656","FKHFPJNE_04305","JDGPEFCB_04319","EKBIAHBP_04243","GEOHAANM_03596","NNGIMOCL_04224","GBFFMACB_03159"
"dgoD_2","","D-galactonate dehydratase",581,581,1,1,1420,NA,NA,"",692,1148,1146,"AAOAKINP_04329","FLNDLMAF_04327","HEGDAGBG_04206","OOJFKJFD_04186","OMAFMDHC_04250","DHLDAANJ_01575","OGNHHAPP_04086","EPILMDOP_03649","OJOAJMDO_03600","FKHFPJNE_04249","JDGPEFCB_04375","EKBIAHBP_04187","GEOHAANM_03652","NNGIMOCL_04168","GBFFMACB_03103"
"araA","","L-arabinose isomerase",581,581,1,1,2499,NA,NA,"",1259,1502,1501,"AAOAKINP_03854","FLNDLMAF_03354","HEGDAGBG_03682","OOJFKJFD_03221","OMAFMDHC_03782","DHLDAANJ_01267","OGNHHAPP_03850","EPILMDOP_02881","OJOAJMDO_02388","FKHFPJNE_03467","JDGPEFCB_03851","EKBIAHBP_03850","GEOHAANM_02772","NNGIMOCL_03110","GBFFMACB_02467"
