"Gene","Non.unique.Gene.name","Annotation","No..isolates","No..sequences","Avg.sequences.per.isolate","Genome.Fragment","Order.within.Fragment","Accessory.Fragment","Accessory.Order.with.Fragment","QC","Min.group.size.nuc","Max.group.size.nuc","Avg.group.size.nuc","SRR980326","SRR28323393","NDSU20","SRR18233395","SRR1106157","SRR14766383","SRR10037239","SRR16506855","SRR14766328","SRR14766432","SRR27708426","SRR6310053","SRR5928609","SRR15146531","SRR17468265"
"dsbD_1","","Thiol:disulfide interchange protein DsbD",581,581,1,1,4535,NA,NA,"",440,1886,1882,"ICDMIJBP_01861","OHOJMOPM_01658","CFFCAIFL_04268","PPEDBENP_03099","DECCOBHM_00978","JCMLOGCE_04174","OOMIMPCI_01589","MMJAGEHG_00978","EFNBFDBI_04057","MHLDJHJA_03408","IOLIIFNA_02759","DNOEEKHJ_04610","MAMFPLAJ_04240","ALBEMBBG_01656","IHODCDMG_00845"
"artM_2","","Arginine transport ATP-binding protein ArtM",581,581,1,1,4645,NA,NA,"",503,752,751,"ICDMIJBP_04222","OHOJMOPM_01758","CFFCAIFL_03665","PPEDBENP_03704","DECCOBHM_01078","JCMLOGCE_02603","OOMIMPCI_01489","MMJAGEHG_01078","EFNBFDBI_03059","MHLDJHJA_02766","IOLIIFNA_02233","DNOEEKHJ_03700","MAMFPLAJ_01896","ALBEMBBG_01757","IHODCDMG_00745"
"papC_3","","Outer membrane usher protein PapC",581,581,1,1,2395,NA,NA,"",590,2657,2653,"ICDMIJBP_03568","OHOJMOPM_03703","CFFCAIFL_02771","PPEDBENP_02069","DECCOBHM_03888","JCMLOGCE_03593","OOMIMPCI_03811","MMJAGEHG_03721","EFNBFDBI_03880","MHLDJHJA_03856","IOLIIFNA_03144","DNOEEKHJ_03610","MAMFPLAJ_02833","ALBEMBBG_03745","IHODCDMG_03834"
"group_1039","","hypothetical protein",581,581,1,1,2178,NA,NA,"",263,998,995,"ICDMIJBP_04107","OHOJMOPM_04037","CFFCAIFL_03230","PPEDBENP_03246","DECCOBHM_04170","JCMLOGCE_03953","OOMIMPCI_04178","MMJAGEHG_04172","EFNBFDBI_03164","MHLDJHJA_02197","IOLIIFNA_00968","DNOEEKHJ_03378","MAMFPLAJ_02378","ALBEMBBG_04085","IHODCDMG_04116"
"assT_4","","Arylsulfate sulfotransferase AssT",581,581,1,1,2183,NA,NA,"",893,1790,1783,"ICDMIJBP_04102","OHOJMOPM_04032","CFFCAIFL_03235","PPEDBENP_03251","DECCOBHM_04175","JCMLOGCE_03902","OOMIMPCI_04183","MMJAGEHG_04167","EFNBFDBI_03159","MHLDJHJA_02192","IOLIIFNA_00963","DNOEEKHJ_03373","MAMFPLAJ_02373","ALBEMBBG_04080","IHODCDMG_04121"
"group_1043","","hypothetical protein",581,581,1,1,2258,NA,NA,"",824,1100,1098,"ICDMIJBP_04044","OHOJMOPM_03974","CFFCAIFL_03293","PPEDBENP_03309","DECCOBHM_04233","JCMLOGCE_04602","OOMIMPCI_04241","MMJAGEHG_04109","EFNBFDBI_03101","MHLDJHJA_02134","IOLIIFNA_00905","DNOEEKHJ_03315","MAMFPLAJ_02899","ALBEMBBG_04022","IHODCDMG_04179"
"glnG","","DNA-binding transcriptional regulator NtrC",581,581,1,1,2219,NA,NA,"",434,1409,1407,"ICDMIJBP_04008","OHOJMOPM_04595","CFFCAIFL_03329","PPEDBENP_03345","DECCOBHM_04269","JCMLOGCE_03843","OOMIMPCI_04277","MMJAGEHG_04073","EFNBFDBI_04020","MHLDJHJA_02098","IOLIIFNA_00869","DNOEEKHJ_03279","MAMFPLAJ_02935","ALBEMBBG_04606","IHODCDMG_04215"
"hsrA","","putative transport protein HsrA",581,581,1,1,1363,NA,NA,"",872,1427,1426,"ICDMIJBP_04386","OHOJMOPM_04157","CFFCAIFL_04125","PPEDBENP_04019","DECCOBHM_04433","JCMLOGCE_03411","OOMIMPCI_04378","MMJAGEHG_04387","EFNBFDBI_03697","MHLDJHJA_03330","IOLIIFNA_02811","DNOEEKHJ_04138","MAMFPLAJ_04465","ALBEMBBG_04268","IHODCDMG_04316"
"dgoD_2","","D-galactonate dehydratase",581,581,1,1,1420,NA,NA,"",692,1148,1146,"ICDMIJBP_04442","OHOJMOPM_04213","CFFCAIFL_04069","PPEDBENP_03963","DECCOBHM_04377","JCMLOGCE_03467","OOMIMPCI_04434","MMJAGEHG_04443","EFNBFDBI_03641","MHLDJHJA_03386","IOLIIFNA_02867","DNOEEKHJ_04194","MAMFPLAJ_03051","ALBEMBBG_04212","IHODCDMG_04372"
"araA","","L-arabinose isomerase",581,581,1,1,2499,NA,NA,"",1259,1502,1501,"ICDMIJBP_03468","OHOJMOPM_03603","CFFCAIFL_02671","PPEDBENP_02169","DECCOBHM_03788","JCMLOGCE_01474","OOMIMPCI_03910","MMJAGEHG_03821","EFNBFDBI_03713","MHLDJHJA_03026","IOLIIFNA_01237","DNOEEKHJ_03827","MAMFPLAJ_04652","ALBEMBBG_03643","IHODCDMG_03734"
"acrF","","Multidrug export protein AcrF",581,581,1,1,1981,NA,NA,"",1700,3113,3110,"ICDMIJBP_04509","OHOJMOPM_04438","CFFCAIFL_04437","PPEDBENP_04256","DECCOBHM_04438","JCMLOGCE_03988","OOMIMPCI_04535","MMJAGEHG_04511","EFNBFDBI_04125","MHLDJHJA_04103","IOLIIFNA_03810","DNOEEKHJ_04297","MAMFPLAJ_03978","ALBEMBBG_04394","IHODCDMG_04479"
"acrR_2","","HTH-type transcriptional regulator AcrR",581,581,1,1,1978,NA,NA,"",335,662,661,"ICDMIJBP_04512","OHOJMOPM_04435","CFFCAIFL_04434","PPEDBENP_04259","DECCOBHM_04441","JCMLOGCE_03991","OOMIMPCI_04538","MMJAGEHG_04514","EFNBFDBI_04128","MHLDJHJA_04106","IOLIIFNA_03807","DNOEEKHJ_04294","MAMFPLAJ_03975","ALBEMBBG_04397","IHODCDMG_04476"
"group_1083","","hypothetical protein",581,581,1,1,1957,NA,NA,"",3284,3800,3799,"ICDMIJBP_04533","OHOJMOPM_04414","CFFCAIFL_04413","PPEDBENP_04280","DECCOBHM_04462","JCMLOGCE_04012","OOMIMPCI_04559","MMJAGEHG_04535","EFNBFDBI_04149","MHLDJHJA_04127","IOLIIFNA_03786","DNOEEKHJ_04273","MAMFPLAJ_03954","ALBEMBBG_04418","IHODCDMG_04455"
"group_1085","","hypothetical protein",581,581,1,1,3656,NA,NA,"",425,2135,2129,"ICDMIJBP_04476","OHOJMOPM_04369","CFFCAIFL_04462","PPEDBENP_04227","DECCOBHM_04503","JCMLOGCE_04327","OOMIMPCI_04600","MMJAGEHG_04482","EFNBFDBI_04189","MHLDJHJA_04167","IOLIIFNA_04013","DNOEEKHJ_04327","MAMFPLAJ_03470","ALBEMBBG_04365","IHODCDMG_04508"
"zraS","","Sensor protein ZraS",581,581,1,1,1524,NA,NA,"",779,1463,1460,"ICDMIJBP_04582","OHOJMOPM_04506","CFFCAIFL_04630","PPEDBENP_04407","DECCOBHM_04533","JCMLOGCE_04232","OOMIMPCI_04660","MMJAGEHG_04604","EFNBFDBI_04520","MHLDJHJA_04499","IOLIIFNA_04464","DNOEEKHJ_04452","MAMFPLAJ_04511","ALBEMBBG_04491","IHODCDMG_04560"
"deaD","","ATP-dependent RNA helicase DeaD",581,581,1,1,2619,NA,NA,"",1745,1913,1888,"ICDMIJBP_00595","OHOJMOPM_00818","CFFCAIFL_00462","PPEDBENP_02972","DECCOBHM_00596","JCMLOGCE_02753","OOMIMPCI_01340","MMJAGEHG_00074","EFNBFDBI_02671","MHLDJHJA_00248","IOLIIFNA_01488","DNOEEKHJ_00073","MAMFPLAJ_03874","ALBEMBBG_01273","IHODCDMG_00074"
"metH","","Methionine synthase",581,581,1,1,2012,NA,NA,"",3206,3689,3682,"ICDMIJBP_03168","OHOJMOPM_01841","CFFCAIFL_00968","PPEDBENP_04099","DECCOBHM_01592","JCMLOGCE_04494","OOMIMPCI_02338","MMJAGEHG_01161","EFNBFDBI_03761","MHLDJHJA_03754","IOLIIFNA_02551","DNOEEKHJ_04210","MAMFPLAJ_04396","ALBEMBBG_01840","IHODCDMG_01162"
"ftsP","","Cell division protein FtsP",581,581,1,1,2726,NA,NA,"",563,1418,1410,"ICDMIJBP_00492","OHOJMOPM_00921","CFFCAIFL_00359","PPEDBENP_04315","DECCOBHM_00493","JCMLOGCE_00228","OOMIMPCI_01237","MMJAGEHG_00177","EFNBFDBI_01276","MHLDJHJA_00145","IOLIIFNA_03551","DNOEEKHJ_00177","MAMFPLAJ_01332","ALBEMBBG_01170","IHODCDMG_00177"
