"Gene","Non.unique.Gene.name","Annotation","No..isolates","No..sequences","Avg.sequences.per.isolate","Genome.Fragment","Order.within.Fragment","Accessory.Fragment","Accessory.Order.with.Fragment","QC","Min.group.size.nuc","Max.group.size.nuc","Avg.group.size.nuc","SRR2994389","SRR15146532","SRR12420044","SRR7196769","SRR8728065","SRR14766414","SRR10995710","SRR23043677","SRR6475628","SRR18233388","SRR18233385","NDSU7","SRR2911775","SRR14766336","SRR28262169"
"dsbD_1","","Thiol:disulfide interchange protein DsbD",581,581,1,1,4535,NA,NA,"",440,1886,1882,"APBHMKIJ_00762","FDAPHJIA_03251","IIEOGEEO_02994","ECBAHKLN_01638","OMPAEEHE_00726","CBFLKJKM_03062","PBEADCDK_00310","ANJCIHOA_00938","KPAOFOOC_02496","ACOJFAEA_00937","AJBEKOEN_01759","IGPMGEKP_02208","NCJKFECA_03851","LBLKLJFF_04514","ANCOLAMI_01586"
"artM_2","","Arginine transport ATP-binding protein ArtM",581,581,1,1,4645,NA,NA,"",503,752,751,"APBHMKIJ_03582","FDAPHJIA_03151","IIEOGEEO_03496","ECBAHKLN_01738","OMPAEEHE_00826","CBFLKJKM_04095","PBEADCDK_00410","ANJCIHOA_01038","KPAOFOOC_04063","ACOJFAEA_01037","AJBEKOEN_01858","IGPMGEKP_02308","NCJKFECA_03987","LBLKLJFF_02875","ANCOLAMI_01486"
"papC_3","","Outer membrane usher protein PapC",581,581,1,1,2395,NA,NA,"",590,2657,2653,"APBHMKIJ_01883","FDAPHJIA_03447","IIEOGEEO_03175","ECBAHKLN_03184","OMPAEEHE_04323","CBFLKJKM_03477","PBEADCDK_03637","ANJCIHOA_03760","KPAOFOOC_03594","ACOJFAEA_03767","AJBEKOEN_03685","IGPMGEKP_03163","NCJKFECA_03071","LBLKLJFF_02545","ANCOLAMI_03838"
"group_1039","","hypothetical protein",581,581,1,1,2178,NA,NA,"",263,998,995,"APBHMKIJ_03662","FDAPHJIA_04010","IIEOGEEO_03571","ECBAHKLN_03876","OMPAEEHE_03751","CBFLKJKM_03729","PBEADCDK_04161","ANJCIHOA_04122","KPAOFOOC_03956","ACOJFAEA_04129","AJBEKOEN_04133","IGPMGEKP_03249","NCJKFECA_03641","LBLKLJFF_03294","ANCOLAMI_04120"
"assT_4","","Arylsulfate sulfotransferase AssT",581,581,1,1,2183,NA,NA,"",893,1790,1783,"APBHMKIJ_03667","FDAPHJIA_04005","IIEOGEEO_03576","ECBAHKLN_03881","OMPAEEHE_03746","CBFLKJKM_03724","PBEADCDK_04166","ANJCIHOA_04127","KPAOFOOC_03951","ACOJFAEA_04124","AJBEKOEN_04128","IGPMGEKP_03254","NCJKFECA_03636","LBLKLJFF_03216","ANCOLAMI_04125"
"group_1043","","hypothetical protein",581,581,1,1,2258,NA,NA,"",824,1100,1098,"APBHMKIJ_04149","FDAPHJIA_03946","IIEOGEEO_03241","ECBAHKLN_03939","OMPAEEHE_04373","CBFLKJKM_03666","PBEADCDK_04224","ANJCIHOA_04185","KPAOFOOC_03893","ACOJFAEA_04066","AJBEKOEN_04070","IGPMGEKP_03312","NCJKFECA_03578","LBLKLJFF_04465","ANCOLAMI_04183"
"glnG","","DNA-binding transcriptional regulator NtrC",581,581,1,1,2219,NA,NA,"",434,1409,1407,"APBHMKIJ_04113","FDAPHJIA_03910","IIEOGEEO_03277","ECBAHKLN_03975","OMPAEEHE_04337","CBFLKJKM_03630","PBEADCDK_04260","ANJCIHOA_04221","KPAOFOOC_03857","ACOJFAEA_04030","AJBEKOEN_04034","IGPMGEKP_03348","NCJKFECA_03542","LBLKLJFF_02929","ANCOLAMI_04219"
"hsrA","","putative transport protein HsrA",581,581,1,1,1363,NA,NA,"",872,1427,1426,"APBHMKIJ_03944","FDAPHJIA_04130","IIEOGEEO_02623","ECBAHKLN_04163","OMPAEEHE_04113","CBFLKJKM_04201","PBEADCDK_04361","ANJCIHOA_04385","KPAOFOOC_04193","ACOJFAEA_04249","AJBEKOEN_04253","IGPMGEKP_04105","NCJKFECA_04176","LBLKLJFF_01937","ANCOLAMI_04320"
"dgoD_2","","D-galactonate dehydratase",581,581,1,1,1420,NA,NA,"",692,1148,1146,"APBHMKIJ_04000","FDAPHJIA_04186","IIEOGEEO_02679","ECBAHKLN_04219","OMPAEEHE_04057","CBFLKJKM_04145","PBEADCDK_04417","ANJCIHOA_04329","KPAOFOOC_04249","ACOJFAEA_04305","AJBEKOEN_04309","IGPMGEKP_04049","NCJKFECA_04120","LBLKLJFF_01993","ANCOLAMI_04376"
"araA","","L-arabinose isomerase",581,581,1,1,2499,NA,NA,"",1259,1502,1501,"APBHMKIJ_01983","FDAPHJIA_03346","IIEOGEEO_03078","ECBAHKLN_03284","OMPAEEHE_03346","CBFLKJKM_03577","PBEADCDK_03737","ANJCIHOA_03859","KPAOFOOC_03494","ACOJFAEA_03667","AJBEKOEN_03785","IGPMGEKP_03063","NCJKFECA_02971","LBLKLJFF_02773","ANCOLAMI_03735"
"acrF","","Multidrug export protein AcrF",581,581,1,1,1981,NA,NA,"",1700,3113,3110,"APBHMKIJ_04410","FDAPHJIA_04478","IIEOGEEO_04042","ECBAHKLN_04509","OMPAEEHE_04474","CBFLKJKM_04525","PBEADCDK_04556","ANJCIHOA_04544","KPAOFOOC_04476","ACOJFAEA_04537","AJBEKOEN_04540","IGPMGEKP_04515","NCJKFECA_04383","LBLKLJFF_03338","ANCOLAMI_04572"
"acrR_2","","HTH-type transcriptional regulator AcrR",581,581,1,1,1978,NA,NA,"",335,662,661,"APBHMKIJ_04407","FDAPHJIA_04481","IIEOGEEO_04039","ECBAHKLN_04506","OMPAEEHE_04471","CBFLKJKM_04528","PBEADCDK_04553","ANJCIHOA_04547","KPAOFOOC_04479","ACOJFAEA_04534","AJBEKOEN_04537","IGPMGEKP_04512","NCJKFECA_04380","LBLKLJFF_03335","ANCOLAMI_04569"
"group_1083","","hypothetical protein",581,581,1,1,1957,NA,NA,"",3284,3800,3799,"APBHMKIJ_04386","FDAPHJIA_04502","IIEOGEEO_04018","ECBAHKLN_04485","OMPAEEHE_04450","CBFLKJKM_04549","PBEADCDK_04532","ANJCIHOA_04568","KPAOFOOC_04500","ACOJFAEA_04513","AJBEKOEN_04516","IGPMGEKP_04491","NCJKFECA_04359","LBLKLJFF_03314","ANCOLAMI_04548"
"group_1085","","hypothetical protein",581,581,1,1,3656,NA,NA,"",425,2135,2129,"APBHMKIJ_04439","FDAPHJIA_04444","IIEOGEEO_03897","ECBAHKLN_04444","OMPAEEHE_04503","CBFLKJKM_04496","PBEADCDK_00516","ANJCIHOA_04515","KPAOFOOC_04542","ACOJFAEA_04467","AJBEKOEN_04471","IGPMGEKP_04582","NCJKFECA_04412","LBLKLJFF_03750","ANCOLAMI_04502"
"zraS","","Sensor protein ZraS",581,581,1,1,1524,NA,NA,"",779,1463,1460,"APBHMKIJ_04469","FDAPHJIA_04599","IIEOGEEO_04463","ECBAHKLN_04516","OMPAEEHE_04533","CBFLKJKM_04624","PBEADCDK_04585","ANJCIHOA_04587","KPAOFOOC_04571","ACOJFAEA_04544","AJBEKOEN_04569","IGPMGEKP_04659","NCJKFECA_04475","LBLKLJFF_04316","ANCOLAMI_04601"
"deaD","","ATP-dependent RNA helicase DeaD",581,581,1,1,2619,NA,NA,"",1745,1913,1888,"APBHMKIJ_03153","FDAPHJIA_00074","IIEOGEEO_02287","ECBAHKLN_00074","OMPAEEHE_02852","CBFLKJKM_02749","PBEADCDK_04046","ANJCIHOA_00554","KPAOFOOC_00074","ACOJFAEA_00074","AJBEKOEN_00595","IGPMGEKP_01651","NCJKFECA_02075","LBLKLJFF_00759","ANCOLAMI_01337"
"metH","","Methionine synthase",581,581,1,1,2012,NA,NA,"",3206,3689,3682,"APBHMKIJ_03935","FDAPHJIA_00613","IIEOGEEO_03166","ECBAHKLN_04348","OMPAEEHE_02077","CBFLKJKM_03866","PBEADCDK_01456","ANJCIHOA_01549","KPAOFOOC_04465","ACOJFAEA_01548","AJBEKOEN_00676","IGPMGEKP_00008","NCJKFECA_04225","LBLKLJFF_04140","ANCOLAMI_02333"
"ftsP","","Cell division protein FtsP",581,581,1,1,2726,NA,NA,"",563,1418,1410,"APBHMKIJ_02925","FDAPHJIA_00177","IIEOGEEO_00075","ECBAHKLN_00177","OMPAEEHE_02749","CBFLKJKM_02646","PBEADCDK_00956","ANJCIHOA_00451","KPAOFOOC_00177","ACOJFAEA_00177","AJBEKOEN_00492","IGPMGEKP_01754","NCJKFECA_01972","LBLKLJFF_02303","ANCOLAMI_01234"
"nudL","","putative Nudix hydrolase NudL",581,581,1,1,4771,NA,NA,"",203,578,577,"APBHMKIJ_01800","FDAPHJIA_02597","IIEOGEEO_02836","ECBAHKLN_04115","OMPAEEHE_04008","CBFLKJKM_00048","PBEADCDK_00577","ANJCIHOA_02330","KPAOFOOC_01027","ACOJFAEA_01603","AJBEKOEN_01160","IGPMGEKP_00491","NCJKFECA_00360","LBLKLJFF_03060","ANCOLAMI_00696"
"yoaA","","putative ATP-dependent DNA helicase YoaA",581,581,1,1,4775,NA,NA,"",1604,1910,1909,"APBHMKIJ_01796","FDAPHJIA_02601","IIEOGEEO_02840","ECBAHKLN_04111","OMPAEEHE_04012","CBFLKJKM_00052","PBEADCDK_00581","ANJCIHOA_02326","KPAOFOOC_01023","ACOJFAEA_01607","AJBEKOEN_01164","IGPMGEKP_00495","NCJKFECA_00356","LBLKLJFF_03056","ANCOLAMI_00692"
"fadD","","Long-chain-fatty-acid--CoA ligase",581,581,1,1,4778,NA,NA,"",1457,1751,1750,"APBHMKIJ_01793","FDAPHJIA_02604","IIEOGEEO_02843","ECBAHKLN_04108","OMPAEEHE_04015","CBFLKJKM_00055","PBEADCDK_00584","ANJCIHOA_02323","KPAOFOOC_01020","ACOJFAEA_01610","AJBEKOEN_01167","IGPMGEKP_00498","NCJKFECA_00353","LBLKLJFF_03053","ANCOLAMI_00689"
"rnd","","Ribonuclease D",581,581,1,1,4779,NA,NA,"",746,1115,1114,"APBHMKIJ_01792","FDAPHJIA_02605","IIEOGEEO_02844","ECBAHKLN_04107","OMPAEEHE_04016","CBFLKJKM_00056","PBEADCDK_00585","ANJCIHOA_02322","KPAOFOOC_01019","ACOJFAEA_01611","AJBEKOEN_01168","IGPMGEKP_00499","NCJKFECA_00352","LBLKLJFF_03052","ANCOLAMI_00688"
"appC","","Cytochrome bd-II ubiquinol oxidase subunit 1",581,581,1,1,4804,NA,NA,"",896,1544,1542,"APBHMKIJ_01767","FDAPHJIA_02630","IIEOGEEO_02869","ECBAHKLN_04082","OMPAEEHE_04041","CBFLKJKM_00081","PBEADCDK_00610","ANJCIHOA_02297","KPAOFOOC_00994","ACOJFAEA_01636","AJBEKOEN_01193","IGPMGEKP_00524","NCJKFECA_00327","LBLKLJFF_03027","ANCOLAMI_00663"
"group_1158","","hypothetical protein",581,581,1,1,4805,NA,NA,"",356,848,846,"APBHMKIJ_01766","FDAPHJIA_02631","IIEOGEEO_02870","ECBAHKLN_04081","OMPAEEHE_04042","CBFLKJKM_00082","PBEADCDK_00611","ANJCIHOA_02296","KPAOFOOC_00993","ACOJFAEA_01637","AJBEKOEN_01194","IGPMGEKP_00525","NCJKFECA_00326","LBLKLJFF_03026","ANCOLAMI_00662"
"hyaE","","Hydrogenase-1 operon protein HyaE",581,581,1,1,4806,NA,NA,"",404,455,404,"APBHMKIJ_01765","FDAPHJIA_02632","IIEOGEEO_02871","ECBAHKLN_04080","OMPAEEHE_04043","CBFLKJKM_00083","PBEADCDK_00612","ANJCIHOA_02295","KPAOFOOC_00992","ACOJFAEA_01638","AJBEKOEN_01195","IGPMGEKP_00526","NCJKFECA_00325","LBLKLJFF_03025","ANCOLAMI_00661"
"prfA","","Peptide chain release factor RF1",581,581,1,1,4823,NA,NA,"",632,1082,1081,"APBHMKIJ_01750","FDAPHJIA_02647","IIEOGEEO_04345","ECBAHKLN_00678","OMPAEEHE_02337","CBFLKJKM_00098","PBEADCDK_00627","ANJCIHOA_02280","KPAOFOOC_00977","ACOJFAEA_01653","AJBEKOEN_01210","IGPMGEKP_00541","NCJKFECA_00310","LBLKLJFF_01082","ANCOLAMI_00646"
"narX","","Nitrate/nitrite sensor protein NarX",581,581,1,1,4833,NA,NA,"",1739,1796,1795,"APBHMKIJ_01740","FDAPHJIA_02657","IIEOGEEO_04335","ECBAHKLN_00688","OMPAEEHE_02347","CBFLKJKM_00108","PBEADCDK_00637","ANJCIHOA_02270","KPAOFOOC_00967","ACOJFAEA_01663","AJBEKOEN_01220","IGPMGEKP_00551","NCJKFECA_00300","LBLKLJFF_01072","ANCOLAMI_00636"
"narG","","Respiratory nitrate reductase 1 alpha chain",581,581,1,1,4835,NA,NA,"",1712,3743,3739,"APBHMKIJ_01738","FDAPHJIA_02659","IIEOGEEO_04398","ECBAHKLN_00690","OMPAEEHE_02349","CBFLKJKM_00110","PBEADCDK_00639","ANJCIHOA_02268","KPAOFOOC_00965","ACOJFAEA_01665","AJBEKOEN_01222","IGPMGEKP_00553","NCJKFECA_00298","LBLKLJFF_01070","ANCOLAMI_00634"
"yciI","","Protein YciI",581,581,1,1,4860,NA,NA,"",221,296,295,"APBHMKIJ_01713","FDAPHJIA_02684","IIEOGEEO_04489","ECBAHKLN_00715","OMPAEEHE_02374","CBFLKJKM_00135","PBEADCDK_00664","ANJCIHOA_02243","KPAOFOOC_00940","ACOJFAEA_01690","AJBEKOEN_01247","IGPMGEKP_00578","NCJKFECA_00273","LBLKLJFF_01045","ANCOLAMI_00609"
"group_1165","","hypothetical protein",581,581,1,1,4864,NA,NA,"",641,743,742,"APBHMKIJ_01709","FDAPHJIA_02688","IIEOGEEO_04485","ECBAHKLN_00719","OMPAEEHE_02378","CBFLKJKM_00139","PBEADCDK_00668","ANJCIHOA_02239","KPAOFOOC_00936","ACOJFAEA_01694","AJBEKOEN_01251","IGPMGEKP_00582","NCJKFECA_00269","LBLKLJFF_01041","ANCOLAMI_00605"
"trpGD","","Bifunctional protein TrpGD",581,581,1,1,4874,NA,NA,"",431,1595,1590,"APBHMKIJ_01699","FDAPHJIA_02698","IIEOGEEO_02618","ECBAHKLN_00729","OMPAEEHE_02388","CBFLKJKM_00149","PBEADCDK_00678","ANJCIHOA_02229","KPAOFOOC_00926","ACOJFAEA_01704","AJBEKOEN_01261","IGPMGEKP_00592","NCJKFECA_00259","LBLKLJFF_01031","ANCOLAMI_00595"
"trpE","","Anthranilate synthase component 1",581,581,1,1,4875,NA,NA,"",374,1562,1559,"APBHMKIJ_01698","FDAPHJIA_02699","IIEOGEEO_02617","ECBAHKLN_00730","OMPAEEHE_02389","CBFLKJKM_00150","PBEADCDK_00679","ANJCIHOA_02228","KPAOFOOC_00925","ACOJFAEA_01705","AJBEKOEN_01262","IGPMGEKP_00593","NCJKFECA_00258","LBLKLJFF_01030","ANCOLAMI_00594"
"osmB","","Osmotically-inducible lipoprotein B",581,581,1,1,4895,NA,NA,"",197,218,217,"APBHMKIJ_01679","FDAPHJIA_02718","IIEOGEEO_02598","ECBAHKLN_00749","OMPAEEHE_02408","CBFLKJKM_00169","PBEADCDK_00698","ANJCIHOA_02209","KPAOFOOC_00906","ACOJFAEA_01724","AJBEKOEN_01281","IGPMGEKP_00612","NCJKFECA_00239","LBLKLJFF_01011","ANCOLAMI_00575"
"pspA","","Phage shock protein A",581,581,1,1,4913,NA,NA,"",398,668,667,"APBHMKIJ_01664","FDAPHJIA_02733","IIEOGEEO_02583","ECBAHKLN_00764","OMPAEEHE_02423","CBFLKJKM_00184","PBEADCDK_00713","ANJCIHOA_02194","KPAOFOOC_00891","ACOJFAEA_01739","AJBEKOEN_01296","IGPMGEKP_00627","NCJKFECA_00224","LBLKLJFF_00996","ANCOLAMI_00560"
