"Gene","Non.unique.Gene.name","Annotation","No..isolates","No..sequences","Avg.sequences.per.isolate","Genome.Fragment","Order.within.Fragment","Accessory.Fragment","Accessory.Order.with.Fragment","QC","Min.group.size.nuc","Max.group.size.nuc","Avg.group.size.nuc","SRR3000893","SRR15357283","SRR5928619","SRR14766355","NDSU4","SRR2911780","SRR25926991","SRR3000890","SRR19572341","SRR14766443","SRR9016885","SRR8728075","SRR5000227","SRR16297815","SRR14272153"
"dsbD_1","","Thiol:disulfide interchange protein DsbD",581,581,1,1,4535,NA,NA,"",440,1886,1882,"NNFNPJIH_01837","PDNNBANI_00921","JKCDLFCP_03356","KIGINCLF_03093","MLOHFGPA_03434","FENEHPHI_02552","MAFDEBPG_02118","GEFNPNKI_02956","PBAHMKCA_02394","BJFLHFPA_02163","OMEBOICM_02538","EDHNKBAJ_01442","FKHFPJNE_00921","DCCGOOHM_01471","HIMMJIDH_00311"
"artM_2","","Arginine transport ATP-binding protein ArtM",581,581,1,1,4645,NA,NA,"",503,752,751,"NNFNPJIH_03570","PDNNBANI_00821","JKCDLFCP_00980","KIGINCLF_03738","MLOHFGPA_02053","FENEHPHI_03987","MAFDEBPG_03975","GEFNPNKI_03761","PBAHMKCA_02494","BJFLHFPA_03097","OMEBOICM_02895","EDHNKBAJ_00455","FKHFPJNE_00821","DCCGOOHM_01371","HIMMJIDH_00411"
"papC_3","","Outer membrane usher protein PapC",581,581,1,1,2395,NA,NA,"",590,2657,2653,"NNFNPJIH_02826","PDNNBANI_03761","JKCDLFCP_02717","KIGINCLF_03551","MLOHFGPA_00529","FENEHPHI_03218","MAFDEBPG_03695","GEFNPNKI_04224","PBAHMKCA_03254","BJFLHFPA_04003","OMEBOICM_03789","EDHNKBAJ_04188","FKHFPJNE_03567","DCCGOOHM_03690","HIMMJIDH_03820"
"group_1039","","hypothetical protein",581,581,1,1,2178,NA,NA,"",263,998,995,"NNFNPJIH_03237","PDNNBANI_04205","JKCDLFCP_03284","KIGINCLF_01894","MLOHFGPA_02286","FENEHPHI_03783","MAFDEBPG_02793","GEFNPNKI_03031","PBAHMKCA_03976","BJFLHFPA_02627","OMEBOICM_01979","EDHNKBAJ_03095","FKHFPJNE_04042","DCCGOOHM_04052","HIMMJIDH_04269"
"assT_4","","Arylsulfate sulfotransferase AssT",581,581,1,1,2183,NA,NA,"",893,1790,1783,"NNFNPJIH_03242","PDNNBANI_04200","JKCDLFCP_03279","KIGINCLF_01899","MLOHFGPA_02281","FENEHPHI_03778","MAFDEBPG_02798","GEFNPNKI_03036","PBAHMKCA_03981","BJFLHFPA_02622","OMEBOICM_01974","EDHNKBAJ_03100","FKHFPJNE_04047","DCCGOOHM_04047","HIMMJIDH_04264"
"group_1043","","hypothetical protein",581,581,1,1,2258,NA,NA,"",824,1100,1098,"NNFNPJIH_03300","PDNNBANI_04142","JKCDLFCP_02958","KIGINCLF_01957","MLOHFGPA_02223","FENEHPHI_03720","MAFDEBPG_03761","GEFNPNKI_03094","PBAHMKCA_04039","BJFLHFPA_02563","OMEBOICM_01916","EDHNKBAJ_03158","FKHFPJNE_04105","DCCGOOHM_03989","HIMMJIDH_04206"
"glnG","","DNA-binding transcriptional regulator NtrC",581,581,1,1,2219,NA,NA,"",434,1409,1407,"NNFNPJIH_03336","PDNNBANI_04106","JKCDLFCP_02994","KIGINCLF_01993","MLOHFGPA_04199","FENEHPHI_03684","MAFDEBPG_03797","GEFNPNKI_03130","PBAHMKCA_04075","BJFLHFPA_02527","OMEBOICM_01880","EDHNKBAJ_03194","FKHFPJNE_04141","DCCGOOHM_03953","HIMMJIDH_04170"
"hsrA","","putative transport protein HsrA",581,581,1,1,1363,NA,NA,"",872,1427,1426,"NNFNPJIH_03968","PDNNBANI_04388","JKCDLFCP_04428","KIGINCLF_03292","MLOHFGPA_03533","FENEHPHI_04151","MAFDEBPG_03481","GEFNPNKI_04067","PBAHMKCA_04323","BJFLHFPA_03750","OMEBOICM_03454","EDHNKBAJ_03907","FKHFPJNE_04305","DCCGOOHM_04288","HIMMJIDH_04389"
"dgoD_2","","D-galactonate dehydratase",581,581,1,1,1420,NA,NA,"",692,1148,1146,"NNFNPJIH_04024","PDNNBANI_04332","JKCDLFCP_03140","KIGINCLF_03348","MLOHFGPA_04575","FENEHPHI_04207","MAFDEBPG_03425","GEFNPNKI_04011","PBAHMKCA_04670","BJFLHFPA_03694","OMEBOICM_03398","EDHNKBAJ_03963","FKHFPJNE_04249","DCCGOOHM_04344","HIMMJIDH_04445"
"araA","","L-arabinose isomerase",581,581,1,1,2499,NA,NA,"",1259,1502,1501,"NNFNPJIH_02726","PDNNBANI_03863","JKCDLFCP_01385","KIGINCLF_01764","MLOHFGPA_00631","FENEHPHI_03118","MAFDEBPG_01666","GEFNPNKI_02800","PBAHMKCA_03354","BJFLHFPA_02416","OMEBOICM_02851","EDHNKBAJ_03023","FKHFPJNE_03467","DCCGOOHM_03588","HIMMJIDH_03920"
