"Gene","Non.unique.Gene.name","Annotation","No..isolates","No..sequences","Avg.sequences.per.isolate","Genome.Fragment","Order.within.Fragment","Accessory.Fragment","Accessory.Order.with.Fragment","QC","Min.group.size.nuc","Max.group.size.nuc","Avg.group.size.nuc","SRR14272156","SRR14272154","SRR28323368","NDSU24","SRR19513358","SRR10037239","SRR28323382","SRR7041622","SRR27779120","SRR16506855","NDSU8","SRR5666360","SRR25926991","SRR4292607","SRR5905016"
"dsbD_1","","Thiol:disulfide interchange protein DsbD",581,581,1,1,4535,NA,NA,"",440,1886,1882,"HKKILDPC_00978","HAANCNKA_00640","FCMCIBEK_01547","DFEIMHLH_03661","NAFJMCME_01059","OOMIMPCI_01589","KOLBENFC_01718","KJAFDFOC_00687","BONMFOJB_01587","MMJAGEHG_00978","CDDPGOFG_03367","KHAGAGIB_00239","MAFDEBPG_02118","MKNEJKNF_02511","BIBHBEME_04390"
"artM_2","","Arginine transport ATP-binding protein ArtM",581,581,1,1,4645,NA,NA,"",503,752,751,"HKKILDPC_01078","HAANCNKA_00540","FCMCIBEK_01447","DFEIMHLH_03761","NAFJMCME_01159","OOMIMPCI_01489","KOLBENFC_01818","KJAFDFOC_02083","BONMFOJB_01487","MMJAGEHG_01078","CDDPGOFG_01992","KHAGAGIB_00339","MAFDEBPG_03975","MKNEJKNF_01727","BIBHBEME_01983"
"papC_3","","Outer membrane usher protein PapC",581,581,1,1,2395,NA,NA,"",590,2657,2653,"HKKILDPC_03882","HAANCNKA_04109","FCMCIBEK_03801","DFEIMHLH_03504","NAFJMCME_04050","OOMIMPCI_03811","KOLBENFC_03747","KJAFDFOC_03655","BONMFOJB_03770","MMJAGEHG_03721","CDDPGOFG_01834","KHAGAGIB_04143","MAFDEBPG_03695","MKNEJKNF_03610","BIBHBEME_03085"
"group_1039","","hypothetical protein",581,581,1,1,2178,NA,NA,"",263,998,995,"HKKILDPC_04164","HAANCNKA_03943","FCMCIBEK_04163","DFEIMHLH_04032","NAFJMCME_03971","OOMIMPCI_04178","KOLBENFC_04115","KJAFDFOC_02618","BONMFOJB_04052","MMJAGEHG_04172","CDDPGOFG_02221","KHAGAGIB_03201","MAFDEBPG_02793","MKNEJKNF_04586","BIBHBEME_00440"
"assT_4","","Arylsulfate sulfotransferase AssT",581,581,1,1,2183,NA,NA,"",893,1790,1783,"HKKILDPC_04169","HAANCNKA_03948","FCMCIBEK_04158","DFEIMHLH_04037","NAFJMCME_03966","OOMIMPCI_04183","KOLBENFC_04120","KJAFDFOC_02613","BONMFOJB_04057","MMJAGEHG_04167","CDDPGOFG_02226","KHAGAGIB_03196","MAFDEBPG_02798","MKNEJKNF_02677","BIBHBEME_00445"
"group_1043","","hypothetical protein",581,581,1,1,2258,NA,NA,"",824,1100,1098,"HKKILDPC_04227","HAANCNKA_04006","FCMCIBEK_04100","DFEIMHLH_04095","NAFJMCME_03908","OOMIMPCI_04241","KOLBENFC_04178","KJAFDFOC_03705","BONMFOJB_04115","MMJAGEHG_04109","CDDPGOFG_02284","KHAGAGIB_03138","MAFDEBPG_03761","MKNEJKNF_02735","BIBHBEME_00503"
"glnG","","DNA-binding transcriptional regulator NtrC",581,581,1,1,2219,NA,NA,"",434,1409,1407,"HKKILDPC_04263","HAANCNKA_04042","FCMCIBEK_04064","DFEIMHLH_04131","NAFJMCME_03872","OOMIMPCI_04277","KOLBENFC_04214","KJAFDFOC_03669","BONMFOJB_04151","MMJAGEHG_04073","CDDPGOFG_04022","KHAGAGIB_03102","MAFDEBPG_03797","MKNEJKNF_02771","BIBHBEME_00539"
"hsrA","","putative transport protein HsrA",581,581,1,1,1363,NA,NA,"",872,1427,1426,"HKKILDPC_04427","HAANCNKA_04245","FCMCIBEK_04346","DFEIMHLH_04386","NAFJMCME_04349","OOMIMPCI_04378","KOLBENFC_04378","KJAFDFOC_03229","BONMFOJB_04315","MMJAGEHG_04387","CDDPGOFG_04579","KHAGAGIB_03953","MAFDEBPG_03481","MKNEJKNF_03388","BIBHBEME_02180"
"dgoD_2","","D-galactonate dehydratase",581,581,1,1,1420,NA,NA,"",692,1148,1146,"HKKILDPC_04371","HAANCNKA_04301","FCMCIBEK_04290","DFEIMHLH_04330","NAFJMCME_04293","OOMIMPCI_04434","KOLBENFC_04322","KJAFDFOC_03173","BONMFOJB_04259","MMJAGEHG_04443","CDDPGOFG_03618","KHAGAGIB_04009","MAFDEBPG_03425","MKNEJKNF_03332","BIBHBEME_02236"
"araA","","L-arabinose isomerase",581,581,1,1,2499,NA,NA,"",1259,1502,1501,"HKKILDPC_03782","HAANCNKA_04435","FCMCIBEK_03700","DFEIMHLH_03604","NAFJMCME_04145","OOMIMPCI_03910","KOLBENFC_03847","KJAFDFOC_01130","BONMFOJB_03670","MMJAGEHG_03821","CDDPGOFG_03734","KHAGAGIB_03049","MAFDEBPG_01666","MKNEJKNF_01555","BIBHBEME_00968"
