"Gene","Non.unique.Gene.name","Annotation","No..isolates","No..sequences","Avg.sequences.per.isolate","Genome.Fragment","Order.within.Fragment","Accessory.Fragment","Accessory.Order.with.Fragment","QC","Min.group.size.nuc","Max.group.size.nuc","Avg.group.size.nuc","NDSU12","SRR15146548","SRR3000884","SRR14766335","NDSU4","SRR14766329","SRR6502082","SRR14766451","SRR2994394","SRR10037243","SRR5928610","SRR5877168","SRR3000893","SRR1363292","SRR19431269"
"dsbD_1","","Thiol:disulfide interchange protein DsbD",581,581,1,1,4535,NA,NA,"",440,1886,1882,"KMJDPIGG_04074","EGKOAKEK_01588","EFNNPMIA_00978","EMDCPPMA_03105","MLOHFGPA_03434","LGNMAAMO_04006","NAFOOFAA_03113","JKFJINKE_04053","NNGIMOCL_01797","OAJCOHFM_01723","FCBEKDAD_04548","ABGDGJIO_00979","NNFNPJIH_01837","HECGGPDK_02389","KFNBBHOJ_01590"
"artM_2","","Arginine transport ATP-binding protein ArtM",581,581,1,1,4645,NA,NA,"",503,752,751,"KMJDPIGG_03974","EGKOAKEK_01488","EFNNPMIA_01078","EMDCPPMA_02768","MLOHFGPA_02053","LGNMAAMO_01243","NAFOOFAA_02228","JKFJINKE_02900","NNGIMOCL_01897","OAJCOHFM_01823","FCBEKDAD_01588","ABGDGJIO_01080","NNFNPJIH_03570","HECGGPDK_02289","KFNBBHOJ_01489"
"papC_3","","Outer membrane usher protein PapC",581,581,1,1,2395,NA,NA,"",590,2657,2653,"KMJDPIGG_03758","EGKOAKEK_03723","EFNNPMIA_03723","EMDCPPMA_03714","MLOHFGPA_00529","LGNMAAMO_02888","NAFOOFAA_03478","JKFJINKE_01996","NNGIMOCL_04372","OAJCOHFM_03876","FCBEKDAD_02346","ABGDGJIO_04432","NNFNPJIH_02826","HECGGPDK_04315","KFNBBHOJ_03805"
"group_1039","","hypothetical protein",581,581,1,1,2178,NA,NA,"",263,998,995,"KMJDPIGG_04193","EGKOAKEK_04091","EFNNPMIA_04165","EMDCPPMA_02173","MLOHFGPA_02286","LGNMAAMO_02770","NAFOOFAA_02679","JKFJINKE_03051","NNGIMOCL_03263","OAJCOHFM_04042","FCBEKDAD_03188","ABGDGJIO_04246","NNFNPJIH_03237","HECGGPDK_03777","KFNBBHOJ_04161"
"assT_4","","Arylsulfate sulfotransferase AssT",581,581,1,1,2183,NA,NA,"",893,1790,1783,"KMJDPIGG_04188","EGKOAKEK_04096","EFNNPMIA_04160","EMDCPPMA_02168","MLOHFGPA_02281","LGNMAAMO_02775","NAFOOFAA_02684","JKFJINKE_02962","NNGIMOCL_03258","OAJCOHFM_04037","FCBEKDAD_03183","ABGDGJIO_04241","NNFNPJIH_03242","HECGGPDK_03772","KFNBBHOJ_04156"
"group_1043","","hypothetical protein",581,581,1,1,2258,NA,NA,"",824,1100,1098,"KMJDPIGG_04130","EGKOAKEK_04154","EFNNPMIA_04102","EMDCPPMA_02110","MLOHFGPA_02223","LGNMAAMO_02833","NAFOOFAA_03491","JKFJINKE_04430","NNGIMOCL_03200","OAJCOHFM_03979","FCBEKDAD_04485","ABGDGJIO_04183","NNFNPJIH_03300","HECGGPDK_03714","KFNBBHOJ_04098"
"glnG","","DNA-binding transcriptional regulator NtrC",581,581,1,1,2219,NA,NA,"",434,1409,1407,"KMJDPIGG_04094","EGKOAKEK_04190","EFNNPMIA_04066","EMDCPPMA_02074","MLOHFGPA_04199","LGNMAAMO_03354","NAFOOFAA_03527","JKFJINKE_02846","NNGIMOCL_03164","OAJCOHFM_03943","FCBEKDAD_02953","ABGDGJIO_04147","NNFNPJIH_03336","HECGGPDK_03678","KFNBBHOJ_04062"
"hsrA","","putative transport protein HsrA",581,581,1,1,1363,NA,NA,"",872,1427,1426,"KMJDPIGG_04313","EGKOAKEK_04354","EFNNPMIA_04285","EMDCPPMA_03517","MLOHFGPA_03533","LGNMAAMO_02279","NAFOOFAA_03284","JKFJINKE_01330","NNGIMOCL_04224","OAJCOHFM_04256","FCBEKDAD_04264","ABGDGJIO_04429","NNFNPJIH_03968","HECGGPDK_04085","KFNBBHOJ_04344"
"dgoD_2","","D-galactonate dehydratase",581,581,1,1,1420,NA,NA,"",692,1148,1146,"KMJDPIGG_04369","EGKOAKEK_04298","EFNNPMIA_04341","EMDCPPMA_03461","MLOHFGPA_04575","LGNMAAMO_02223","NAFOOFAA_03228","JKFJINKE_01386","NNGIMOCL_04168","OAJCOHFM_04312","FCBEKDAD_02548","ABGDGJIO_04373","NNFNPJIH_04024","HECGGPDK_04029","KFNBBHOJ_04288"
"araA","","L-arabinose isomerase",581,581,1,1,2499,NA,NA,"",1259,1502,1501,"KMJDPIGG_03858","EGKOAKEK_03822","EFNNPMIA_03823","EMDCPPMA_02440","MLOHFGPA_00631","LGNMAAMO_00479","NAFOOFAA_01544","JKFJINKE_01892","NNGIMOCL_03110","OAJCOHFM_04327","FCBEKDAD_02247","ABGDGJIO_04094","NNFNPJIH_02726","HECGGPDK_03567","KFNBBHOJ_03705"
