"Gene","Non.unique.Gene.name","Annotation","No..isolates","No..sequences","Avg.sequences.per.isolate","Genome.Fragment","Order.within.Fragment","Accessory.Fragment","Accessory.Order.with.Fragment","QC","Min.group.size.nuc","Max.group.size.nuc","Avg.group.size.nuc","SRR7010294","SRR5905016","SRR14766362","SRR18233382","SRR2911768","SRR14766451","SRR9017024","SRR14766433","SRR5905275","SRR14766368","SRR18233388","SRR1461785","NDSU16","SRR6308366","SRR14766393"
"dsbD_1","","Thiol:disulfide interchange protein DsbD",581,581,1,1,4535,NA,NA,"",440,1886,1882,"FNDKDPDO_03197","BIBHBEME_04390","ADMPKBAP_02004","GMDHGEDP_03229","HFBCCMPJ_04060","JKFJINKE_04053","HFHLPAEB_00646","JOCLDNKJ_03805","MIPDHJCF_02229","DLDIJGFH_00620","ACOJFAEA_00937","JAFODMFN_00845","PJHKJHDN_02889","ABOIEABI_00542","FFKIDJGC_03423"
"artM_2","","Arginine transport ATP-binding protein ArtM",581,581,1,1,4645,NA,NA,"",503,752,751,"FNDKDPDO_00507","BIBHBEME_01983","ADMPKBAP_01903","GMDHGEDP_03017","HFBCCMPJ_01758","JKFJINKE_02900","HFHLPAEB_00746","JOCLDNKJ_02883","MIPDHJCF_02329","DLDIJGFH_00520","ACOJFAEA_01037","JAFODMFN_00745","PJHKJHDN_02789","ABOIEABI_00442","FFKIDJGC_02256"
"papC_3","","Outer membrane usher protein PapC",581,581,1,1,2395,NA,NA,"",590,2657,2653,"FNDKDPDO_03076","BIBHBEME_03085","ADMPKBAP_04225","GMDHGEDP_03870","HFBCCMPJ_03420","JKFJINKE_01996","HFHLPAEB_02826","JOCLDNKJ_03977","MIPDHJCF_04462","DLDIJGFH_04278","ACOJFAEA_03767","JAFODMFN_04398","PJHKJHDN_03663","ABOIEABI_03934","FFKIDJGC_01725"
"group_1039","","hypothetical protein",581,581,1,1,2178,NA,NA,"",263,998,995,"FNDKDPDO_02240","BIBHBEME_00440","ADMPKBAP_03352","GMDHGEDP_02540","HFBCCMPJ_01492","JKFJINKE_03051","HFHLPAEB_03560","JOCLDNKJ_02139","MIPDHJCF_03607","DLDIJGFH_03792","ACOJFAEA_04129","JAFODMFN_03727","PJHKJHDN_03868","ABOIEABI_03579","FFKIDJGC_04507"
"assT_4","","Arylsulfate sulfotransferase AssT",581,581,1,1,2183,NA,NA,"",893,1790,1783,"FNDKDPDO_02245","BIBHBEME_00445","ADMPKBAP_03357","GMDHGEDP_02535","HFBCCMPJ_01497","JKFJINKE_02962","HFHLPAEB_03565","JOCLDNKJ_02144","MIPDHJCF_03612","DLDIJGFH_03787","ACOJFAEA_04124","JAFODMFN_03722","PJHKJHDN_03863","ABOIEABI_03584","FFKIDJGC_02747"
"group_1043","","hypothetical protein",581,581,1,1,2258,NA,NA,"",824,1100,1098,"FNDKDPDO_04511","BIBHBEME_00503","ADMPKBAP_03415","GMDHGEDP_02477","HFBCCMPJ_01555","JKFJINKE_04430","HFHLPAEB_03623","JOCLDNKJ_02202","MIPDHJCF_03670","DLDIJGFH_03729","ACOJFAEA_04066","JAFODMFN_03663","PJHKJHDN_03805","ABOIEABI_04037","FFKIDJGC_01852"
"glnG","","DNA-binding transcriptional regulator NtrC",581,581,1,1,2219,NA,NA,"",434,1409,1407,"FNDKDPDO_03276","BIBHBEME_00539","ADMPKBAP_03451","GMDHGEDP_02441","HFBCCMPJ_04335","JKFJINKE_02846","HFHLPAEB_03659","JOCLDNKJ_02238","MIPDHJCF_03706","DLDIJGFH_03693","ACOJFAEA_04030","JAFODMFN_03627","PJHKJHDN_03769","ABOIEABI_04001","FFKIDJGC_01888"
"hsrA","","putative transport protein HsrA",581,581,1,1,1363,NA,NA,"",872,1427,1426,"FNDKDPDO_02890","BIBHBEME_02180","ADMPKBAP_04086","GMDHGEDP_03614","HFBCCMPJ_02972","JKFJINKE_01330","HFHLPAEB_04190","JOCLDNKJ_03596","MIPDHJCF_04163","DLDIJGFH_04058","ACOJFAEA_04249","JAFODMFN_04193","PJHKJHDN_04186","ABOIEABI_03860","FFKIDJGC_04112"
"dgoD_2","","D-galactonate dehydratase",581,581,1,1,1420,NA,NA,"",692,1148,1146,"FNDKDPDO_02834","BIBHBEME_02236","ADMPKBAP_04030","GMDHGEDP_03558","HFBCCMPJ_02916","JKFJINKE_01386","HFHLPAEB_04246","JOCLDNKJ_03652","MIPDHJCF_04107","DLDIJGFH_04114","ACOJFAEA_04305","JAFODMFN_04249","PJHKJHDN_04130","ABOIEABI_03804","FFKIDJGC_02037"
"araA","","L-arabinose isomerase",581,581,1,1,2499,NA,NA,"",1259,1502,1501,"FNDKDPDO_01596","BIBHBEME_00968","ADMPKBAP_03795","GMDHGEDP_03966","HFBCCMPJ_00930","JKFJINKE_01892","HFHLPAEB_02926","JOCLDNKJ_01853","MIPDHJCF_03477","DLDIJGFH_03640","ACOJFAEA_03667","JAFODMFN_03574","PJHKJHDN_04333","ABOIEABI_04055","FFKIDJGC_02322"
