"Gene","Non.unique.Gene.name","Annotation","No..isolates","No..sequences","Avg.sequences.per.isolate","Genome.Fragment","Order.within.Fragment","Accessory.Fragment","Accessory.Order.with.Fragment","QC","Min.group.size.nuc","Max.group.size.nuc","Avg.group.size.nuc","NDSU8","SRR13643357","SRR5905013","SRR5350414","SRR3000883","SRR16297813","SRR14766377","SRR14766364","SRR1556977","SRR28412144","NDSU12","SRR13641927","SRR19397116","SRR14766330","SRR14766433"
"dsbD_1","","Thiol:disulfide interchange protein DsbD",581,581,1,1,4535,NA,NA,"",440,1886,1882,"CDDPGOFG_03367","MCHABJHI_01589","PNLCLONJ_02489","ILNMAOIA_00531","PHBHKDKN_00620","GDLLMNMD_00311","JHIODDIP_01399","KBJJGPAO_03936","KLKGDDID_02579","GLCMENJN_01665","KMJDPIGG_04074","KCFKLOLI_00979","KKIADDGI_00981","POPOBFCK_00310","JOCLDNKJ_03805"
"artM_2","","Arginine transport ATP-binding protein ArtM",581,581,1,1,4645,NA,NA,"",503,752,751,"CDDPGOFG_01992","MCHABJHI_01488","PNLCLONJ_03351","ILNMAOIA_00631","PHBHKDKN_00520","GDLLMNMD_00411","JHIODDIP_04070","KBJJGPAO_01739","KLKGDDID_04523","GLCMENJN_01765","KMJDPIGG_03974","KCFKLOLI_01080","KKIADDGI_00881","POPOBFCK_00410","JOCLDNKJ_02883"
"papC_3","","Outer membrane usher protein PapC",581,581,1,1,2395,NA,NA,"",590,2657,2653,"CDDPGOFG_01834","MCHABJHI_03757","PNLCLONJ_03818","ILNMAOIA_04307","PHBHKDKN_03352","GDLLMNMD_03832","JHIODDIP_03841","KBJJGPAO_03921","KLKGDDID_03720","GLCMENJN_03705","KMJDPIGG_03758","KCFKLOLI_03697","KKIADDGI_03818","POPOBFCK_04145","JOCLDNKJ_03977"
"group_1039","","hypothetical protein",581,581,1,1,2178,NA,NA,"",263,998,995,"CDDPGOFG_02221","MCHABJHI_04119","PNLCLONJ_01805","ILNMAOIA_03523","PHBHKDKN_03753","GDLLMNMD_04114","JHIODDIP_02650","KBJJGPAO_01902","KLKGDDID_04077","GLCMENJN_04061","KMJDPIGG_04193","KCFKLOLI_04059","KKIADDGI_04177","POPOBFCK_03831","JOCLDNKJ_02139"
"assT_4","","Arylsulfate sulfotransferase AssT",581,581,1,1,2183,NA,NA,"",893,1790,1783,"CDDPGOFG_02226","MCHABJHI_04124","PNLCLONJ_01800","ILNMAOIA_03518","PHBHKDKN_03758","GDLLMNMD_04119","JHIODDIP_02645","KBJJGPAO_01907","KLKGDDID_04072","GLCMENJN_04056","KMJDPIGG_04188","KCFKLOLI_04064","KKIADDGI_04172","POPOBFCK_03826","JOCLDNKJ_02144"
"group_1043","","hypothetical protein",581,581,1,1,2258,NA,NA,"",824,1100,1098,"CDDPGOFG_02284","MCHABJHI_04182","PNLCLONJ_01742","ILNMAOIA_03460","PHBHKDKN_03816","GDLLMNMD_04177","JHIODDIP_02586","KBJJGPAO_01965","KLKGDDID_04013","GLCMENJN_03998","KMJDPIGG_04130","KCFKLOLI_04122","KKIADDGI_04114","POPOBFCK_03768","JOCLDNKJ_02202"
"glnG","","DNA-binding transcriptional regulator NtrC",581,581,1,1,2219,NA,NA,"",434,1409,1407,"CDDPGOFG_04022","MCHABJHI_04218","PNLCLONJ_01706","ILNMAOIA_03424","PHBHKDKN_03852","GDLLMNMD_04213","JHIODDIP_02550","KBJJGPAO_02001","KLKGDDID_03977","GLCMENJN_03962","KMJDPIGG_04094","KCFKLOLI_04159","KKIADDGI_04078","POPOBFCK_03732","JOCLDNKJ_02238"
"hsrA","","putative transport protein HsrA",581,581,1,1,1363,NA,NA,"",872,1427,1426,"CDDPGOFG_04579","MCHABJHI_04319","PNLCLONJ_03553","ILNMAOIA_04026","PHBHKDKN_04272","GDLLMNMD_04314","JHIODDIP_03631","KBJJGPAO_03298","KLKGDDID_04197","GLCMENJN_04181","KMJDPIGG_04313","KCFKLOLI_04429","KKIADDGI_04360","POPOBFCK_04288","JOCLDNKJ_03596"
"dgoD_2","","D-galactonate dehydratase",581,581,1,1,1420,NA,NA,"",692,1148,1146,"CDDPGOFG_03618","MCHABJHI_04375","PNLCLONJ_03497","ILNMAOIA_04082","PHBHKDKN_04216","GDLLMNMD_04370","JHIODDIP_03575","KBJJGPAO_03354","KLKGDDID_04253","GLCMENJN_04237","KMJDPIGG_04369","KCFKLOLI_04373","KKIADDGI_04304","POPOBFCK_04344","JOCLDNKJ_03652"
"araA","","L-arabinose isomerase",581,581,1,1,2499,NA,NA,"",1259,1502,1501,"CDDPGOFG_03734","MCHABJHI_03857","PNLCLONJ_03775","ILNMAOIA_03074","PHBHKDKN_03452","GDLLMNMD_03733","JHIODDIP_02497","KBJJGPAO_03640","KLKGDDID_03620","GLCMENJN_03606","KMJDPIGG_03858","KCFKLOLI_03797","KKIADDGI_03716","POPOBFCK_04045","JOCLDNKJ_01853"
